case,job,duration_ms,delta_s_mm,Vt_final_mm_s,Vt_peak_mm_s,Vmag_peak_mm_s,forward_fraction,first_contact_time_ms,first_impact_deltaVt_mm_s,CPRESS_max_MPa,exact_min_gap_um,near_wall_frames_gap_lt20um,UR1_pp_rad,true_axis_angle_range_deg,true_axis_angle_max_deg,contact_node_at_peak,delta_s_mm_change_pct,Vt_final_mm_s_change_pct,CPRESS_max_MPa_change_pct,exact_min_gap_um_change_pct,UR1_pp_rad_change_pct,true_axis_angle_range_deg_change_pct
G6/L45 chi=0,WobbleCal_F30_Cone30_B10_Grad6Forward_WallOn_Free_003,3.000000026077,-0.3167670364169446,-251.07664232540048,0.0,513.6610304704808,0.0,0.7000611512921,-3.82098989614878,0.4501559138298034,-0.5329466905074001,5,0.8471474647521973,26.566322894825788,29.42167574843427,57,,,,,,
chi=134 deg candidate,Wobble_F30_ConeFrameAzimuth_Chi134_WallOn_Free_003,3.000000026077,-0.1478983300823824,-132.80859193911587,1.6996889929380323,346.5503272375793,0.03225806451612903,1.1000942904502,-0.7830969675149817,7.4270524978637695,8.6613972398213,5,0.2394037842750549,18.224073270112918,21.0794261237214,74,53.310062891862515,47.10436195534541,1549.8844666232278,1725.190172693461,-71.74001053699854,-31.40159689295072
