chi_deg,min_gap_mm,p05_gap_mm,low10_mean_gap_mm,frac_frames_gap_lt0,frac_frames_gap_lt20um,max_closing_mm_s,head_min_gap_mm,tail_min_gap_mm,side_min_gap_mm,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s,danger_frames,min_gap_improve_um,negative_exposure_reduction_pct,closing_reduction_pct,gate_pass,rank
134.0,0.2869969374851642,0.3371898326631822,0.32882370267479344,0.0,0.0,830.3960529679937,0.28713407528832385,0.2869969374851642,0.3384060740610456,784.351499576323,830.3960529679937,517.211198507978,13.0,287.52988417567246,100.0,-9.699312651030523,True,1
138.0,0.2868324945264703,0.33912291328142713,0.3334950957645087,0.0,0.0,829.5696366500497,0.29335840761928766,0.2868324945264703,0.33850967006525323,778.751217730467,829.5696366500497,526.0261546310959,13.0,287.3654412169786,100.0,-9.590139080517964,True,2
135.0,0.28659584579911135,0.33789749014394405,0.3299013591061473,0.0,0.0,827.5812719153093,0.29058308624974644,0.28659584579911135,0.3382192976296048,784.2470037501568,827.5812719153093,519.4201615530183,13.0,287.1287924896196,100.0,-9.32746653538609,True,3
137.0,0.28651361179512613,0.3382603649940787,0.33243748741214507,0.0,0.0,829.0410525743916,0.29319720954380835,0.28651361179512613,0.33827110352199624,783.39198798959,829.0410525743916,523.8283109970852,13.0,287.0465584856344,100.0,-9.520310581730286,True,4
136.0,0.2864347208756931,0.3377732064645709,0.3311562913837741,0.0,0.0,828.3781970254097,0.2932333807441301,0.2864347208756931,0.3381743028813106,783.927134076105,828.3781970254097,521.626089698413,13.0,286.9676675662014,100.0,-9.43274417549516,True,5
133.0,0.28389233105127754,0.33742236937934594,0.32792521029069865,0.0,0.0,833.6961660320254,0.28389233105127754,0.287637873757442,0.33873457528172035,784.2405897241747,833.6961660320254,514.9998734348284,13.0,284.4252777417858,100.0,-10.135273459732634,True,6
139.0,0.28308677891666645,0.3384616991061974,0.33442000733549737,0.0,0.0,829.963788240525,0.2937169258680728,0.28308677891666645,0.33888992984139765,777.3841560570721,829.963788240525,528.2189511159827,13.0,283.61972560717476,100.0,-9.642208401417204,True,7
132.0,0.28085884100530956,0.33727482053943886,0.3270036384869461,0.0,0.0,836.8803365069127,0.28085884100530956,0.2885184593805451,0.3392047012269753,783.9143079779307,836.8803365069127,512.7868599246372,13.0,281.39178769581787,100.0,-10.555917694746002,True,8
140.0,0.27946125413701955,0.338667110031834,0.3352016774235005,0.0,0.0,824.127063741818,0.29427265508203126,0.27946125413701955,0.339411767019617,796.1456817332296,824.127063741818,530.4060325046862,13.0,279.99420082752783,100.0,-8.87114902155492,True,9
131.0,0.2780345291808706,0.3352456630981633,0.326144484823722,0.0,0.0,839.9475944635011,0.2780345291808706,0.2896384261195633,0.33981630869189533,783.3727537261591,839.9475944635011,510.57283208273213,13.0,278.5674758713789,100.0,-10.96111722376414,True,10
