chi_deg,min_gap_mm,p05_gap_mm,low10_mean_gap_mm,frac_frames_gap_lt0,frac_frames_gap_lt20um,max_closing_mm_s,head_min_gap_mm,tail_min_gap_mm,side_min_gap_mm,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s,danger_frames,min_gap_improve_um,negative_exposure_reduction_pct,closing_reduction_pct,gate_pass
0.0,-0.000532946690508316,0.0962779746266154,0.0920300870386729,0.07692307692307693,0.15384615384615385,756.9747092304984,-0.000532946690508316,0.007687783802093988,0.28638048529762006,756.9747092304984,751.4001875235192,471.28191617996924,13.0,0.0,0.0,0.0,False
5.0,0.008362261553038446,0.1033241578094885,0.09610761361235937,0.0,0.15384615384615385,770.3187296746867,0.008362261553038446,0.008990503134967688,0.2890526995083587,770.3187296746867,759.5527452107488,482.92680916880363,13.0,8.895208243546763,100.0,-1.7628092829882094,True
10.0,0.007318952049408882,0.10979731720642845,0.1010679073054362,0.0,0.15384615384615385,781.5399300176584,0.007318952049408882,0.01589373298047858,0.2951522895469573,781.5399300176584,769.6590417494996,496.2855904387866,13.0,7.851898739917198,100.0,-3.2451838202271963,True
15.0,0.01193102774050207,0.12106973759844984,0.10614812989825417,0.0,0.07692307692307693,786.8863146889788,0.01193102774050207,0.028344935591212303,0.29932916511997676,786.8863146889788,773.9403139835549,481.19402480899237,13.0,12.463974431010387,100.0,-3.951466950446334,True
20.0,0.012051386655311372,0.12728796602694026,0.11312579600467068,0.0,0.07692307692307693,817.8695794294612,0.012051386655311372,0.046249349797065624,0.30570405825802804,817.8695794294612,772.3639788461155,520.6731161152712,13.0,12.584333345819688,100.0,-8.044505246531331,True
25.0,0.013105055984960985,0.1290667884990369,0.11922288521949176,0.0,0.07692307692307693,811.163340858924,0.013105055984960985,0.06289279965074429,0.30656192955778794,811.163340858924,764.9420331993946,537.8299854964798,13.0,13.638002675469302,100.0,-7.158578875575772,True
30.0,0.01683876381693986,0.13329909893105366,0.12437217345068723,0.0,0.07692307692307693,798.3337032291236,0.01683876381693986,0.07612811994963123,0.30534478556133177,798.3337032291236,751.7309625312391,554.2568858808552,13.0,17.371710507448174,100.0,-5.463722036455954,True
35.0,0.024935041705148035,0.14481426395612226,0.13223192337753625,0.0,0.0,779.4783078292202,0.024935041705148035,0.08801926371704762,0.30757545531708214,779.4783078292202,749.2266693106982,531.5031238987174,13.0,25.467988395656352,100.0,-2.9728336131068023,True
40.0,0.038216077285950986,0.1605720213438787,0.14096695403954007,0.0,0.0,771.4292430025092,0.038216077285950986,0.09500994929914768,0.31323696208127977,771.4292430025092,758.436631298389,550.0704355322285,13.0,38.749023976459306,100.0,-1.9095134349606642,True
45.0,0.05678434222941897,0.1782726875362024,0.15038152551036038,0.0,0.0,807.038004989018,0.05678434222941897,0.10752884916169511,0.3222862183689418,807.038004989018,762.9261392448302,568.3255241487578,13.0,57.317288919927286,100.0,-6.613602165046082,True
50.0,0.07639456578308196,0.18786333499068172,0.15940903147791224,0.0,0.0,810.8331512869047,0.07639456578308196,0.12550719615315142,0.3247777040105812,810.8331512869047,752.8749429134567,545.7169219185996,13.0,76.92751247359027,100.0,-7.114959244960242,True
55.0,0.07888353575651944,0.19453989007132091,0.1696113887223708,0.0,0.0,801.8977363524876,0.07888353575651944,0.14148906234084183,0.32543966407412195,801.8977363524876,776.0580216323964,559.2989847443106,13.0,79.41648244702775,100.0,-5.934547954403344,True
60.0,0.08694615676375429,0.19679123752609815,0.1797697786954873,0.0,0.0,791.154534355068,0.08694615676375429,0.1547108300651521,0.3293681674149591,786.943060875493,791.154534355068,550.493894711528,13.0,87.4791034542626,100.0,-4.515319297696883,True
65.0,0.10045520295517771,0.20133896166903903,0.19260398857696653,0.0,0.0,779.0162230375938,0.10045520295517771,0.17303831151106677,0.3365333157505723,779.0162230375938,774.2376272114634,566.4938764122033,13.0,100.98814964568602,100.0,-2.9117899895891703,True
70.0,0.11963403030412233,0.2163771938171506,0.20708552787377674,0.0,0.0,788.9223425035352,0.11963403030412233,0.1963320234783526,0.3468805779756923,784.2425264423589,788.9223425035352,582.0819424266814,13.0,120.16697699463063,100.0,-4.220436017672652,True
75.0,0.13292940652831917,0.22801737141782477,0.2197015541198662,0.0,0.0,793.6545453678382,0.13292940652831917,0.22301626196926513,0.3459157719343906,783.6144790711168,793.6545453678382,597.1394581602661,13.0,133.4623532188275,100.0,-4.845582777082022,True
80.0,0.15021740953770418,0.23671469882055898,0.23206325493185856,0.0,0.0,828.3124302226048,0.15021740953770418,0.24235454775033743,0.3458060300986949,777.136860743577,828.3124302226048,556.3998164044076,13.0,150.7503562282125,100.0,-9.424056064518275,True
85.0,0.17236508284317253,0.25253045967646515,0.24556685409360218,0.0,0.0,831.4140682017971,0.17236508284317253,0.25778269417362965,0.348616812044158,804.5980262238927,831.4140682017971,549.523596314696,13.0,172.89802953368087,100.0,-9.833797359884047,True
90.0,0.1931381256787228,0.2662190130226686,0.26033877614198825,0.0,0.0,837.617456739708,0.1931381256787228,0.2710349944319527,0.35432672602297843,785.3918643079355,837.617456739708,563.3997015978118,13.0,193.67107236923113,100.0,-10.653294822912493,True
95.0,0.20475140216587434,0.28328787195250377,0.2724596499650014,0.0,0.0,827.5634126013749,0.20475140216587434,0.2893815853687526,0.3614422561969805,763.9640781328201,827.5634126013749,576.5480333194846,13.0,205.28434885638268,100.0,-9.325107234115302,True
100.0,0.21450730500296353,0.292997553602658,0.2851417879659258,0.0,0.0,884.3099720906089,0.21450730500296353,0.3000658249781829,0.3574861134280445,766.9693830369217,884.3099720906089,589.2176681905003,13.0,215.04025169347184,100.0,-16.821600683271562,True
105.0,0.22977050299556295,0.30629865846081444,0.299868027405929,0.0,0.0,890.278052352862,0.22977050299556295,0.29568703334963387,0.35506724157430636,760.9844353414894,890.278052352862,552.755798294274,13.0,230.30344968607127,100.0,-17.610012791295617,True
110.0,0.25042483399077586,0.3177025442362677,0.3077402937005787,0.0,0.0,892.9044892517194,0.25042483399077586,0.29730760538867984,0.3503849433031966,795.3464959615154,892.9044892517194,536.2336065861552,13.0,250.95778068128416,100.0,-17.956977738318386,True
115.0,0.2616320763117433,0.3224914265060132,0.31119580545731573,0.0,0.0,892.1692940164695,0.2616320763117433,0.3033671387769264,0.34917836529430357,783.1184133192974,892.1692940164695,548.1012066043443,13.0,262.1650230022516,100.0,-17.859854911586535,True
120.0,0.26094207175333867,0.32431828618954656,0.3161238955563433,0.0,0.0,861.4539652175788,0.26094207175333867,0.2946305992611897,0.3514566903348265,773.398565060035,861.4539652175788,559.9919231732351,13.0,261.475018443847,100.0,-13.802212242108935,True
125.0,0.2655250867801767,0.326573913227333,0.32213607871396444,0.0,0.0,855.8461854215789,0.2655250867801767,0.2918274569059584,0.3464436239930422,750.6290866385417,855.8461854215789,525.7176078678112,13.0,266.058033470685,100.0,-13.061397558656628,True
130.0,0.27542025589070446,0.3333880715869333,0.3254646116969619,0.0,0.0,842.897005585288,0.27542025589070446,0.29099743282177937,0.3405692113749193,782.6160919315479,842.897005585288,508.35846432344607,13.0,275.95320258121274,100.0,-11.350748619083154,True
135.0,0.28659584579911135,0.33789749014394405,0.3299013591061473,0.0,0.0,827.5812719153093,0.29058308624974644,0.28659584579911135,0.3382192976296048,784.2470037501568,827.5812719153093,519.4201615530183,13.0,287.1287924896196,100.0,-9.32746653538609,True
140.0,0.27946125413701955,0.338667110031834,0.3352016774235005,0.0,0.0,824.127063741818,0.29427265508203126,0.27946125413701955,0.339411767019617,796.1456817332296,824.127063741818,530.4060325046862,13.0,279.99420082752783,100.0,-8.87114902155492,True
145.0,0.2648081417922168,0.3430837373099803,0.3361442243690463,0.0,0.0,809.3013147321876,0.30157129121386694,0.2648081417922168,0.34413127454222414,787.4794274911027,809.3013147321876,541.4694070683367,13.0,265.34108848272507,100.0,-6.9125962682269435,True
150.0,0.25602118492239745,0.34434580254050073,0.3387087610147256,0.0,0.0,802.5670484243205,0.3021183973847804,0.25602118492239745,0.34444943753737395,773.6208959266505,802.5670484243205,483.0045821704458,13.0,256.55413161290573,100.0,-6.022967298361784,True
155.0,0.2531672575750499,0.3403350178246257,0.3383318760671836,0.0,0.0,792.6899238273655,0.30434602945861616,0.2531672575750499,0.3410090077594672,779.9256302445035,792.6899238273655,493.2834294609529,13.0,253.70020426555817,100.0,-4.718151631931448,True
160.0,0.24815321110381025,0.3396489288261187,0.32861570704019416,0.0,0.0,792.5815657744922,0.3103092173351317,0.24815321110381025,0.34109982505548786,792.5815657744922,771.5419912321157,503.65092378420616,13.0,248.68615779431858,100.0,-4.703837011964361,True
165.0,0.2417153154285293,0.32018787702237334,0.3184498816373134,0.0,0.0,800.0260598396081,0.31577681000354346,0.2417153154285293,0.34472119825097497,800.0260598396081,747.007448130209,514.1928588539974,13.0,242.24826211903763,100.0,-5.687290484628409,True
170.0,0.22173030359454915,0.3133259566888048,0.3078393746448369,0.0,0.0,795.936179126918,0.3143031397932793,0.22173030359454915,0.3518241744504547,795.936179126918,766.4270765469264,481.61180784962323,13.0,222.26325028505747,100.0,-5.146997570899796,True
175.0,0.207043207641958,0.30543782105080425,0.29664524370078477,0.0,0.0,760.9841899285566,0.3177821530745207,0.207043207641958,0.3577504399378032,760.9841899285566,757.1886381770584,473.9377178356185,13.0,207.57615433246633,100.0,-0.5296716850862808,True
180.0,0.198225619613681,0.2933977644152059,0.28725267050149933,0.0,0.0,785.3968984630457,0.3252708718546823,0.198225619613681,0.3565520539033023,785.3968984630457,742.5443479446367,477.2199693356673,13.0,198.75856630418932,100.0,-3.754707903179455,True
