frame,time_s,chi_deg,min_gap_mm,p05_gap_mm,low10_mean_gap_mm,frac_gap_lt0,frac_gap_lt20um,max_closing_mm_s,head_min_gap_mm,tail_min_gap_mm,side_min_gap_mm,head_max_closing_mm_s,tail_max_closing_mm_s,side_max_closing_mm_s,worst_node,worst_tri
21,0.0021000010892748,0,0.049332297342306354,0.12241000509085806,0.1220373869927778,0.0,0.0,751.4935788752343,0.049332297342306354,0.09801754753738352,0.3943552733446513,591.6163530439751,751.4935788752343,230.8274446265576,7,800
22,0.0022000833414494,0,0.021289121848946675,0.0865436185106846,0.08326460295245461,0.0,0.0,728.9780007918755,0.021289121848946675,0.043738123681813665,0.3830489923933109,572.2397815892409,728.9780007918755,215.0339363719579,7,800
23,0.0023000345099717,0,0.002812485181291346,0.0609570507157921,0.05319065378085972,0.0,0.013824884792626729,387.0894412200446,0.002812485181291346,0.003216307564994344,0.37463508311877625,387.0894412200446,372.3881394424701,178.24338586022284,7,801
24,0.002400042489171,0,0.032838764238897,0.07631416839866025,0.07794462927926388,0.0,0.0,399.926381154737,0.032838764238897,0.0391595373162145,0.38666385328967723,399.926381154737,361.2743826300003,303.72912488096887,7,801
25,0.0025000090245157,0,0.045458730922715365,0.09046246636882908,0.09067579851916677,0.0,0.0,391.46857009655,0.045458730922715365,0.06118049466579664,0.3931234480113047,391.46857009655,369.69845668262593,254.65293974982825,58,806
26,0.0026000451762229,0,0.04302081939093639,0.08823056156155269,0.0934393534002733,0.0,0.0,378.4763716191318,0.04302081939093639,0.07109631332466901,0.39308880480092473,378.4763716191318,356.62202265955085,205.02980697155766,58,806
27,0.0027000687550753,0,0.034774535580559485,0.08548471460526065,0.08726670152229639,0.0,0.0,416.2682764788275,0.034774535580559485,0.06941544149737452,0.3932335733214883,416.2682764788275,359.15138113072356,198.0931775284717,58,806
28,0.0028000453021377,0,0.02134192828464214,0.07634006579211025,0.07174374142809899,0.0,0.0,453.1095929923366,0.02134192828464214,0.05713155973191749,0.3936081362053072,453.1095929923366,429.3338934274121,172.51140173637893,58,806
29,0.002900016028434,0,0.0038889386272291963,0.05239534470788385,0.04668617100317679,0.0,0.02304147465437788,496.4555590201523,0.0038889386272291963,0.034699873725383835,0.3940139970300708,390.31271299613843,496.4555590201523,210.27642809329643,58,806
30,0.003000000026077,0,0.0009491465410092615,0.033988879382886354,0.03510781106718733,0.0,0.03225806451612903,509.6708238156109,0.0009491465410092615,0.0043021952445143645,0.38942169611230776,277.1232992686098,509.6708238156109,294.49315235547465,57,801
0,0.0,134,0.3380807056558039,0.3780985344537997,0.3717110531084781,0.0,0.0,0.3802129852509735,0.45459311788784923,0.3380807056558039,0.3477179325326392,0.3802129852509735,0.3422515593266091,0.09989155989822548,175,851
1,0.000100101402495,134,0.33809494974324733,0.37810780268243666,0.371723477016042,0.0,0.0,2.902940713688397,0.45457875936890113,0.33809494974324733,0.34772636208264146,2.902940713688397,2.6080669202599287,0.761591850800803,175,851
2,0.0002000974782276,134,0.3382982384962561,0.3782404929025932,0.37192188143517096,0.0,0.0,13.829709915765664,0.45437501242625583,0.3382982384962561,0.34784678210887693,13.829709915765664,12.381237718374212,3.627401612015757,175,851
3,0.0003000949509441,134,0.3391308219558806,0.37878481618570947,0.3727356880288327,0.0,0.0,39.21752329448622,0.4535427702408967,0.3391308219558806,0.3483398879229167,39.21752329448622,34.947540486475035,10.266275338102234,175,851
4,0.0004000964399892,134,0.341233822809868,0.38047122381099374,0.37479469021998935,0.0,0.0,82.66633456865596,0.4514483374235263,0.341233822809868,0.34958635240278924,82.66633456865596,73.43507635022308,21.367736105709824,175,851
5,0.0005000106757506,134,0.3453861669341706,0.3833945928961968,0.3788705280227798,0.0,0.0,147.7780623619039,0.4468853968310958,0.3453861669341706,0.3520723189551916,147.7780623619039,130.41961114529113,37.666882112141955,175,851
6,0.0006000370485708,134,0.35431094015061343,0.38908338269297604,0.3845377833596576,0.0,0.0,236.9767745779586,0.43890427968516477,0.35431094015061343,0.35637664000244335,236.9767745779586,206.70565760508623,59.5179846626944,175,874
7,0.0007000611512921,134,0.3622762706997602,0.39934579328121383,0.39125331179170475,0.0,0.0,348.0204755723037,0.42670694944752197,0.3662072978052265,0.3622762706997602,348.0204755723037,299.20234867962824,85.32555158772617,187,850
8,0.0008000059169717,134,0.3659272799069397,0.4055200773138055,0.3978688917607615,0.0,0.0,476.27377795487007,0.4096493712806426,0.383307740452848,0.3659272799069397,476.27377795487007,440.52011318695963,112.50856101904074,187,850
9,0.0009000400896184,134,0.3684015806671748,0.4042999846849848,0.3989654049117978,0.0,0.0,614.5059392817298,0.38740710483840746,0.4051035108704215,0.3684015806671748,614.5059392817298,557.9958172071979,137.58506257219852,193,827
10,0.001000058487989,134,0.3582947533726395,0.39290474206402626,0.3862830956995481,0.0,0.0,784.351499576323,0.360251388774507,0.42955488249012763,0.3582947533726395,784.351499576323,699.0510534115894,157.34668186137407,199,826
11,0.0011000139638781,134,0.3274178005446389,0.35913271283848713,0.3559153365933134,0.0,0.0,774.3139717287505,0.3274178005446389,0.4598995196075055,0.3417392202433938,774.3139717287505,752.9396642676727,189.9741447277331,216,767
12,0.0012000863207504,134,0.28713407528832385,0.3371898326631822,0.32882370267479344,0.0,0.0,720.7401159296955,0.28713407528832385,0.4307886693943321,0.3384060740610456,202.1951168536269,720.7401159296955,371.62199914475144,20,767
13,0.0013000426115468,134,0.3150183769688271,0.3702654482261802,0.3612888470856468,0.0,0.0,795.7286018454353,0.3150183769688271,0.3999788867998002,0.3814758166531832,362.1809949410984,795.7286018454353,517.211198507978,20,767
14,0.0014000559458509,134,0.33115829629037763,0.3757387123604079,0.3700334245823435,0.0,0.0,830.3960529679937,0.33115829629037763,0.34046044828201,0.41333232592163466,274.41277207964487,830.3960529679937,473.59827188613383,20,767
15,0.0015000704443082,134,0.2869969374851642,0.37467392135569355,0.35206056809753145,0.0,0.0,504.648219681523,0.34358775476436837,0.2869969374851642,0.43219960123153106,398.45749705727394,504.648219681523,198.05304411622615,38,892
16,0.0016000049654394,134,0.32212236148848095,0.392179316461042,0.38029499025517627,0.0,0.0,617.3033357292629,0.39147084082607814,0.32212236148848095,0.440684391039308,617.3033357292629,605.9203240403597,261.57495804975156,55,894
17,0.0017000631196424,134,0.32704458995652097,0.40933075172342753,0.3916894916872446,0.0,0.0,603.9046685251544,0.4184653810152327,0.32704458995652097,0.4480494240594446,603.9046685251544,530.1826855826739,246.9872995049791,55,894
18,0.0018000535201281,134,0.31982929241968594,0.39553884399307393,0.3874678904728367,0.0,0.0,627.4451521009019,0.415679209989599,0.31982929241968594,0.4485847166911723,627.4451521009019,525.6317364341106,249.61499585411445,55,895
19,0.0019000484608113,134,0.301183094368999,0.3889980718477287,0.37021141554539105,0.0,0.0,674.0976523443522,0.3959840073907569,0.301183094368999,0.4373056368793482,674.0976523443522,516.9124299252999,250.4900732569207,55,895
20,0.002000059466809,134,0.2724583235955883,0.36565273427732925,0.3433485270587365,0.0,0.0,743.4157904436997,0.34825261162173105,0.2724583235955883,0.4240185962827227,743.4157904436997,508.11890131210566,251.31879302404622,55,895
21,0.0021000010892748,134,0.2349693618620387,0.3287200945040817,0.30688526709905145,0.0,0.0,811.3698351186736,0.2915402186398134,0.2349693618620387,0.40904616302227287,811.3698351186736,602.6883197668085,255.67128447661463,55,895
22,0.0022000833414494,134,0.19043710887178772,0.2691207760465907,0.260482721718456,0.0,0.0,782.6938121541891,0.22716440412751715,0.19043710887178772,0.39294843929590884,782.6938121541891,583.0169003158172,253.31810563496234,55,894
23,0.0023000345099717,134,0.15691535808976315,0.23327456197835697,0.22194903728327972,0.0,0.0,406.58801893851836,0.17973631699468806,0.15691535808976315,0.3803940768742555,406.58801893851836,392.93982466297734,201.70069125639478,55,894
24,0.002400042489171,134,0.17499745640481423,0.24573287971011182,0.23696691228054617,0.0,0.0,466.6626319396911,0.20894545539212195,0.17499745640481423,0.38838789481967095,450.8869823423037,466.6626319396911,214.8353561034318,54,896
25,0.0025000090245157,134,0.17354791218684668,0.24590330509656141,0.24250141378766152,0.0,0.0,419.2289947030379,0.22080090596283594,0.17354791218684668,0.3961331199300815,373.7712003613103,419.2289947030379,150.5868585847297,53,896
26,0.0026000451762229,134,0.16200608368118066,0.24608333805588226,0.23872273671653968,0.0,0.0,366.60470050223125,0.2183555635878897,0.16200608368118066,0.40049572947467993,312.439175511936,366.60470050223125,126.02421421820361,53,896
27,0.0027000687550753,134,0.14630113208838347,0.2392058815016914,0.22729033731727674,0.0,0.0,385.21028473782746,0.2072284670462226,0.14630113208838347,0.3967017240285262,325.28602132359674,385.21028473782746,126.24336272993787,53,896
28,0.0028000453021377,134,0.1270990992688124,0.22223883280554735,0.2081274414931801,0.0,0.0,430.0611773576127,0.18825156712041766,0.1270990992688124,0.39208118735760156,423.19776438647466,430.0611773576127,183.85680457862736,53,896
29,0.002900016028434,134,0.10561122628306499,0.19549582779648372,0.18111303292473319,0.0,0.0,436.70391032938835,0.1618183924744015,0.10561122628306499,0.387606187334926,436.70391032938835,382.35381698070086,251.88648670116766,53,896
30,0.003000000026077,134,0.09383918272091554,0.17954632300984566,0.1657681798619645,0.0,0.0,486.37500225504743,0.13985474204556475,0.09383918272091554,0.3849797877968708,486.37500225504743,277.5424806702098,299.86785822467647,54,895
