node,x_mm,y_mm,z_mm
222,-12.398018836975098,-8.989665031433105,-6.800962448120117
223,-12.589725494384766,-8.679922103881836,-6.4331889152526855
224,-12.97331714630127,-8.383326530456543,-6.2519755363464355
225,-13.446008682250977,-8.179349899291992,-6.305877685546875
226,-12.730549812316895,-9.3353271484375,-7.678425312042236
227,-12.449564933776855,-9.229558944702148,-7.256750106811523
228,-13.881144523620605,-8.122649192810059,-6.5804524421691895
229,-14.161553382873535,-8.22805404663086,-7.00101375579834
230,-14.021100997924805,-8.778830528259277,-7.82628059387207
231,-13.638376235961914,-9.074649810791016,-8.006901741027832
232,-13.165684700012207,-9.278626441955566,-7.953000068664551
233,-12.201330184936523,-8.59467601776123,-7.031100273132324
234,-12.393036842346191,-8.284933090209961,-6.663326740264893
235,-12.776628494262695,-7.988336563110352,-6.482113361358643
236,-13.249320030212402,-7.784361362457275,-6.536015510559082
237,-12.53386116027832,-8.940338134765625,-7.908563613891602
238,-12.252876281738281,-8.834569931030273,-7.4868879318237305
239,-13.684455871582031,-7.727660179138184,-6.8105902671813965
240,-13.965275764465332,-7.833283424377441,-7.23187780380249
241,-13.825008392333984,-8.383334159851074,-8.05605697631836
242,-13.44168758392334,-8.67966079711914,-8.237039566040039
243,-12.968996047973633,-8.883637428283691,-8.183137893676758
244,-12.00464153289795,-8.199687004089355,-7.261238098144531
245,-12.196348190307617,-7.889944076538086,-6.893465042114258
246,-12.579939842224121,-7.593347549438477,-6.712251663208008
247,-13.052631378173828,-7.3893723487854,-6.766153335571289
248,-12.33717155456543,-8.54534912109375,-8.138700485229492
249,-12.05618667602539,-8.439580917358398,-7.717026233673096
250,-13.48776626586914,-7.332671165466309,-7.0407280921936035
251,-13.76875114440918,-7.438438415527344,-7.462403297424316
252,-14.016985893249512,-8.073322296142578,-7.688053607940674
253,-13.820297241210938,-7.678333282470703,-7.918191432952881
254,-13.628589630126953,-7.988076686859131,-8.285964012145996
255,-13.244998931884766,-8.284671783447266,-8.467177391052246
256,-12.772307395935059,-8.488648414611816,-8.413275718688965
