time_s,time_ms,Vt_mm_s,Fmag_t_mN,Fmag_n_mN,Fmag_b_mN,Fwall_t_mN,Fwall_n_mN,Fwall_b_mN,Frobot_contact_t_mN,Frobot_contact_n_mN,Frobot_contact_b_mN,wall_contact_nodes,robot_contact_nodes,UR1_rad,UR2_rad,UR3_rad,Jmag_t_mN_s,Jwall_t_mN_s,Jwall_n_mN_s,Fwall_on_robot_t_mN,Fwall_on_robot_n_mN,Fwall_on_robot_b_mN,Jwall_on_robot_t_mN_s,Jwall_on_robot_n_mN_s,contact_state
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.495953421245566e-13,2.789902753335789e-13,-1.1731136476588432e-13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.00010010140249505639,0.10010140249505639,0.0009512631276264865,3.823706381502971e-08,-8.748063348119651e-08,-5.084860259615839e-08,0.0,0.0,0.0,-1.0976579420415935e-06,4.516584127299178e-06,1.0949295833596791e-06,0,140,2.5681729312054813e-06,-2.3958955353009515e-05,-1.4682626897410955e-05,1.913791857588723e-12,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.00020009747822768986,0.20009747822768986,0.004032732484946366,1.4178738761776995e-07,-3.243881764498984e-07,-1.8855242286009216e-07,0.0,0.0,0.0,-1.7715506815834493e-06,1.2362641435291168e-05,7.065506002812053e-06,0,135,3.8606223824899644e-05,-0.00036633090348914266,-0.00022210874885786325,1.0914661197188738e-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.00030009500915184617,0.30009500915184617,-0.07877672705702919,2.935420284493264e-07,-6.715799603674652e-07,-3.903595724247836e-07,0.0,0.0,0.0,9.536212156019184e-05,7.89303456715551e-05,6.126865479202644e-05,0,129,0.00018664634262677282,-0.0017732027918100357,-0.0010630217147991061,3.2680594569870926e-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0004000964399892837,0.4000964399892837,-0.18612667990123033,4.7476378924673967e-07,-1.0861880178655077e-06,-6.313528216519291e-07,0.0,0.0,0.0,3.6261130555193105e-05,5.1965572550707144e-05,-5.55991791158627e-05,0,113,0.0005847837892360985,-0.005336893256753683,-0.003155715763568878,7.109643511503793e-11,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0005000102100893855,0.5000102100893855,-0.06560319703977108,6.64349276057804e-07,-1.519930944550393e-06,-8.834683177788675e-07,0.0,0.0,0.0,-8.54455545665221e-05,9.432477479386564e-05,0.0002897770855908716,0,110,0.0013588151196017861,-0.01231006346642971,-0.0071428800001740456,1.2800297557746816e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0006000337889418006,0.6000337889418006,-0.6276811363144411,8.392445333978929e-07,-1.920065017958326e-06,-1.116048467247045e-06,0.0,0.0,0.0,0.00033006747684090717,0.0001968892898420465,5.073169737210856e-06,0,109,0.002664374653249979,-0.024259580299258232,-0.013869544491171837,2.032003925585157e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0007000539335422218,0.7000539335422218,-1.6233022931694427,9.745400006541241e-07,-2.2296005215130604e-06,-1.2959677274469686e-06,0.0,0.0,0.0,-0.0004885936132843685,-0.00020555915906494786,-0.0004618872587094688,0,115,0.004674974828958511,-0.04267364740371704,-0.024095386266708374,2.9390788824346086e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0008001028909347951,0.8001028909347951,-2.884642023968377,1.0467562679271374e-06,-2.3948205452946898e-06,-1.392002696180066e-06,0.0,0.0,0.0,0.0003779537520515825,-0.0004703644451299128,-6.370551363254925e-05,0,113,0.007517070509493351,-0.06889025121927261,-0.03844532370567322,3.9502218036998795e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.000900024373549968,0.900024373549968,-3.1521759916010366,1.0376455231104782e-06,-2.373976383785276e-06,-1.3798869545910192e-06,0.0,0.0,0.0,0.00018744249844407476,-0.0007140798729846642,-0.0009333080843251268,0,115,0.011389890685677528,-0.10387371480464935,-0.05712582916021347,4.991604390330881e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0010000310139730573,1.0000310139730573,-1.9305702028738283,9.387687849217365e-07,-2.147761479412042e-06,-1.2483983025954504e-06,0.0,0.0,0.0,0.0001819816950769318,-0.0004130696989536212,-0.0005026850631024314,0,104,0.016054634004831314,-0.14826343953609467,-0.08018417656421661,5.979877165483013e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001100089168176055,1.100089168176055,-0.31815909879028625,7.8089561347299e-07,-1.78657142987315e-06,-1.0384545260083722e-06,0.0,0.0,0.0,0.0005800086081078944,-0.0003877414491155093,0.00015645486646098813,0,99,0.021167881786823273,-0.20219320058822632,-0.10741294920444489,6.840209393242938e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0012000525603070855,1.2000525603070855,78.04469993800512,6.473824873817046e-07,-1.4811137161056975e-06,-8.609055457225872e-07,0.0,0.0,0.0,0.00012603772208480803,0.0012350778965087507,-0.001829362173386012,0,10,0.033088941127061844,-0.2525441348552704,-0.12371112406253815,7.554087012582445e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0013000078033655882,1.3000078033655882,74.94472758899794,6.627318731409524e-07,-1.5162306166339123e-06,-8.813174306711292e-07,0.0,0.0,0.0,-0.0004528215617663596,-0.00019847978401643835,-0.0011195401450663557,0,25,0.06570808589458466,-0.2691432535648346,-0.09566063433885574,8.20885100928483e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001400029519572854,1.400029519572854,64.95526950098034,6.449811806859517e-07,-1.4756197440281382e-06,-8.577121626656898e-07,0.0,0.0,0.0,0.00037320362477718204,0.000776065745561327,-0.00018942945030531557,0,42,0.09803450107574463,-0.2961888611316681,-0.07242924720048904,8.862849529036888e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0015000409912317991,1.5000409912317991,-209.76048403568393,6.256980617785978e-07,-1.4315029536798104e-06,-8.320690070416463e-07,0.0,0.0,0.0,0.00075559900686789,0.004471333365351812,0.01309087312559605,0,82,0.1282176822423935,-0.32438334822654724,-0.04772457107901573,9.498262034263654e-10,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0016000783070921898,1.6000783070921898,-210.94729000433148,7.610280305047067e-07,-1.7411173950841663e-06,-1.0120341473700963e-06,0.0,0.0,0.0,0.00011958929225678829,0.000663039775741045,-0.0005284914166705251,0,42,0.15382693707942963,-0.3098900318145752,0.009983224794268608,1.0191883814791605e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001700031803920865,1.700031803920865,-209.56212232736635,8.580713349801376e-07,-1.9631378549349797e-06,-1.1410847557703191e-06,0.0,0.0,0.0,0.00039595013811770364,-0.0004316100976847955,-0.0002427491771440817,0,59,0.18065445125102997,-0.30646249651908875,0.06237137317657471,1.1001057031258104e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.001800043974071741,1.800043974071741,-205.29090090233834,9.204971602782043e-07,-2.105958702790424e-06,-1.2241001957981452e-06,0.0,0.0,0.0,0.0002120569498443462,0.0003662549415598831,0.0009443092999100167,0,56,0.20831944048404694,-0.3132375478744507,0.11052559316158295,1.1890449506121928e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0019000410102307796,1.9000410102307796,-195.71898082651563,9.664117065074247e-07,-2.211004443413903e-06,-1.2851586269115689e-06,0.0,0.0,0.0,0.00021490295805514623,-0.0005907705785054594,-3.293560988793808e-05,0,68,0.2369203120470047,-0.3302686810493469,0.15477748215198517,1.2833875977025794e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0020000613294541836,2.0000613294541836,-189.58029904720775,9.602541107912784e-07,-2.196916860839023e-06,-1.276970064082861e-06,0.0,0.0,0.0,0.00032330665438139205,-5.170564459404385e-05,-0.00044779228821460645,0,39,0.2657108008861542,-0.3573257625102997,0.19574369490146637,1.3797404627440977e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0021000050473958254,2.1000050473958254,-186.48446709354016,9.208855282059387e-07,-2.106847252019867e-06,-1.2246167051852906e-06,0.0,0.0,0.0,0.000574749768547509,0.00027723430328240517,-0.0007581594693272886,0,80,0.29422855377197266,-0.394014835357666,0.23398542404174805,1.4737445074884875e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.002200073329731822,2.200073329731822,-181.10348946546156,8.483141394215822e-07,-1.940814858913243e-06,-1.1281094066571767e-06,0.0,0.0,0.0,0.0005520017113161402,-0.002073628539947164,0.0023662132531309834,0,67,0.3218468427658081,-0.4402206242084503,0.2697916328907013,1.5622648934129385e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.002300024265423417,2.300024265423417,-224.74760853202508,7.931852660634887e-07,-1.8146883748291207e-06,-1.0547976776583184e-06,0.0,0.0,0.0,0.0055888592870587325,-0.002076891259465746,-0.006828838394780976,0,83,0.35881683230400085,-0.4750331938266754,0.30746224522590637,1.6442995941706536e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.002400030381977558,2.400030381977558,-223.56983183746723,9.015627324323363e-07,-2.062639654259099e-06,-1.1989207885478623e-06,0.0,0.0,0.0,-0.00029137721076131573,-0.0006402571870517668,-0.00041086531409446767,0,27,0.42780348658561707,-0.4458644986152649,0.3523654043674469,1.729042177104389e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0025000926107168198,2.5000926107168198,-223.87004528723475,9.588273384733058e-07,-2.1936523661629633e-06,-1.275072710541245e-06,0.0,0.0,0.0,-0.00016810851193639067,-0.00044507240943078205,-0.0009543237444644749,0,39,0.49750247597694397,-0.42819076776504517,0.39365798234939575,1.8221195655139947e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0026000654324889183,2.6000654324889183,-223.35144851245076,9.808537290170541e-07,-2.244045577186251e-06,-1.3043639210248634e-06,0.0,0.0,0.0,-0.0005000318852761504,-0.0007810412274822188,-0.000736476423716124,0,59,0.5673945546150208,-0.42222294211387634,0.432675838470459,1.9190772603414587e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0027000736445188522,2.7000736445188522,-222.89402732496615,9.690432228197289e-07,-2.2170248946184484e-06,-1.288657976741967e-06,0.0,0.0,0.0,-0.0016224821180659363,0.0005863533232504999,0.0037092136781136115,0,42,0.6367557048797607,-0.4277481138706207,0.4706094563007355,2.016580114239366e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0028000748716294765,2.8000748716294765,-223.88879915502363,9.413482402523513e-07,-2.1536629326367397e-06,-1.251828510072759e-06,0.0,0.0,0.0,-0.000501062476861452,0.0003293996125191287,-0.0023301644752880928,0,45,0.7049075961112976,-0.4444750249385834,0.5083411931991577,2.1121008595238003e-09,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,none
0.0029000432696193457,2.9000432696193457,-194.4175057770861,8.678860625877399e-07,-1.985592384210994e-06,-1.154136623271237e-06,-0.022985349246926176,-0.05921128416142296,-0.18093745091201585,0.023160727865614843,0.0459760579912577,0.13085437754997134,4,114,0.7711933255195618,-0.47022849321365356,0.5467849969863892,2.202533986945421e-09,-1.1489042707264273e-06,-2.959628610270182e-06,0.022985349246926176,0.05921128416142296,0.18093745091201585,1.1489042707264273e-06,2.959628610270182e-06,active
0.003000000026077032,3.000000026077032,-189.53583217327287,8.569658997793866e-07,-1.9606088222772978e-06,-1.1396147360088165e-06,0.0,0.0,0.0,-0.0003141384518595099,-1.1604358383268363e-05,-0.000281127299298364,0,31,0.8500792384147644,-0.47032028436660767,0.58352130651474,2.288739290709368e-09,-2.29767474911136e-06,-5.918912565505292e-06,-0.0,-0.0,-0.0,2.29767474911136e-06,5.918912565505292e-06,none
