time_s,UR1,UR2,UR3,U1
0.0,0.0,0.0,0.0,0.0
0.00010010140249505639,2.5681729312054813e-06,-2.3958955353009515e-05,-1.4682626897410955e-05,2.4861066094672424e-08
0.00020009747822768986,3.8606223824899644e-05,-0.00036633090348914266,-0.00022210874885786325,6.721367071804707e-07
0.00030009500915184617,0.00018664634262677282,-0.0017732027918100357,-0.0010630217147991061,5.450713160826126e-06
0.0004000964399892837,0.0005847837892360985,-0.005336893256753683,-0.003155715763568878,2.2497881218441762e-05
0.0005000102100893855,0.0013588151196017861,-0.01231006346642971,-0.0071428800001740456,5.924435026827268e-05
0.0006000337889418006,0.002664374653249979,-0.024259580299258232,-0.013869544491171837,0.0001424174988642335
0.0007000539335422218,0.004674974828958511,-0.04267364740371704,-0.024095386266708374,0.00034621782833710313
0.0008001028909347951,0.007517070509493351,-0.06889025121927261,-0.03844532370567322,0.0006795449880883098
0.000900024373549968,0.011389890685677528,-0.10387371480464935,-0.05712582916021347,0.001142060849815607
0.0010000310139730573,0.016054634004831314,-0.14826343953609467,-0.08018417656421661,0.0016146035632118583
0.001100089168176055,0.021167881786823273,-0.20219320058822632,-0.10741294920444489,0.001973256701603532
0.0012000525603070855,0.033088941127061844,-0.2525441348552704,-0.12371112406253815,0.004649738315492868
0.0013000078033655882,0.06570808589458466,-0.2691432535648346,-0.09566063433885574,0.01575738936662674
0.001400029519572854,0.09803450107574463,-0.2961888611316681,-0.07242924720048904,0.026888104155659676
0.0015000409912317991,0.1282176822423935,-0.32438334822654724,-0.04772457107901573,0.039308127015829086
0.0016000783070921898,0.15382693707942963,-0.3098900318145752,0.009983224794268608,0.056796394288539886
0.001700031803920865,0.18065445125102997,-0.30646249651908875,0.06237137317657471,0.07445298135280609
0.001800043974071741,0.20831944048404694,-0.3132375478744507,0.11052559316158295,0.0921180322766304
0.0019000410102307796,0.2369203120470047,-0.3302686810493469,0.15477748215198517,0.10915102809667587
0.0020000613294541836,0.2657108008861542,-0.3573257625102997,0.19574369490146637,0.12565018236637115
0.0021000050473958254,0.29422855377197266,-0.394014835357666,0.23398542404174805,0.14173857867717743
0.002200073329731822,0.3218468427658081,-0.4402206242084503,0.2697916328907013,0.15750598907470703
0.002300024265423417,0.35881683230400085,-0.4750331938266754,0.30746224522590637,0.17387115955352783
0.002400030381977558,0.42780348658561707,-0.4458644986152649,0.3523654043674469,0.19558508694171906
0.0025000926107168198,0.49750247597694397,-0.42819076776504517,0.39365798234939575,0.21729879081249237
0.0026000654324889183,0.5673945546150208,-0.42222294211387634,0.432675838470459,0.23893825709819794
0.0027000736445188522,0.6367557048797607,-0.4277481138706207,0.4706094563007355,0.2605043351650238
0.0028000748716294765,0.7049075961112976,-0.4444750249385834,0.5083411931991577,0.2821013629436493
0.0029000432696193457,0.7711933255195618,-0.47022849321365356,0.5467849969863892,0.30362066626548767
0.003000000026077032,0.8500792384147644,-0.47032028436660767,0.58352130651474,0.3294921815395355
