quantity,CAD,mesh,relative_error
mass_mg,8.904428864007322,8.901528103660182,0.0003257660195215129
principal_inertia_1_tonne_mm2,7.257810693523445e-10,7.253337895044098e-10,0.0006162737867135108
principal_inertia_2_tonne_mm2,3.9293847411514895e-09,3.927638117640382e-09,0.0004445030523012139
principal_inertia_3_tonne_mm2,3.929384741151496e-09,3.9276384981180965e-09,0.00044440622347607304
COM_error_um,0.0,0.06119049424997278,
