time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  2.0505161596E-02,  2.3937062662E-01,  8.6046693217E+00,  0.0000000000E+00,  1.7847067375E-07
  2.0515231662E-02,  2.3945841745E-01,  8.7813888519E+00,  0.0000000000E+00,  1.8147783103E-07
  2.0525305286E-02,  2.3954735516E-01,  8.7718614551E+00,  0.0000000000E+00,  1.8444756252E-07
  2.0535374162E-02,  2.3963470824E-01,  8.6579384333E+00,  0.0000000000E+00,  1.8231088851E-07
  2.0545504970E-02,  2.3972255853E-01,  8.5653323269E+00,  0.0000000000E+00,  1.8274912540E-07
  2.0555610014E-02,  2.3980701440E-01,  8.3466468265E+00,  0.0000000000E+00,  1.8447723092E-07
  2.0565764519E-02,  2.3989482258E-01,  8.7270790310E+00,  0.0000000000E+00,  1.8498511659E-07
  2.0575857556E-02,  2.3998284656E-01,  8.6951800202E+00,  0.0000000000E+00,  1.8503992491E-07
  2.0586005068E-02,  2.4007022986E-01,  8.5315343282E+00,  0.0000000000E+00,  1.8394009730E-07
  2.0596112188E-02,  2.4015686983E-01,  8.5163379623E+00,  0.0000000000E+00,  1.8348343791E-07
  2.0606275732E-02,  2.4024267828E-01,  8.2727804142E+00,  0.0000000000E+00,  1.7940600155E-07
  2.0616322741E-02,  2.4032608779E-01,  8.3111490024E+00,  0.0000000000E+00,  1.7786607596E-07
  2.0626337682E-02,  2.4040811034E-01,  7.8692496118E+00,  0.0000000000E+00,  1.7917655970E-07
  2.0636429456E-02,  2.4048645901E-01,  7.3509022425E+00,  0.0000000000E+00,  1.8153191672E-07
  2.0646505528E-02,  2.4055874026E-01,  7.0635531192E+00,  0.0000000000E+00,  1.8440941678E-07
  2.0656644151E-02,  2.4063079947E-01,  7.5588002800E+00,  0.0000000000E+00,  1.8379302201E-07
  2.0666727660E-02,  2.4070614317E-01,  7.6010765252E+00,  0.0000000000E+00,  1.8408743770E-07
  2.0676799981E-02,  2.4078268886E-01,  7.5947872577E+00,  0.0000000000E+00,  1.8342278431E-07
  2.0686810502E-02,  2.4085711503E-01,  7.3311499872E+00,  0.0000000000E+00,  1.8286285273E-07
  2.0696943247E-02,  2.4093168186E-01,  7.4730375856E+00,  0.0000000000E+00,  1.8498352042E-07
  2.0706987671E-02,  2.4100687206E-01,  7.3001230912E+00,  0.0000000000E+00,  1.7600477133E-07
  2.0717109964E-02,  2.4107950729E-01,  7.1936032118E+00,  0.0000000000E+00,  1.8291700875E-07
  2.0727170697E-02,  2.4115080049E-01,  6.9543777194E+00,  0.0000000000E+00,  1.8450400043E-07
  2.0737294356E-02,  2.4121942152E-01,  6.6833142139E+00,  0.0000000000E+00,  1.8252727821E-07
  2.0747442039E-02,  2.4128527973E-01,  6.3372764274E+00,  0.0000000000E+00,  1.7943297823E-07
  2.0757549858E-02,  2.4135008173E-01,  6.4681618807E+00,  0.0000000000E+00,  1.8139422128E-07
  2.0767673344E-02,  2.4141251232E-01,  5.8473958760E+00,  0.0000000000E+00,  1.8100337427E-07
  2.0777844329E-02,  2.4147071616E-01,  5.5824585820E+00,  0.0000000000E+00,  1.8046357631E-07
  2.0787862292E-02,  2.4152379781E-01,  5.0491305988E+00,  0.0000000000E+00,  1.8344537595E-07
  2.0797982677E-02,  2.4157317025E-01,  4.6698024640E+00,  0.0000000000E+00,  1.8501208620E-07
  2.0808149676E-02,  2.4161969189E-01,  4.3911385136E+00,  0.0000000000E+00,  1.8428678911E-07
  2.0818294015E-02,  2.4166304251E-01,  4.1207139389E+00,  0.0000000000E+00,  1.8371298938E-07
  2.0828322329E-02,  2.4170307764E-01,  3.7544906642E+00,  0.0000000000E+00,  1.8114575213E-07
  2.0838495712E-02,  2.4174264884E-01,  3.8439121668E+00,  0.0000000000E+00,  1.8113075899E-07
  2.0848662946E-02,  2.4177936429E-01,  3.3902484256E+00,  0.0000000000E+00,  1.8306128103E-07
  2.0858754622E-02,  2.4181305126E-01,  3.2510830004E+00,  0.0000000000E+00,  1.8383774970E-07
  2.0868870961E-02,  2.4184473733E-01,  3.0610726741E+00,  0.0000000000E+00,  1.8399288570E-07
  2.0878952136E-02,  2.4187520064E-01,  3.0732312439E+00,  0.0000000000E+00,  1.8142761928E-07
  2.0888985356E-02,  2.4190659799E-01,  3.2947459553E+00,  0.0000000000E+00,  1.8268686884E-07
  2.0899067680E-02,  2.4194116056E-01,  3.4659115018E+00,  0.0000000000E+00,  1.8332423596E-07
  2.0909125958E-02,  2.4197632123E-01,  3.5302485002E+00,  0.0000000000E+00,  1.8303930224E-07
  2.0919177245E-02,  2.4201138449E-01,  3.4036506768E+00,  0.0000000000E+00,  1.8395978066E-07
  2.0929232189E-02,  2.4204550540E-01,  3.3634848852E+00,  0.0000000000E+00,  1.8320761081E-07
  2.0939326911E-02,  2.4207883977E-01,  3.1807689596E+00,  0.0000000000E+00,  1.8426606717E-07
  2.0949429207E-02,  2.4211056107E-01,  3.1474819547E+00,  0.0000000000E+00,  1.8334318505E-07
  2.0959511647E-02,  2.4214154505E-01,  3.0277516834E+00,  0.0000000000E+00,  1.8417561635E-07
  2.0969615183E-02,  2.4217248255E-01,  3.1371995359E+00,  0.0000000000E+00,  1.8358708398E-07
  2.0979724244E-02,  2.4220465286E-01,  3.1951065326E+00,  0.0000000000E+00,  1.8445305595E-07
  2.0989810824E-02,  2.4223649446E-01,  3.1261985754E+00,  0.0000000000E+00,  1.8442440859E-07
  2.0999949102E-02,  2.4226743958E-01,  3.0283118561E+00,  0.0000000000E+00,  1.8338177689E-07
  2.1010065699E-02,  2.4229811490E-01,  3.0563465350E+00,  0.0000000000E+00,  1.8423237601E-07
