length_mm,diameter_mm,L_over_D,offset_n_mm,head_radial_correction_mm,head_correction_direction_n,head_contact_phase_sign,tail_contact_phase_sign,HEAD_touch_deg,TAIL_touch_deg,touch_difference_deg,initial_min_gap_mm,HEAD_phase_opposite_end_gap_mm,TAIL_phase_opposite_end_gap_mm,same_phase_STATIC_BOTH_bridge,score,passes_geometry_gate
2.6,0.815,3.190184049079755,0.015,0.042499999999999996,-1,-1,1,14.387837515678257,13.423312820959836,0.9645246947184205,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,1.8067503135651208,False
2.6,0.815,3.190184049079755,0.015,0.04125,-1,-1,1,14.435040669050068,13.423312820959836,1.0117278480902314,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,2.868091861903653,False
2.65,0.815,3.2515337423312887,0.015,0.035,-1,-1,1,14.359400325920433,13.144254044163972,1.2151462817564607,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,False,3.539469335973248,False
2.6,0.815,3.190184049079755,0.01,0.035,-1,-1,1,14.381188924890012,13.165823605377227,1.2153653195127845,0.24935461779172163,-0.04250336940546995,0.011707725561487359,False,3.810765026261395,False
2.6,0.815,3.190184049079755,0.015,0.04,-1,-1,1,14.482250723522156,13.423312820959836,1.0589379025623202,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,4.2843934960663175,False
2.6,0.815,3.190184049079755,0.015,0.03875,-1,-1,1,14.529467623215169,13.423312820959836,1.1061548022553325,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,5.700900486856685,False
2.6,0.815,3.190184049079755,0.015,0.037500000000000006,-1,-1,1,14.576691307593137,13.423312820959836,1.1533784866333008,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,7.117611018195734,False
2.6,0.815,3.190184049079755,0.015,0.036250000000000004,-1,-1,1,14.623921720776707,13.423312820959836,1.2006088998168707,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,8.534523413702832,False
2.6,0.815,3.190184049079755,0.015,0.035,-1,-1,1,14.671158806886524,13.423312820959836,1.2478459859266877,0.24506734645848444,-0.047474806775590905,0.006767560201690115,False,9.951635996997343,False
2.6,0.815,3.190184049079755,0.01,0.04125,-1,-1,1,14.145586241502315,13.165823605377227,0.9797626361250877,0.24566222917081526,-0.04250336940546995,0.011707725561487359,True,20.033333333333335,False
2.6,0.815,3.190184049079755,0.01,0.042499999999999996,-1,-1,1,14.098486474249512,13.165823605377227,0.9326628688722849,0.24492375144663386,-0.04250336940546995,0.011707725561487359,True,20.033333333333335,False
2.6,0.815,3.190184049079755,0.01,0.04375,-1,-1,1,14.051393757108599,13.165823605377227,0.8855701517313719,0.24418527372245308,-0.04250336940546995,0.011707725561487359,True,20.033333333333335,False
2.6,0.815,3.190184049079755,0.01,0.045,-1,-1,1,14.004308155272156,13.165823605377227,0.8384845498949289,0.24344679599827135,-0.04250336940546995,0.011707725561487359,True,20.033333333333335,False
2.6,0.815,3.190184049079755,0.015,0.045,-1,-1,1,14.293452135752887,13.423312820959836,0.8701393147930503,0.24506734645848444,-0.047474806775590905,0.006767560201690115,True,20.05,False
2.65,0.815,3.2515337423312887,0.015,0.04125,-1,-1,1,14.12872398039326,13.144254044163972,0.9844699362292886,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,20.2,False
2.65,0.815,3.2515337423312887,0.015,0.042499999999999996,-1,-1,1,14.082607647869736,13.144254044163972,0.9383536037057638,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,20.2,False
2.65,0.815,3.2515337423312887,0.015,0.04375,-1,-1,1,14.036497750785202,13.144254044163972,0.8922437066212296,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,20.2,False
2.65,0.815,3.2515337423312887,0.015,0.045,-1,-1,1,13.990394345019013,13.144254044163972,0.8461403008550406,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,20.2,False
2.6,0.815,3.190184049079755,0.01,0.04,-1,-1,1,14.192693007644266,13.165823605377227,1.0268694022670388,0.246400706894997,-0.04250336940546995,0.011707725561487359,True,20.302027356003723,False
2.65,0.815,3.2515337423312887,0.015,0.04,-1,-1,1,14.174846697133034,13.144254044163972,1.0305926529690623,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,20.505926529690623,False
2.6,0.815,3.190184049079755,0.01,0.03875,-1,-1,1,14.239806712139398,13.165823605377227,1.0739831067621708,0.24713918461917772,-0.04250336940546995,0.011707725561487359,True,20.773164400955043,False
2.6,0.815,3.190184049079755,0.015,0.04375,-1,-1,1,14.340641319286078,13.423312820959836,0.917328498326242,0.24506734645848444,-0.047474806775590905,0.006767560201690115,True,20.86282638572155,False
2.65,0.815,3.2515337423312887,0.015,0.03875,-1,-1,1,14.220975742209703,13.144254044163972,1.0767216980457306,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,20.967216980457305,False
2.6,0.815,3.190184049079755,0.01,0.037500000000000006,-1,-1,1,14.286927308421582,13.165823605377227,1.121103703044355,0.24787766234335945,-0.04250336940546995,0.011707725561487359,True,21.244370363776884,False
2.65,0.815,3.2515337423312887,0.015,0.037500000000000006,-1,-1,1,14.267111064400524,13.144254044163972,1.1228570202365518,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,21.428570202365517,False
2.6,0.815,3.190184049079755,0.005,0.04,-1,-1,1,13.904134274926037,12.90903669083491,0.9950975840911269,0.24142926952487503,-0.03753193203534788,0.01664789092128449,True,21.835932849968472,False
2.6,0.815,3.190184049079755,0.005,0.04125,-1,-1,1,13.857129730749875,12.90903669083491,0.9480930399149656,0.24069079180069325,-0.03753193203534788,0.01664789092128449,True,21.835932849968472,False
2.6,0.815,3.190184049079755,0.005,0.042499999999999996,-1,-1,1,13.810132287908345,12.90903669083491,0.9010955970734358,0.2399523140765119,-0.03753193203534788,0.01664789092128449,True,21.835932849968472,False
2.6,0.815,3.190184049079755,0.005,0.04375,-1,-1,1,13.763141992967576,12.90903669083491,0.8541053021326661,0.23921383635233107,-0.03753193203534788,0.01664789092128449,True,21.835932849968472,False
2.6,0.815,3.190184049079755,0.005,0.045,-1,-1,1,13.71615890180692,12.90903669083491,0.8071222109720111,0.23847535862814945,-0.03753193203534788,0.01664789092128449,True,21.835932849968472,False
2.65,0.815,3.2515337423312887,0.015,0.036250000000000004,-1,-1,1,14.313252612482756,13.144254044163972,1.1689985683187842,0.24506734645848416,-0.053344921365939046,0.0014269935985894433,True,22.155037932842955,False
2.6,0.815,3.190184049079755,0.005,0.03875,-1,-1,1,13.951145855244249,12.90903669083491,1.0421091644093394,0.2421677472490557,-0.03753193203534788,0.01664789092128449,True,22.257024494061866,False
2.65,0.815,3.2515337423312887,0.01,0.04,-1,-1,1,13.892322888132185,12.892751900944859,0.999570987187326,0.2464007068949965,-0.048373483995817534,0.006367158958386576,True,22.328295314436158,False
