time_s,TAIL_gap_mm,TAIL_gap_velocity_mm_s,TAIL_wall_proximity,TAIL_contact_event,TAIL_total_general_contact_resultant_N,rocking_deg
0.0,0.2450673464662695,0.05232511688429098,0,0,0.0,3.583314024814096e-15
0.0002500389819033444,0.2450804297852232,1.050542111916343,0,0,0.0,0.0014077174401740781
0.000500026682857424,0.24559254318516144,6.555534673551392,0,0,0.0,0.03916879435867187
0.0007500089704990387,0.2483579515863405,3.5012308865114505,0,0,0.0,0.2507320448030765
0.0010000064503401518,0.24734285804061468,-52.28938733751414,0,0,0.0,0.8527998482208136
0.0012500353623181581,0.22220884583561784,-126.55234059831162,0,0,0.0,1.9979310452284686
0.001500029698945582,0.1840655453003051,-170.67975270114056,0,0,0.0,3.6985098657225164
0.0017500376561656594,0.13686808480854618,-202.1553156657958,0,0,1.4839656558874974e-05,5.906557544087897
0.00200000056065619,0.08299498266250505,-215.24936499399405,0,0,0.0001232632379740161,8.487436204869574
0.0022500406485050917,0.029242800673421665,-152.1609598612347,0,0,0.00018867918347616894,11.227818488290698
0.002500029979273677,0.006903650574919817,6.082589200398274,0,1,5.996058194734685e-05,12.971512278719606
0.002750028856098652,0.032285845788629586,94.93977238027678,0,0,2.754964659639199e-05,12.286552258757906
0.003000011434778571,0.05437199094001277,71.76407455709509,0,0,3.075048892488017e-06,11.672964337059057
0.0032500289380550385,0.06816673030275855,36.78337600915155,0,0,5.643854765072368e-07,11.266943674953858
0.0035000357311218977,0.07276496659600218,0.005956122336385761,0,0,0.0,11.176977520276886
0.0037500280886888504,0.0681702391798712,-17.775063079667802,0,0,0.0,11.283002055827348
0.004000003449618816,0.06387798831679858,-25.95710712785727,0,0,1.4086641468887696e-06,11.1942625681631
0.0042500062845647335,0.05519176876538312,-37.22013557623376,0,0,1.7021774451462803e-06,11.502715834130123
0.004500005394220352,0.045267866595251505,-43.6480946774242,0,0,5.822609462244397e-06,11.87919773141599
0.0047500296495854855,0.033366502809016985,-47.965839994700225,0,0,2.7202393626100388e-05,12.40284116308196
0.005000032018870115,0.021283685500488425,-61.997692195324646,0,0,0.00013019149812113076,12.849293573824852
0.005250026471912861,0.00236807009696971,-26.03099692020416,1,1,5.0501716237109535e-05,13.402962198450334
0.005500016734004021,0.00826816890397264,30.00310459869445,0,1,3.2901452851263964e-05,13.059490835875325
0.005750040989369154,0.01737049323027484,33.602424379693296,0,0,3.530938064044952e-05,12.587607800998628
0.006000009831041098,0.025069459790032722,31.8508683885195,0,0,2.1100330524566005e-06,12.076845111351913
0.0062500182539224625,0.033295286500046095,35.578817408440436,0,0,2.4757138763149178e-06,11.487475003402732
0.006500013638287783,0.04285893415512565,42.771391973653536,0,0,2.7669196440830328e-06,10.777664583109342
0.0067500281147658825,0.05468157669904927,42.4149339456482,0,0,1.6207893347234069e-06,9.908355193045153
0.007000015117228031,0.06406673159854481,35.90987149437716,0,0,5.1204665509749285e-05,8.851140061174092
0.007250015623867512,0.07263601980195222,24.30628256312022,0,0,3.229406815438595e-06,7.5893370194992045
0.007500036153942347,0.07621998488906667,1.7385530952536499,0,0,1.802645471399399e-06,6.123944915928609
0.0077500357292592525,0.07350585917946151,-19.51550948731773,0,0,6.155422137648784e-06,4.47665815562924
0.00800000037997961,0.06646353307360975,-28.17328804515722,0,0,1.0853502782540991e-05,2.6857307073396197
