time_s,theta_tilt_deg,signed_rocking_deg,psi_robot_deg,psi_command_deg,plane_lag_deg,psi_plane_robot_deg,alpha_command_deg,u1,u2,COM_u1_um,COM_u2_um,COM_radial_um,COM_azimuth_deg,axial_mm,HEAD_gap_um,TAIL_gap_um,BODY_gap_um,minimum_gap_um,contact_state,contact_sector_deg,contact_sector_text,T_rock_Nmm,T_precess_Nmm,peak_normal_force_in_bin_N,peak_tangential_force_in_bin_N,com_x,com_y,com_z,ur1,ur2,ur3
0.0,3.6535699548968934e-15,3.975693351829396e-15,-58.29518641452173,-83.87284757596326,25.57766116144154,-58.29518641452174,0.0,3.351221678143668e-17,-5.4250707995415454e-17,0.0,0.0,0.0,0.0,0.0,278.24464219236586,259.8460336118554,259.846033598757,259.846033598757,FREE,,none,5.1318175156848905e-16,-8.057417070187606e-22,0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,0.0,0.0,0.0
9.940000018104911e-05,3.0845318150387447e-06,3.0845313740682835e-06,-83.81404965896222,-83.78338757580032,-0.0306620831619,-83.81404965896222,0.08957912399712048,5.801046757808572e-09,-5.352177591976124e-08,-9.689089939061352e-09,8.939629855809493e-08,8.991983462915878e-08,96.18577508332504,-7.872374547223295e-13,278.24460163256066,259.84597966958273,259.845986564761,259.84597966958273,FREE,,none,4.727856319545857e-07,-3.1502582441907127e-12,0.0,0.0,-7.468174204298164,-3.6769180160467356,-9.550745259258912,-8.445685928393232e-09,2.4604958070995053e-08,4.713278300982893e-08
0.00019880000036209822,9.412821332856418e-05,9.412815979846963e-05,-83.75503198317718,-83.69392757563737,-0.061104407539801286,-83.75503198317718,0.179154753873513,1.7870821940537013e-07,-1.6330984145351754e-06,-2.984801539687964e-07,2.727663895228282e-06,2.743946196200858e-06,96.24486008705996,-2.4036177784168828e-11,278.2434056796348,259.8443883034826,259.84459862999506,259.8443883034826,FREE,,none,3.5035387497859494e-06,-2.7227422598693983e-11,0.0,0.0,-7.468174204715782,-3.676918018401466,-9.550745258107723,-2.5798252067943395e-07,7.493481462006457e-07,1.4390516298590228e-06
0.0002982000005431473,0.000679751170462252,0.0006797502936357753,-83.69649548146904,-83.60446757547443,-0.09202790599459831,-83.69649548146904,0.26872339564474124,1.3025977315184184e-06,-1.1792169770206006e-05,-2.175557941949321e-06,1.969529700679583e-05,1.981508961737694e-05,96.30338250850345,-1.7347798988491162e-10,278.2357214086153,259.8341585996193,259.835676637319,259.8341585996193,FREE,,none,1.0889074251398778e-05,-1.223601680716804e-10,0.0,0.0,-7.468174207398789,-3.6769180335564426,-9.550745250720269,-1.864836917775392e-06,5.400688678491861e-06,1.0397450751042925e-05
0.00039760000072419643,0.0027146821507831164,0.002714675847122932,-83.6384813175892,-83.51500757531149,-0.12347374227772434,-83.6384813175892,0.35828155559894653,5.249789204753759e-06,-4.708840129894846e-05,-8.767840172924428e-06,7.864531749985425e-05,7.91325532631851e-05,96.36140006253537,-6.914215838528605e-10,278.20905057320925,259.79863575141377,259.80469487699145,259.79863575141377,FREE,,none,2.3542909736834444e-05,-5.432515655127767e-10,0.0,0.0,-7.468174216709108,-3.6769180862478477,-9.550745225112356,-7.454623300873209e-06,2.152578963432461e-05,4.154451744398102e-05
0.0004970000009052455,0.007818104818906015,0.007818076033588955,-83.58102685598712,-83.42554757514854,-0.15547928083856277,-83.58102685598712,0.44782574043312384,1.5255024641937464e-05,-0.00013559624792207532,-2.5477322838044526e-05,0.00022646265039439527,0.0002278912591624524,96.41885535377176,-1.9811376776902446e-09,278.14224076115534,259.7096083061325,259.72704854465405,259.7096083061325,FREE,,none,4.140327173368372e-05,-2.2489205632465856e-09,0.0,0.0,-7.468174240020811,-3.6769182184708695,-9.55074516104621,-2.148914609279018e-05,6.187122198753059e-05,0.00011970475316047668
0.0005964000010862947,0.018265014365102854,0.018264915959407484,-83.52416555271788,-83.3360875749856,-0.1880779777322914,-83.52416555271788,0.5373524573893812,3.595385275304278e-05,-0.0003167506319393382,-6.004493631658243e-05,0.0005290007001437528,0.0005323975348645439,96.4757190739043,-4.579982300250834e-09,278.00564195390723,259.5274945094114,259.5682168563637,259.5274945094114,FREE,,none,6.334973997334506e-05,-7.660991766355175e-09,0.0,0.0,-7.468174287641456,-3.6769184892970896,-9.550745030216634,-5.025086284149438e-05,0.00014426502457354218,0.00027979654259979725
0.0006958000012673438,0.0368429757664282,0.036842700936967655,-83.467933096793,-83.24662757482265,-0.22130552197035058,-83.467933096793,0.6268582143911782,7.315075954785936e-05,-0.0006388568513044657,-0.00012216303190580653,0.0010669203741499528,0.001073891470838974,96.53195523676808,-9.064487964552686e-09,277.7630247418145,259.2038796038267,259.28597738067515,259.2038796038267,FREE,,none,8.721027479918529e-05,-2.1447491018055276e-08,0.0,0.0,-7.468174372087051,-3.676918971201668,-9.550744798110488,-0.00010145617852685973,0.00029044030816294253,0.0005646594217978418
0.0007952000014483929,0.06657561371810136,0.06657495319973665,-83.41239247584468,-83.15716757465971,-0.2552249011849881,-83.41239247584468,0.7163395201795376,0.00013330310405735725,-0.0011542916546940334,-0.00022261326072700778,0.0019276738948901726,0.0019404853281827614,96.58749864567702,-1.587636145511414e-08,277.3752320889955,258.65769889007174,258.82226698103193,258.65769889007174,FREE,,none,0.00010992179116604408,-5.059862158532006e-08,0.0,0.0,-7.4681745067100875,-3.6769197429234977,-9.550744427495689,-0.0001834988361224532,0.0005238257581368089,0.0010208302410319448
0.000894600001629442,0.11033399123980223,0.11033257849058054,-83.35765316232869,-83.06770757449677,-0.28994558783193725,-83.35765316232869,0.805792884449226,0.00022274711709376697,-0.0019127641251606405,-0.00037197398455929363,0.0031942495460527518,0.00321583500939447,96.64224150659281,-2.5083790722764033e-08,276.8052754296225,257.8125186589508,258.0851875033097,257.8125186589508,FREE,,none,0.00012788968335901974,-1.0304282330180517e-07,0.0,0.0,-7.4681747037902,-3.6769208793948804,-9.550743883253547,-0.0003043791512027383,0.0008664839551784098,0.0016925857635214925
