time_s,alpha_command_deg,psi_unwrapped_deg,psi_wrapped_deg,B_T,Bc_T,qB1_T,qB2_T,Bx_aba_T,By_aba_T,Bz_aba_T
0.0,0.0,-83.87284757596326,-83.87284757596326,0.01,0.010000000000000002,-2.168404344971009e-19,-2.168404344971009e-19,0.009762799602464314,-0.0006183202474468873,0.0020749515641864673
0.0001,0.09011983579706016,-83.78284757596326,-83.78284757596326,0.009999999999999998,0.00999998763012151,1.7033891263680979e-06,-1.5636364098653866e-05,0.009765129277752265,-0.0006043595677617116,0.0020680908349587526
0.0002,0.18023611381731292,-83.69284757596326,-83.69284757596326,0.01,0.009999950522469998,3.4558246251282457e-06,-3.126668239856372e-05,0.009767426930416668,-0.0005903754180656798,0.0020612685474520327
0.00030000000000000003,0.2703452764244058,-83.60284757596327,-83.60284757596327,0.01,0.009999888682996961,5.257217098506321e-06,-4.6890183809579706e-05,0.009769692451543332,-0.0005763684901130624,0.0020544850366605314
0.0004,0.3604437662628908,-83.51284757596326,-83.51284757596326,0.010000000000000002,0.00999980212162048,7.1074727969091655e-06,-6.250609782282248e-05,0.00977192573679639,-0.0005623394778127945,0.0020477406345115073
0.0005,0.45052802639866224,-83.42284757596326,-83.42284757596326,0.01,0.009999690852223521,9.006493626042807e-06,-7.81136545669409e-05,0.009774126686424944,-0.0005482890771775995,0.002041035669841045
0.0006000000000000001,0.5405945004593791,-83.33284757596326,-83.33284757596326,0.01,0.009999554892651636,1.0954177154459373e-05,-9.371208486430799e-05,0.009776295205269027,-0.0005342179862728951,0.002034370468370101
0.0007,0.6306396327748637,-83.24284757596327,-83.24284757596327,0.01,0.009999394264709948,1.29504166215121e-05,-0.000109300620287136,0.00977843120276481,-0.0005201269051654925,0.002027745352680784
0.0008,0.7206598685174745,-83.15284757596326,-83.15284757596326,0.01,0.009999208994159507,1.4995100945744237e-05,-0.00012487849321349818,0.009780534592949117,-0.0005060165358720991,0.002021160642192909
0.0009000000000000001,0.8106516538424436,-83.06284757596326,-83.06284757596326,0.010000000000000002,0.00999899911071297,1.7088114733687133e-05,-0.00014044493688325065,0.009782605294463195,-0.0004918875823076373,0.0020146166531408013
0.001,0.9006114360281768,-82.97284757596326,-82.97284757596326,0.009999999999999998,0.00999876464802961,1.9229338289084843e-05,-0.00015599918545385776,0.009784643230555768,-0.0004777407502333664,0.0020081136985503644
0.0011,0.9905356636165095,-82.88284757596327,-82.88284757596327,0.01,0.009998505643709698,2.1418647622524446e-05,-0.00017154047405609101,0.00978664832908539,-0.0004635767472048494,0.002001652088216416
0.0012000000000000001,1.0804207865529114,-82.79284757596326,-82.79284757596326,0.010000000000000002,0.009998222139288167,2.3655914461490502e-05,-0.00018706803884960613,0.009788620522522027,-0.0004493962825197415,0.0019952321286802912
0.0013000000000000002,1.1702632563266369,-82.70284757596326,-82.70284757596326,0.01,0.00999791418022767,2.5941006260824353e-05,-0.00020258111707839393,0.009790559747947963,-0.00043520006716542747,0.00198885412320772
0.0014,1.2600595261108138,-82.61284757596326,-82.61284757596326,0.010000000000000002,0.009997581815910964,2.827378621359628e-05,-0.0002180789471260794,0.009792465947057967,-0.00042098881376651014,0.001982518371766983
0.0015,1.349806050902468,-82.52284757596327,-82.52284757596327,0.010000000000000004,0.00999722509963263,3.06541132623901e-05,-0.00023356076857108357,0.009794339066158723,-0.0004067632365321528,0.0019762251710073414
0.0016,1.4394992876624706,-82.43284757596327,-82.43284757596327,0.01,0.00999684408859013,3.308184211098762e-05,-0.00024902582224161783,0.009796179056167557,-0.0003925240512032953,0.001969974814237751
0.0017000000000000001,1.5291356954554136,-82.34284757596326,-82.34284757596326,0.010000000000000002,0.009996438843874257,3.555682323646138e-05,-0.00026447335027051234,0.009797985872610443,-0.00037827197499974675,0.0019637675914058687
0.0018000000000000002,1.6187117355893998,-82.25284757596326,-82.25284757596326,0.010000000000000004,0.009996009430458858,3.80789029016703e-05,-0.0002799025961498741,0.009799759475619263,-0.00036400772656715655,0.0019576037890773348
0.0019,1.7082238717557432,-82.16284757596327,-82.16284757596327,0.01,0.009995555917189989,4.064792316815129e-05,-0.0002953128047855629,0.00980149982992838,-0.0003497320259238799,0.0019514836904153546
0.002,1.797668570168578,-82.07284757596327,-82.07284757596327,0.010000000000000002,0.009995078376774378,4.3263721909411355e-05,-0.00031070322255146473,0.009803206904870482,-0.0003354455944077517,0.0019454075751605775
0.0021000000000000003,1.8870422997043637,-81.98284757596326,-81.98284757596326,0.01,0.009994576885767227,4.592613282461476e-05,-0.0003260730973435827,0.009804880674371687,-0.0003211491546227548,0.0019393757196112605
0.0022,1.9763415320412914,-81.89284757596326,-81.89284757596326,0.010000000000000002,0.00999405152455944,4.8634985452659886e-05,-0.00034142167863390445,0.009806521116945969,-0.0003068434303856216,0.001933388396603746
0.0023,2.0655627417985722,-81.80284757596327,-81.80284757596327,0.01,0.00999350237736412,5.139010518665074e-05,-0.0003567482175240613,0.009808128215688827,-0.0002925291466723505,0.00192744587549323
0.0024000000000000002,2.1547024066756175,-81.71284757596327,-81.71284757596327,0.01,0.00999292953220252,5.4191313288747467e-05,-0.0003720519667987647,0.009809701958270288,-0.00027820702956466185,0.0019215484221348424
0.0025,2.243757007591088,-81.62284757596326,-81.62284757596326,0.01,0.009992333080889279,5.703842690541112e-05,-0.00038733218097900695,0.009811242336927154,-0.00026387780619639353,0.0019156962988650303
0.0026000000000000003,2.3327230288218264,-81.53284757596326,-81.53284757596326,0.01,0.009991713119017098,5.993125908302006e-05,-0.00040258811637502697,0.009812749348454573,-0.00024954220469984817,0.0019098897644832518
0.0027,2.4215969581416488,-81.44284757596326,-81.44284757596326,0.009999999999999998,0.009991069745940724,6.286961878387452e-05,-0.0004178190311390185,0.009814222994196879,-0.000235200954152103,0.001904129074233987
0.0028,2.5103752869600013,-81.35284757596327,-81.35284757596327,0.01,0.00999040306476036,6.585331090256676e-05,-0.0004330241853175989,0.009815663280037744,-0.00022085478452128063,0.0018984144797890528
