time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,center_x_mm,center_y_mm,center_z_mm,head_x_mm,head_y_mm,head_z_mm,tail_x_mm,tail_y_mm,tail_z_mm,B_x_T,B_y_T,B_z_T,axis_x,axis_y,axis_z,tangent_x,tangent_y,tangent_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,directed_tilt_deg,robot_phase_deg,delta_s_mm,Vt_mm_s,contact_state
0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666580412714,-3.533553463685733,-9.833964583199306,-6.41276858236309,-3.806964209277926,-9.293836599804548,-0.00278361379434,-0.0074443228376043,0.0115253438878622,0.9647382600215763,-0.11887423721399708,0.2348382536498942,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36237457089361,0.0,0.0,0.0,NONE
9.999949725170154e-06,0.0002999984917551046,-7.468174204281082,-3.676918015960246,-9.5507452593098,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666577480955,-3.5335534578025234,-9.833964592268435,-6.41276858501693,-3.8069642146017135,-9.293836591600432,-0.002776275297090201,-0.007436135466151499,0.011532397034297063,0.9647382575930543,-0.11887424208660441,0.2348382611600017,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362375047648376,-1.0162673579833478e-06,2.0623502905436908e-12,8.234157611697213e-07,NONE
1.9999899450340308e-05,0.0005999969835102092,-7.468174204237504,-3.6769180158594637,-9.550745259486119,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666533688323,-3.5335533699955466,-9.833964727773497,-6.412768624658181,-3.806964294059347,-9.293836469019855,-0.0027688773642018955,-0.007427846718590545,0.011539514987582405,0.964738221317453,-0.11887431481034794,0.2348383733711489,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362382167037001,-1.621065850481455e-05,3.282529803527723e-11,6.550637976852549e-06,NONE
2.9999850085005164e-05,0.0008999955025501549,-7.468174204049556,-3.6769180154252763,-9.550745260246805,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631666344815285,-3.533552991638985,-9.833965312366534,-6.412768795626752,-3.8069646364390937,-9.293835940185367,-0.0027614942971526564,-0.007419539133467091,0.011546626413751279,0.9647380648645797,-0.11887462817396018,0.23483885747007224,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362412862418868,-8.180946087570415e-05,1.6544099423754233e-10,2.1985436354600897e-05,NONE
3.9999798900680616e-05,0.0011999939670204185,-7.468174203546025,-3.676918014263355,-9.550745262285433,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631665838800277,-3.533551978931979,-9.833966879042194,-6.412769253673415,-3.806965552851186,-9.293834522939475,-0.002754126124180488,-0.007411212742556579,0.011553731285604142,0.9647376457073316,-0.11887546692139435,0.23484015482726905,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36249507202805,-0.00025774077525415206,5.205471609315282e-10,5.182300267255053e-05,NONE
4.9999751354334876e-05,0.0014999925406300463,-7.468174202489583,-3.6769180118283695,-9.550745266564014,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631664777139518,-3.5335498562365735,-9.833970167048657,-6.412770214692687,-3.8069674737075028,-9.29383154854373,-0.0027467728674357493,-0.007402867570890479,0.011560829581782148,0.9647367662812307,-0.11887722498736064,0.2348428776108375,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362667496005976,-0.0006272434375799251,1.2652030534354708e-09,0.00010065113285553988,NONE
5.999970017001033e-05,0.0017999910051003098,-7.468174200578173,-3.676918007427921,-9.550745274307669,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631662856278583,-3.533546019404346,-9.833976117787307,-6.412771953463175,-3.8069709457114795,-9.293826165388007,-0.0027394345583915203,-0.00739450365417668,0.011567921271905651,0.9647351751371336,-0.11888040274223181,0.2348478053910005,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.362979354081256,-0.001296466647977755,2.6118058826796187e-09,0.00017295210090849,NONE
6.999965262366459e-05,0.0020999895787099376,-7.4681741974463645,-3.6769180002264674,-9.5507452869993,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631659708989574,-3.533539739092592,-9.833985870699497,-6.412774802400923,-3.806976628857478,-9.29381734271144,-0.0027321112177685386,-0.007386121016044665,0.011575006335947704,0.9647325680820218,-0.11888560424560261,0.23485588173393815,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.363490144144487,-0.0023940558341545423,4.817069410023578e-09,0.0002731057053274025,NONE
7.999959780136123e-05,0.002399987934040837,-7.468174192666682,-3.6769179892492163,-9.55074530637424,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631654905724382,-3.533530164070902,-9.834000759146017,-6.412779150334406,-3.806985293438809,-9.293803874329985,-0.002724802879569857,-0.0073777196954197734,0.011582084741010685,0.9647285892999897,-0.11889353450778566,0.23486821078957862,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.364269402237786,-0.00407072056112516,8.181006094787335e-09,0.00040539354536095625,NONE
8.999955025501549e-05,0.0026999865076504648,-7.468174185750887,-3.676917973386028,-9.550745334414879,-7.503637597261565,-3.522140556662843,-9.61695124203758,-8.631647955942578,-3.533516324521216,-9.834022306246954,-6.412785441302438,-3.8069978170616934,-9.293784382399815,-0.002717509559109531,-0.007369299709929574,0.011589156472257191,0.964722832452235,-0.11890499675672947,0.23488605384658165,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11519690449062567,-0.009226373623232928,0.9932998274567162,0.0798365441275403,-0.996807968578588,0.0,13.36539646348299,-0.0064987727846321855,1.3045974966985341e-08,0.0005740043992067413,NONE
