time_s,displacement_mm,v_s_mm_s,max_backtrack_mm,stable_dt_s
  5.0481069723E-04,  3.6383791378E-05,  2.6738962553E-01,  0.0000000000E+00,  1.8660062421E-07
  5.1488713208E-04,  3.9149263242E-05,  2.8157215094E-01,  0.0000000000E+00,  1.8660065923E-07
  5.2496356733E-04,  4.2059602485E-05,  2.9614662399E-01,  0.0000000000E+00,  1.8660064501E-07
  5.3504000067E-04,  4.5118772021E-05,  3.1111732254E-01,  0.0000000000E+00,  1.8660056834E-07
  5.4510768879E-04,  4.8327977099E-05,  3.2646500113E-01,  0.0000000000E+00,  1.8643256589E-07
  5.5519157931E-04,  5.1699100951E-05,  3.4223468943E-01,  0.0000000000E+00,  1.8673894815E-07
  5.6527549301E-04,  5.5231325636E-05,  3.5839715054E-01,  0.0000000000E+00,  1.8673933110E-07
  5.7535318383E-04,  5.8926212490E-05,  3.7493519503E-01,  0.0000000000E+00,  1.8657065127E-07
  5.8542801802E-04,  6.2788538355E-05,  3.9185671739E-01,  0.0000000000E+00,  1.8657132294E-07
  5.9550277264E-04,  6.6823246657E-05,  4.0915890541E-01,  0.0000000000E+00,  1.8657188699E-07
  6.0557192695E-04,  7.1038666796E-05,  4.2801194355E-01,  0.0000000000E+00,  1.8640366317E-07
  6.1563774645E-04,  7.5434180152E-05,  4.4585536523E-01,  0.0000000000E+00,  1.8640441522E-07
  6.2570225179E-04,  8.0011457292E-05,  4.6413739945E-01,  0.0000000000E+00,  1.8623617884E-07
  6.3575903429E-04,  8.4771679208E-05,  4.8278385963E-01,  0.0000000000E+00,  1.8623717297E-07
  6.4583245460E-04,  8.9730476353E-05,  5.0184478537E-01,  0.0000000000E+00,  1.8654531094E-07
  6.5589730741E-04,  9.4879428847E-05,  5.2125187187E-01,  0.0000000000E+00,  1.8637749179E-07
  6.6596172563E-04,  1.0022601444E-04,  5.4122234098E-01,  0.0000000000E+00,  1.8637871569E-07
  6.7601754574E-04,  1.0576970305E-04,  5.6146918988E-01,  0.0000000000E+00,  1.8621012211E-07
  6.8607191305E-04,  1.1151715992E-04,  5.8190239030E-01,  0.0000000000E+00,  1.8604179498E-07
  6.9611821618E-04,  1.1746800047E-04,  6.0277477644E-01,  0.0000000000E+00,  1.8604328095E-07
  7.0617392445E-04,  1.2363567734E-04,  6.2402851446E-01,  0.0000000000E+00,  1.8618345122E-07
  7.1622788677E-04,  1.3001748484E-04,  6.4556144213E-01,  0.0000000000E+00,  1.8618546626E-07
  7.2628034022E-04,  1.3660944604E-04,  6.6473023217E-01,  0.0000000000E+00,  1.8633547220E-07
  7.3633383802E-04,  1.4340443374E-04,  6.8724575485E-01,  0.0000000000E+00,  1.8603825324E-07
  7.4638578659E-04,  1.5043239950E-04,  7.1072100230E-01,  0.0000000000E+00,  1.8634638254E-07
  7.5644924801E-04,  1.5769849152E-04,  7.3343157043E-01,  0.0000000000E+00,  1.8638474383E-07
  7.6651389217E-04,  1.6519601602E-04,  7.5647735617E-01,  0.0000000000E+00,  1.8631958446E-07
  7.7657233554E-04,  1.7292220224E-04,  7.7981778697E-01,  0.0000000000E+00,  1.8615223383E-07
  7.8662379378E-04,  1.8087742983E-04,  8.0315416173E-01,  0.0000000000E+00,  1.8598419769E-07
  7.9668586320E-04,  1.8906903891E-04,  8.2512233451E-01,  0.0000000000E+00,  1.8647532083E-07
  8.0674700729E-04,  1.9749182537E-04,  8.4921003716E-01,  0.0000000000E+00,  1.8630597470E-07
  8.1680007801E-04,  2.0615335796E-04,  8.7389311152E-01,  0.0000000000E+00,  1.8613745734E-07
  8.2684466779E-04,  2.1505443254E-04,  8.9843714564E-01,  0.0000000000E+00,  1.8596717653E-07
  8.3689581202E-04,  2.2420896586E-04,  9.2321021161E-01,  0.0000000000E+00,  1.8610520570E-07
  8.4694147739E-04,  2.3361419099E-04,  9.5002807522E-01,  0.0000000000E+00,  1.8603464109E-07
  8.5699052674E-04,  2.4329307498E-04,  9.7559281138E-01,  0.0000000000E+00,  1.8618791341E-07
  8.6704768795E-04,  2.5322800122E-04,  1.0006270304E+00,  0.0000000000E+00,  1.8632642756E-07
  8.7710197786E-04,  2.6342041544E-04,  1.0265776704E+00,  0.0000000000E+00,  1.8615646747E-07
  8.8715288798E-04,  2.7386655000E-04,  1.0521419218E+00,  0.0000000000E+00,  1.8599142846E-07
  8.9720393201E-04,  2.8457152382E-04,  1.0781311666E+00,  0.0000000000E+00,  1.8613777633E-07
  9.0725674596E-04,  2.9554299528E-04,  1.1045696625E+00,  0.0000000000E+00,  1.8621006630E-07
  9.1730804504E-04,  3.0677378075E-04,  1.1303131329E+00,  0.0000000000E+00,  1.8609780205E-07
  9.2736047455E-04,  3.1826867405E-04,  1.1564383308E+00,  0.0000000000E+00,  1.8606679124E-07
  9.3740385244E-04,  3.3001570619E-04,  1.1820453181E+00,  0.0000000000E+00,  1.8589731785E-07
  9.4745147955E-04,  3.4202453023E-04,  1.2083747601E+00,  0.0000000000E+00,  1.8617695621E-07
  9.5750204593E-04,  3.5405659847E-04,  1.1994777387E+00,  0.0000000000E+00,  1.8601905376E-07
  9.6755361284E-04,  3.6624583199E-04,  1.2263843253E+00,  0.0000000000E+00,  1.8616208015E-07
  9.7760525759E-04,  3.7870119457E-04,  1.2523154881E+00,  0.0000000000E+00,  1.8617898565E-07
  9.8765894465E-04,  3.9150298404E-04,  1.2809617626E+00,  0.0000000000E+00,  1.8612502714E-07
  9.9770983793E-04,  4.0445404129E-04,  1.3004665258E+00,  0.0000000000E+00,  1.8614427863E-07
  1.0077572932E-03,  4.1766964422E-04,  1.3294841827E+00,  0.0000000000E+00,  1.8595004435E-07
  1.0177948098E-03,  4.3115291440E-04,  1.3565150520E+00,  0.0000000000E+00,  1.8588141246E-07
  1.0278336984E-03,  4.4490853684E-04,  1.3815307666E+00,  0.0000000000E+00,  1.8619051908E-07
  1.0378864440E-03,  4.5894425547E-04,  1.4080633647E+00,  0.0000000000E+00,  1.8619396581E-07
  1.0479320535E-03,  4.7324922249E-04,  1.4456200257E+00,  0.0000000000E+00,  1.8592152234E-07
  1.0579698582E-03,  4.8789446375E-04,  1.4717669156E+00,  0.0000000000E+00,  1.8606801638E-07
  1.0680136554E-03,  5.0283410111E-04,  1.5008927898E+00,  0.0000000000E+00,  1.8590679518E-07
  1.0780578614E-03,  5.1804391447E-04,  1.5289775320E+00,  0.0000000000E+00,  1.8609951608E-07
  1.0881054351E-03,  5.3354752511E-04,  1.5574558438E+00,  0.0000000000E+00,  1.8614405285E-07
  1.0981560529E-03,  5.4934029826E-04,  1.5847862669E+00,  0.0000000000E+00,  1.8602964913E-07
