time_s,Ktrans_J,Krot_J,Ktotal_J,Wmag_since_window_start_J,Whydro_since_window_start_J,Fwall_norm_N
0.0009985999999999999,5.002185829834803e-13,2.4993995142306944e-06,2.4994000144492773e-06,0.0,0.0,0.0
0.0009987,5.003423160336315e-13,2.5003540900069206e-06,2.500354590349237e-06,9.546844355490162e-10,-2.3238264173385427e-13,0.0
0.0009988,5.004659937489928e-13,2.501308630065053e-06,2.5013091305310464e-06,1.9095166405294247e-09,-4.648540271710622e-13,0.0
0.0009989,5.005896867481776e-13,2.5022632679271453e-06,2.502263768516832e-06,2.864496500800148e-09,-6.974141644142716e-13,0.0
0.0009989999999999999,5.007133243776584e-13,2.503218173537812e-06,2.503218674251136e-06,3.819623931381758e-09,-9.30063069200335e-13,0.0
0.0009991,5.008369391680004e-13,2.5041734781481975e-06,2.5041739789851365e-06,4.7748988764615605e-09,-1.1628007639244437e-12,0.0
0.0009992,5.009605366545528e-13,2.505128661065213e-06,2.50512916202575e-06,5.730321243149263e-09,-1.3956272617463175e-12,0.0
0.0009993,5.010841084821384e-13,2.506084027511114e-06,2.506084528595222e-06,6.685890917107277e-09,-1.6285425707589365e-12,0.0
0.0009994,5.012075950847162e-13,2.507039186995073e-06,2.507039688202668e-06,7.641607776161264e-09,-1.861546697300882e-12,0.0
0.0009995,5.013311266804918e-13,2.507994918874113e-06,2.5079954202052398e-06,8.597471735090392e-09,-2.094639656715683e-12,0.0
0.0009996,5.014546055858863e-13,2.5089507449009255e-06,2.508951246355531e-06,9.553482737814303e-09,-2.3278214715602956e-12,0.0
0.0009996999999999999,5.015780587679127e-13,2.5099067538841408e-06,2.5099072554621997e-06,1.0509640691197067e-08,-2.5610921549852374e-12,0.0
0.0009998,5.01701494559723e-13,2.5108626451361943e-06,2.510863146837689e-06,1.1465945480674512e-08,-2.7944517150796628e-12,0.0
0.0009999,5.01824845012432e-13,2.5118190159845423e-06,2.511819517809387e-06,1.2422397020819555e-08,-3.027900167180586e-12,0.0
0.001,5.019482320741394e-13,2.512775184070399e-06,2.5127756860186313e-06,1.3378995218353115e-08,-3.2614375246390638e-12,0.0
0.0010000999999999999,5.020715421039317e-13,2.513731922629404e-06,2.513732424700946e-06,1.4335740002102402e-08,-3.4950638031783523e-12,0.0
0.0010002,5.021948887306098e-13,2.5146884524142545e-06,2.514688954609143e-06,1.5292631329571773e-08,-3.728779017921588e-12,0.0
