window,start_s,end_s,mDeltaV_norm_Ns,Jmag_norm_Ns,Jhydro_norm_Ns,Jwall_norm_Ns,residual_norm_Ns,relative_residual,mDeltaV_x_Ns,mDeltaV_y_Ns,mDeltaV_z_Ns,Jmag_x_Ns,Jmag_y_Ns,Jmag_z_Ns,Jhydro_x_Ns,Jhydro_y_Ns,Jhydro_z_Ns,Jwall_x_Ns,Jwall_y_Ns,Jwall_z_Ns,residual_x_Ns,residual_y_Ns,residual_z_Ns
clean_0_to_0p95ms,0.0,0.00095,2.957829159250869e-09,2.9588291139313857e-09,1.0280597000473258e-12,0.0,6.721600425574951e-17,2.2724775446386338e-08,-1.866751114674519e-09,-2.0418884507566186e-09,1.046272032428889e-09,-1.867201433085984e-09,-2.042685680893646e-09,1.0467395773551783e-09,4.5026208695301484e-13,7.972471071951833e-13,-4.675124062343426e-13,0.0,0.0,0.0,5.632451208198307e-17,-1.697016764489435e-17,-3.252005499595075e-17
first_impact_shoulders,0.0010035,0.0010053,5.337952123109265e-06,6.9135001251897245e-12,6.323215156550636e-12,5.337964354115385e-06,7.635170923798757e-14,1.430355827049157e-08,1.5192513747217017e-06,3.433537306559314e-06,-3.7942627338494034e-06,-4.362839773548563e-12,-4.772870337151311e-12,2.4457763258487447e-12,-2.7033918677714788e-12,-3.940236324266969e-12,4.1411665064599666e-12,1.5192584238480634e-06,3.4335460038273267e-06,-3.794269248086458e-06,1.7105279586626643e-14,1.5838648751917428e-14,-7.270577775898499e-14
first_impact_audit_0p95_to_1p10ms,0.00095,0.0010999999999999998,5.336855532613359e-06,5.932565019236252e-10,5.971716231618484e-10,5.337964354115385e-06,2.0057066271417824e-13,3.7582179522847696e-08,1.5186272716938177e-06,3.4327658201269957e-06,-3.793668015235578e-06,-3.7438099597023084e-10,-4.0956625574307023e-10,2.0987527030976355e-10,-2.5669914316547126e-10,-3.7075425884038764e-10,3.9148534705603533e-10,1.5192584238480634e-06,3.4335460038273267e-06,-3.794269248086458e-06,-7.201511005840914e-14,1.3681425284201823e-13,-1.2776648576273892e-13
all_1p3ms,0.0,0.0013,2.324849878344897e-06,4.245713029969848e-09,1.557246545444491e-09,2.3254037844959018e-06,9.405269303618669e-14,4.0455383339910325e-08,1.91288019262865e-06,-5.827077911739916e-07,1.1858616932823104e-06,-2.6793035855653517e-09,-2.9311112191875377e-09,1.501998152457368e-09,-7.183072884310686e-10,-9.585503504537827e-10,9.951043504731237e-10,1.9162777435500022e-06,-5.788181710871648e-07,1.1833646501996256e-06,5.995264429963453e-14,4.148281454025547e-14,-5.942024576404434e-14
