time_s,gap_um,contact_node,wall_element,triangle_index,n_away_x,n_away_y,n_away_z,Vcontact_x_mm_s,Vcontact_y_mm_s,Vcontact_z_mm_s,vn_mm_s,vt_norm_mm_s,Vcom_x_mm_s,Vcom_y_mm_s,Vcom_z_mm_s,Fnormal_x_N,Fnormal_y_N,Fnormal_z_N,Fshear_x_N,Fshear_y_N,Fshear_z_N,Fwall_norm_N,contact_active,Wnormal_cumulative_J,Wtangential_combined_cumulative_J
0.0009985999999999999,4.252371896785664,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-801.7659741089284,-373.3739842699748,605.1745465571794,-882.0930352447249,608.5925717110837,-0.1996229740236741,-0.21835024658515312,0.11188310389067115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009987,4.1641604203659295,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-801.9805841400525,-373.40733420487453,605.2310211809378,-882.2107124618835,608.7813584472074,-0.19964766524782301,-0.21837724748923243,0.11189693961882952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009988,4.075932284562259,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-802.1951995325873,-373.4406846323707,605.2874033550789,-882.3283259281772,608.970154454991,-0.1996723415708107,-0.21840423349215055,0.11191076789640728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009989,3.9876975293031847,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-802.4098243145278,-373.4739893229454,605.3437499316256,-882.445886602492,609.158977326027,-0.1996970178937984,-0.21843121949506863,0.11192459617398502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009989999999999999,3.8994346054515066,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-802.6245080974799,-373.5072932609237,605.4000431480589,-882.5634243342888,609.3478590992412,-0.1997216793156249,-0.21845819059682556,0.11193841700098216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009991,3.8111765205279444,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-802.8392359940315,-373.540558191014,605.4563567013147,-882.6809623285172,609.5367963281354,-0.19974632583629023,-0.21848516169858245,0.1119522303773987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009992,3.722901713228491,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-803.0539514743633,-373.57379591310666,605.5125799462102,-882.7984152821947,609.7257354088622,-0.19977097235695557,-0.21851211789917815,0.11196604375381522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009993,3.6346203768163567,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-803.2686941146105,-373.6070155340624,605.5687653788672,-882.915836637214,609.9147088065304,-0.19979561887762087,-0.21853905919861266,0.11197984967965113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009994,3.5463222605838247,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-803.4834065104023,-373.64018581606643,605.6248582742904,-883.0331522103984,610.103674838422,-0.1998202355959638,-0.21856598559688598,0.11199364815490644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009995,3.458006175319309,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-803.6982175294531,-373.67335888781355,605.6809546272516,-883.1504977023314,610.2927340291902,-0.1998448672154679,-0.21859291199515926,0.11200744663016172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009996,3.3696848324918043,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-803.9130333077313,-373.70648662745356,605.7370165946721,-883.2677903226446,610.4818155531249,-0.19986946903264965,-0.21861983839343255,0.1120212376548364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009996999999999999,3.281356899796759,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-804.1278759819377,-373.73959344622983,605.7930428710772,-883.3850509267677,610.6709320335187,-0.1998940708498314,-0.21864674989054464,0.11203502122893048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009998,3.1930110164216523,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-804.3427110488377,-373.77267816374786,605.8489731494013,-883.5022270637211,610.8600533663367,-0.19991867266701313,-0.2186736464864955,0.11204880480302454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0009999,3.10464969033528,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-804.5576174942989,-373.805738796875,605.9049115425154,-883.6194116928357,611.0492511545452,-0.1999432446818725,-0.21870052818128521,0.112062580926538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.001,3.016291972367797,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-804.7724842051289,-373.8387572409407,605.9607716982083,-883.7365028929875,611.2384297806432,-0.19996783159789303,-0.2187274098760749,0.11207634959947084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010000999999999999,2.927906133791475,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-804.98745427132,-373.8717748285924,606.0166280299563,-883.8536176921524,611.4277074920591,-0.1999923887115912,-0.21875427666970337,0.11209011827240367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010002,2.8395150470698587,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-805.2023847530828,-373.9047470686521,606.0724002387118,-883.9706328600901,611.616967443325,-0.20001696072645053,-0.21878114346333183,0.1121038794947559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010003,2.7511173915727287,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-805.4173420854091,-373.9377011290424,606.1281345174203,-884.0876162139685,611.8062614653994,-0.2000415029389875,-0.21880799535579912,0.11211764071710813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010004,2.6626916274034635,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-805.6323852826454,-373.9706266942676,606.1838670950815,-884.2046019794284,611.9956473791754,-0.20006604515152449,-0.21883483234710518,0.11213139448887972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010004999999999999,2.5742708097131737,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-805.8473840930876,-374.0035104896715,606.2395227152584,-884.3214942881101,612.18500957663,-0.20009057246290027,-0.21886166933841125,0.11214514081007072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010006,2.4858434320888017,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-806.0624273165172,-374.0363981479717,606.2951425666862,-884.4383753490368,612.3744148646465,-0.20011509977427602,-0.2188884914285561,0.11215888713126171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010007,2.3973879555045916,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-806.2774944747765,-374.06923523494896,606.3507088076623,-884.5551914699622,612.5638629244103,-0.2001396121844906,-0.21891529861753978,0.11217261855129149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010008,2.3089271766191612,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-806.4926011956819,-374.1020793563493,606.4062383481543,-884.6719965043774,612.7533484777042,-0.2001641245947052,-0.21894210580652343,0.11218635742190186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010008999999999999,2.2204484918394405,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-806.7077270983045,-374.13487093225103,606.4617258194387,-884.7887422400721,612.9428726208731,-0.2001886221037586,-0.2189688980943459,0.11220008139135101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.001001,2.131974767537239,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-806.9228261278778,-374.1676483098914,606.5171341422141,-884.9054156201233,613.1323803080514,-0.20021311961281194,-0.21899567548100715,0.11221380536080017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010011,2.043472962239512,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-807.1379934665796,-374.2003751142528,606.5725384517865,-885.0220707170129,613.3219708933624,-0.20023758731954297,-0.2190224528676684,0.1122275293302493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010012,1.9549658717715308,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-807.3532003779691,-374.2331033751541,606.6279103836033,-885.1387141294664,613.5116007281033,-0.20026206992743517,-0.21904923025432962,0.11224123839853724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010012999999999999,1.866440885804687,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-807.5683820545586,-374.26578461068385,606.6831862002534,-885.2552520475081,613.7012272799058,-0.20028653763416615,-0.21907597783866847,0.11225494746682516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0.0010014,1.7779106184218547,130,441,880,0.2599684828468411,0.6564620754471295,-0.7081482411373757,-807.7836301315125,-374.2984480281134,606.7384748751916,-885.3718046362188,613.8909233355525,-0.20031099043973596,-0.21910272542300732,0.11226865653511307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
