window,start_s,end_s,mDeltaV_norm_Ns,Jmag_norm_Ns,Jhydro_norm_Ns,Jwall_norm_Ns,residual_norm_Ns,relative_residual,mDeltaV_x_Ns,mDeltaV_y_Ns,mDeltaV_z_Ns,Jmag_x_Ns,Jmag_y_Ns,Jmag_z_Ns,Jhydro_x_Ns,Jhydro_y_Ns,Jhydro_z_Ns,Jwall_x_Ns,Jwall_y_Ns,Jwall_z_Ns,residual_x_Ns,residual_y_Ns,residual_z_Ns
clean_0_to_0p95ms,0.0,0.00095,2.957829159250869e-09,2.9588291139313857e-09,1.0280597000473258e-12,0.0,6.721600425574951e-17,2.2724775446386338e-08,-1.866751114674519e-09,-2.0418884507566186e-09,1.046272032428889e-09,-1.867201433085984e-09,-2.042685680893646e-09,1.0467395773551783e-09,4.5026208695301484e-13,7.972471071951833e-13,-4.675124062343426e-13,0.0,0.0,0.0,5.632451208198307e-17,-1.697016764489435e-17,-3.252005499595075e-17
first_impact_shoulders,0.0010035,0.0010053,6.012404796335508e-06,6.913011718672719e-12,6.312550786691016e-12,6.012417017147999e-06,1.3607131698704537e-13,2.2631762430563438e-08,1.7006714705993871e-06,3.8723654491644505e-06,-4.273349249968337e-06,-4.362531559281853e-12,-4.77253315613707e-12,2.4456035431664982e-12,-2.702829878671474e-12,-3.9292309867669625e-12,4.1357166167599585e-12,1.7006784548982696e-06,3.8723740492684745e-06,-4.273355871406891e-06,8.106255547692673e-14,1.0166011929431439e-13,4.011839417530222e-14
first_impact_audit_0p95_to_1p10ms,0.00095,0.0010999999999999998,6.011226884444692e-06,6.01284037848952e-10,6.723625264970568e-10,6.012417017147999e-06,4.432856099267317e-14,7.374295105610238e-09,1.7000124250403888e-06,3.871540557116799e-06,-4.272701736089086e-06,-3.79446860204623e-10,-4.1510822253334253e-10,2.1271515704811005e-10,-2.8662239554787094e-10,-4.183898234628874e-10,4.414396051903353e-10,1.7006784548982696e-06,3.8723740492684745e-06,-4.273355871406891e-06,3.939787152795098e-14,5.894321014891964e-15,-1.9444434127061094e-14
all_1p3ms,0.0,0.0013,2.379653953019281e-06,4.318431214600317e-09,1.8419377738725698e-09,2.3810764569024714e-06,9.374544907772829e-14,3.939457203799948e-08,2.1350879879616863e-06,-3.730894541239575e-07,9.823219833656873e-07,-2.7251931903127646e-09,-2.9813136434457755e-09,1.5277235319623055e-09,-8.22368809600267e-10,-1.1416003627248802e-09,1.1887779084596502e-09,2.1386355562135382e-06,-3.6896646120891557e-07,9.796054317006447e-07,-6.251938748739203e-15,-7.890887129402958e-14,5.022462061349232e-14
