case,event_number,start_s,end_s,duration_us,peak_force_N,impulse_x_Ns,impulse_y_Ns,impulse_z_Ns,impulse_norm_Ns,min_gap_um
candidate_zeta0p20_tangent0,1,0.0010035999999999999,0.0010052,1.6999999999999997,5.686400810143994,1.7006784548982696e-06,3.8723740492684745e-06,-4.273355871406891e-06,6.012417017147999e-06,-0.555829193741301
candidate_zeta0p20_tangent0,2,0.0012648,0.0012665,1.7999999999999998,5.803291647895196,4.3795710131526863e-07,-4.24134051047739e-06,5.252961303107535e-06,6.7656764776594435e-06,-0.9178386833900688
