time_s,gap_um,vn_mm_s,vt_norm_mm_s,contact_active
0.0009985999999999999,4.252371896785664,-882.0930352447249,608.5925717110837,0
0.0009987,4.1641604203659295,-882.2107124618835,608.7813584472074,0
0.0009988,4.075932284562259,-882.3283259281772,608.970154454991,0
0.0009989,3.9876975293031847,-882.445886602492,609.158977326027,0
0.0009989999999999999,3.8994346054515066,-882.5634243342888,609.3478590992412,0
0.0009991,3.8111765205279444,-882.6809623285172,609.5367963281354,0
0.0009992,3.722901713228491,-882.7984152821947,609.7257354088622,0
0.0009993,3.6346203768163567,-882.915836637214,609.9147088065304,0
0.0009994,3.5463222605838247,-883.0331522103984,610.103674838422,0
0.0009995,3.458006175319309,-883.1504977023314,610.2927340291902,0
0.0009996,3.3696848324918043,-883.2677903226446,610.4818155531249,0
0.0009996999999999999,3.281356899796759,-883.3850509267677,610.6709320335187,0
0.0009998,3.1930110164216523,-883.5022270637211,610.8600533663367,0
0.0009999,3.10464969033528,-883.6194116928357,611.0492511545452,0
0.001,3.016291972367797,-883.7365028929875,611.2384297806432,0
0.0010000999999999999,2.927906133791475,-883.8536176921524,611.4277074920591,0
0.0010002,2.8395150470698587,-883.9706328600901,611.616967443325,0
0.0010003,2.7511173915727287,-884.0876162139685,611.8062614653994,0
0.0010004,2.6626916274034635,-884.2046019794284,611.9956473791754,0
0.0010004999999999999,2.5742708097131737,-884.3214942881101,612.18500957663,0
0.0010006,2.4858434320888017,-884.4383753490368,612.3744148646465,0
0.0010007,2.3973879555045916,-884.5551914699622,612.5638629244103,0
0.0010008,2.3089271766191612,-884.6719965043774,612.7533484777042,0
0.0010008999999999999,2.2204484918394405,-884.7887422400721,612.9428726208731,0
0.001001,2.131974767537239,-884.9054156201233,613.1323803080514,0
0.0010011,2.043472962239512,-885.0220707170129,613.3219708933624,0
0.0010012,1.9549658717715308,-885.1387141294664,613.5116007281033,0
0.0010012999999999999,1.866440885804687,-885.2552520475081,613.7012272799058,0
0.0010014,1.7779106184218547,-885.3718046362188,613.8909233355525,0
0.0010015,1.689372641390242,-885.4882782417804,614.0806200540856,0
0.0010016,1.600807859966862,-885.6047545132641,614.2704022608455,0
0.0010017,1.5122479830709366,-885.7211577368034,614.4601694922516,0
