time_s,increment,gap_um,contact_node,wall_element,triangle_index
0.0,0,269.3855785324874,119,450,898
1e-07,1,269.3855785324874,119,450,898
2e-07,2,269.3855785324874,119,450,898
3e-07,3,269.3855785324847,119,450,898
4e-07,4,269.3855785324782,119,450,898
5e-07,5,269.3855785324629,119,450,898
6e-07,6,269.38557853243645,119,450,898
7e-07,7,269.3855785323921,119,450,898
8e-07,8,269.38557853232317,119,450,898
9e-07,9,269.3855785322239,119,450,898
1e-06,10,269.3855785320866,119,450,898
1.1e-06,11,269.3855785318987,119,450,898
1.2e-06,12,269.38557853165,119,450,898
1.2999999999999998e-06,13,269.38557853133386,119,450,898
1.4e-06,14,269.3855785309348,119,450,898
1.5e-06,15,269.38557853044006,119,450,898
1.6e-06,16,269.3855785298349,119,450,898
1.6999999999999998e-06,17,269.38557852910657,119,450,898
1.8e-06,18,269.38557852823635,119,450,898
1.9e-06,19,269.38557852720635,119,450,898
2e-06,20,269.3855785260042,119,450,898
2.1e-06,21,269.3855785246053,119,450,898
2.2e-06,22,269.3855785229913,119,450,898
2.3e-06,23,269.3855785211419,119,450,898
2.4e-06,24,269.38557851903437,119,450,898
2.4999999999999998e-06,25,269.3855785166471,119,450,898
2.5999999999999997e-06,26,269.3855785139544,119,450,898
2.7e-06,27,269.38557851093407,119,450,898
2.8e-06,28,269.3855785075567,119,450,898
2.8999999999999998e-06,29,269.38557850379783,119,450,898
3e-06,30,269.38557849963075,119,450,898
3.1e-06,31,269.38557849502496,119,450,898
3.2e-06,32,269.385578489951,119,450,898
3.2999999999999997e-06,33,269.38557848437836,119,450,898
3.3999999999999996e-06,34,269.38557847827633,119,450,898
3.5e-06,35,269.38557847161076,119,450,898
3.6e-06,36,269.38557846435043,119,450,898
3.6999999999999997e-06,37,269.3855784564587,119,450,898
3.8e-06,38,269.38557844790034,119,450,898
3.9e-06,39,269.38557843864004,119,450,898
4e-06,40,269.38557842863844,119,450,898
4.1e-06,41,269.38557841785945,119,450,898
4.2e-06,42,269.3855784062628,119,450,898
4.2999999999999995e-06,43,269.38557839380803,119,450,898
4.4e-06,44,269.3855783804521,119,450,898
4.5e-06,45,269.3855783661561,119,450,898
4.6e-06,46,269.3855783508753,119,450,898
4.7e-06,47,269.3855783345648,119,450,898
4.8e-06,48,269.3855783171805,119,450,898
4.9e-06,49,269.3855782986755,119,450,898
4.9999999999999996e-06,50,269.3855782790048,119,450,898
5.0999999999999995e-06,51,269.38557825811677,119,450,898
5.199999999999999e-06,52,269.38557823596494,119,450,898
5.3e-06,53,269.3855782124981,119,450,898
5.4e-06,54,269.38557818766805,119,450,898
5.5e-06,55,269.3855781614198,119,450,898
5.6e-06,56,269.3855781337006,119,450,898
5.7e-06,57,269.38557810445695,119,450,898
5.7999999999999995e-06,58,269.3855780736353,119,450,898
5.899999999999999e-06,59,269.38557804118005,119,450,898
6e-06,60,269.385578007032,119,450,898
6.1e-06,61,269.38557797113606,119,450,898
6.2e-06,62,269.3855779334325,119,450,898
6.3e-06,63,269.3855778938599,119,450,898
6.4e-06,64,269.3855778523619,119,450,898
6.5e-06,65,269.3855778088738,119,450,898
6.5999999999999995e-06,66,269.3855777633337,119,450,898
6.699999999999999e-06,67,269.3855777156786,119,450,898
6.799999999999999e-06,68,269.3855776658437,119,450,898
6.9e-06,69,269.38557761376376,119,450,898
7e-06,70,269.385577559373,119,450,898
7.1e-06,71,269.38557750260304,119,450,898
7.2e-06,72,269.38557744338567,119,450,898
7.2999999999999996e-06,73,269.3855773816528,119,450,898
7.3999999999999995e-06,74,269.3855773173335,119,450,898
7.499999999999999e-06,75,269.38557725035656,119,450,898
7.6e-06,76,269.3855771806503,119,450,898
7.699999999999999e-06,77,269.3855771081401,119,450,898
7.8e-06,78,269.38557703275274,119,450,898
7.899999999999999e-06,79,269.38557695441494,119,450,898
8e-06,80,269.3855768730502,119,450,898
8.1e-06,81,269.38557678857893,119,450,898
8.2e-06,82,269.3855767009258,119,450,898
8.3e-06,83,269.3855766100118,119,450,898
8.4e-06,84,269.3855765157564,119,450,898
8.5e-06,85,269.3855764180795,119,450,898
8.599999999999999e-06,86,269.3855763168986,119,450,898
8.7e-06,87,269.3855762121321,119,450,898
8.8e-06,88,269.3855761036953,119,450,898
8.9e-06,89,269.38557599150454,119,450,898
9e-06,90,269.385575875474,119,450,898
9.1e-06,91,269.38557575551573,119,450,898
9.2e-06,92,269.3855756315449,119,450,898
9.299999999999999e-06,93,269.38557550347076,119,450,898
9.4e-06,94,269.38557537120715,119,450,898
9.499999999999999e-06,95,269.3855752346601,119,450,898
9.6e-06,96,269.3855750937399,119,450,898
9.7e-06,97,269.38557494835464,119,450,898
9.8e-06,98,269.38557479841126,119,450,898
9.9e-06,99,269.3855746438149,119,450,898
9.999999999999999e-06,100,269.3855744844695,119,450,898
1.01e-05,101,269.3855743202819,119,450,898
1.0199999999999999e-05,102,269.3855741511524,119,450,898
