time_s,increment,gap_um,contact_node,wall_element,triangle_index
0.0009985999999999999,9986,4.252371896785664,130,441,880
0.0009987,9987,4.1641604203659295,130,441,880
0.0009988,9988,4.075932284562259,130,441,880
0.0009989,9989,3.9876975293031847,130,441,880
0.0009989999999999999,9990,3.8994346054515066,130,441,880
0.0009991,9991,3.8111765205279444,130,441,880
0.0009992,9992,3.722901713228491,130,441,880
0.0009993,9993,3.6346203768163567,130,441,880
0.0009994,9994,3.5463222605838247,130,441,880
0.0009995,9995,3.458006175319309,130,441,880
0.0009996,9996,3.3696848324918043,130,441,880
0.0009996999999999999,9997,3.281356899796759,130,441,880
0.0009998,9998,3.1930110164216523,130,441,880
0.0009999,9999,3.10464969033528,130,441,880
0.001,10000,3.016291972367797,130,441,880
0.0010000999999999999,10001,2.927906133791475,130,441,880
0.0010002,10002,2.8395150470698587,130,441,880
0.0010003,10003,2.7511173915727287,130,441,880
0.0010004,10004,2.6626916274034635,130,441,880
0.0010004999999999999,10005,2.5742708097131737,130,441,880
0.0010006,10006,2.4858434320888017,130,441,880
0.0010007,10007,2.3973879555045916,130,441,880
0.0010008,10008,2.3089271766191612,130,441,880
0.0010008999999999999,10009,2.2204484918394405,130,441,880
0.001001,10010,2.131974767537239,130,441,880
0.0010011,10011,2.043472962239512,130,441,880
0.0010012,10012,1.9549658717715308,130,441,880
0.0010012999999999999,10013,1.866440885804687,130,441,880
0.0010014,10014,1.7779106184218547,130,441,880
0.0010015,10015,1.689372641390242,130,441,880
0.0010016,10016,1.600807859966862,130,441,880
0.0010017,10017,1.5122479830709366,130,441,880
0.0010018,10018,1.4236702290378762,130,441,880
0.0010019,10019,1.3350872861718852,130,441,880
0.0010019999999999999,10020,1.2464762298385224,130,441,880
0.0010021,10021,1.157858736179434,130,441,880
0.0010022,10022,1.0692462320834264,130,441,880
0.0010023,10023,0.9806056290549267,130,441,880
0.0010023999999999999,10024,0.8919585950516364,130,441,880
0.0010025,10025,0.8033063901366827,130,441,880
0.0010026,10026,0.7146260973103279,130,441,880
0.0010027,10027,0.6259393846952813,130,441,880
0.0010027999999999999,10028,0.5372462631133131,130,441,880
0.0010029,10029,0.4485479052642899,130,441,880
0.001003,10030,0.35983172045604206,130,441,880
0.0010031,10031,0.27109887999159227,130,441,880
0.0010031999999999999,10032,0.1823597195917559,130,441,880
0.0010033,10033,0.09360392042250756,130,441,880
0.0010034,10034,0.004841652067614171,130,441,880
0.0010035,10035,-0.08392576070635079,130,441,880
0.0010035999999999999,10036,-0.17271097530649032,130,441,880
0.0010037,10037,-0.25912823274317537,130,441,880
0.0010038,10038,-0.33846807832209863,130,441,880
0.0010039,10039,-0.4082176456490685,130,441,880
0.001004,10040,-0.4662524569469809,130,441,880
0.0010041,10041,-0.5109054231563731,130,441,880
0.0010042,10042,-0.5409935959092529,130,441,880
0.0010042999999999999,10043,-0.555829193741301,130,441,880
0.0010044,10044,-0.5553031432630956,130,441,880
0.0010045,10045,-0.5398168813853037,130,441,880
0.0010046,10046,-0.5102300240057476,130,441,880
0.0010046999999999999,10047,-0.4678987247665241,130,441,880
0.0010048,10048,-0.41457914804742807,130,441,880
0.0010049,10049,-0.35232995004290124,130,441,880
0.001005,10050,-0.28353597584767254,130,441,880
0.0010050999999999999,10051,-0.21070247749139676,130,441,880
0.0010052,10052,-0.13637838335940208,130,441,880
0.0010053,10053,-0.06303747917572071,130,441,880
0.0010054,10054,0.010281817954445391,130,441,880
0.0010054999999999999,10055,0.08360102297096955,130,441,880
0.0010056,10056,0.15688717726972573,130,441,880
0.0010057,10057,0.23017330409426268,130,441,880
0.0010058,10058,0.303436517329344,130,441,880
0.0010059,10059,0.37668943497054913,130,441,880
0.001006,10060,0.44992080623462216,130,441,880
0.0010061,10061,0.5231293170551482,130,441,880
0.0010061999999999998,10062,0.5963275802433886,130,441,880
0.0010063,10063,0.669514322481035,130,441,880
0.0010064,10064,0.7426895891017498,130,441,880
0.0010065,10065,0.8158432637578266,130,441,880
0.0010065999999999999,10066,0.8889752191290757,130,441,880
0.0010067,10067,0.9620957716006909,130,441,880
0.0010068,10068,1.0352047275656697,130,441,880
0.0010069,10069,1.108292130082069,130,441,880
0.0010069999999999999,10070,1.181369309960173,130,441,880
0.0010071,10071,1.2544236334339134,130,441,880
0.0010072,10072,1.3274663465912553,130,441,880
0.0010073,10073,1.4004988785183368,130,441,880
0.0010073999999999999,10074,1.4735097370798789,130,441,880
0.0010075,10075,1.5465079552814989,130,441,880
0.0010076,10076,1.619485688133727,130,441,880
0.0010077,10077,1.6924520562975276,130,441,880
0.0010077999999999999,10078,1.7653952957131125,130,441,880
0.0010079,10079,1.8383284510128044,130,441,880
0.001008,10080,1.9112501414392409,130,441,880
0.0010081,10081,1.9841500757912873,130,441,880
0.0010082,10082,2.057038646549523,130,441,880
0.0010083,10083,2.129905446730562,130,441,880
0.0010084,10084,2.20276078401813,130,441,880
0.0010084999999999998,10085,2.2756059462310128,130,441,880
0.0010086,10086,2.3484280706151286,130,441,880
0.0010087,10087,2.421228668322494,130,441,880
0.0010088,10088,2.4940291359087987,130,441,880
0.0010088999999999999,10089,2.566796514472093,130,441,880
0.001009,10090,2.639563838328101,130,441,880
0.0010091,10091,2.712298065232764,130,441,880
0.0010092,10092,2.7850321660213755,130,441,880
0.0010092999999999999,10093,2.8577446565942615,130,441,880
0.0010094,10094,2.930445773032051,130,441,880
0.0010095,10095,3.0031238480971623,130,441,880
0.0010096,10096,3.075781558268251,130,441,880
0.0010096999999999999,10097,3.1484377416086753,130,441,880
0.0010098,10098,3.221072535886733,130,441,880
0.0010099,10099,3.2936855657386728,130,441,880
0.00101,10100,3.366298298774944,130,441,880
0.0010100999999999999,10101,3.438888392810304,130,441,880
0.0010102,10102,3.511456626406714,130,441,880
0.0012598,12598,3.6798573901516187,74,400,798
0.0012599,12599,3.596401836473799,74,400,798
0.0012599999999999998,12600,3.5129443929946804,74,400,798
0.0012601,12601,3.429463912991692,74,400,798
0.0012602,12602,3.3459815450915427,74,400,798
0.0012603,12603,3.262476143484914,74,400,798
0.0012603999999999998,12604,3.178969117171991,74,400,798
0.0012605,12605,3.095436719320707,74,400,798
0.0012606,12606,3.0118812926955223,74,400,798
0.0012607,12607,2.9283203689811064,74,400,798
0.0012607999999999999,12608,2.8447611778835413,74,400,798
0.0012609,12609,2.7611789618049616,74,400,798
0.001261,12610,2.677594865713499,74,400,798
0.0012611,12611,2.593982970591329,74,400,798
0.0012611999999999999,12612,2.510371895709366,74,400,798
0.0012613,12613,2.426739880194495,74,400,798
0.0012614,12614,2.343082768942645,74,400,798
0.0012615,12615,2.2594261226616412,74,400,798
0.0012615999999999999,12616,2.1757652627709922,74,400,798
0.0012617,12617,2.092081389511915,74,400,798
0.0012618,12618,2.0083956441673,74,400,798
0.0012619,12619,1.9246862066750587,74,400,798
