time_s,A1,A2,A3,AR1,AR2,AR3,CF1,CF2,CF3,RF1,RF2,RF3,RM1,RM2,RM3,U1,U2,U3,UR1,UR2,UR3,V1,V2,V3,VR1,VR2,VR3
0.0001005000012810342,-14.041582107543945,-15.360929489135742,7.871400833129883,3503.5546875,-43463.0625,-26607.224609375,-1.4041543749954144e-07,-1.5360888028226327e-07,7.871379636981146e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2158397844075353e-08,-1.3300913259683966e-08,6.8158030330778274e-09,3.0619712561019696e-06,-3.7567275285255164e-05,-2.3154494556365535e-05,-0.00047884861123748124,-0.0005238439771346748,0.00026843376690521836,0.12017777562141418,-1.480527639389038,-0.9102199077606201
0.00010099999781232327,-14.17656421661377,-15.508593559265137,7.947067737579346,3536.82763671875,-43881.87109375,-26861.345703125,-1.417652555346649e-07,-1.550855159848652e-07,7.947046043454975e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2399582693944922e-08,-1.3564760870110604e-08,6.951006881195099e-09,3.1224994927470107e-06,-3.831299181911163e-05,-2.361294173169881e-05,-0.0004859031178057194,-0.000531561323441565,0.0002723883662838489,0.12193786352872849,-1.5023638010025024,-0.9235870242118835
0.00010150000161956996,-14.312140464782715,-15.656907081604004,8.023067474365234,3570.240966796875,-44302.53515625,-27116.5625,-1.4312101370705932e-07,-1.5656864604807197e-07,8.023045694471875e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2644312263887514e-08,-1.3832486267517652e-08,7.088197584437239e-09,3.183911758242175e-06,-3.906967322109267e-05,-2.4078102796920575e-05,-0.0004930252907797694,-0.0005393527098931372,0.0002763808879535645,0.1237146258354187,-1.5244097709655762,-0.9370814561843872
0.00010199999815085903,-14.448309898376465,-15.805869102478027,8.099400520324707,3603.79443359375,-44725.05859375,-27372.87109375,-1.444827120167247e-07,-1.5805825626102887e-07,8.099377879489111e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.2892619416504658e-08,-1.4104125867220318e-08,7.2273937945510625e-09,3.2462166927871294e-06,-3.9837432268541306e-05,-2.4550043235649355e-05,-0.0005002153338864446,-0.000547218369320035,0.00028041150653734803,0.1255081295967102,-1.5466666221618652,-0.9507037401199341
0.00010250000195810571,-14.585071563720703,-15.955479621887207,8.176064491271973,3637.488037109375,-45149.43359375,-27630.26953125,-1.4585032204195159e-07,-1.5955436083459063e-07,8.176042598506683e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3144538790754723e-08,-1.4379716972712231e-08,7.368615051461802e-09,3.3094227092078654e-06,-4.061637446284294e-05,-2.5028826712514274e-05,-0.0005074736545793712,-0.0005551586509682238,0.00028448033845052123,0.12731844186782837,-1.5691351890563965,-0.9644544720649719
0.00010299999848939478,-14.72242546081543,-16.105735778808594,8.253061294555664,3671.3212890625,-45575.66015625,-27888.7578125,-1.4722384378274e-07,-1.6105691713619308e-07,8.253038430439119e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3400104137417657e-08,-1.4659295999308597e-08,7.511880006916272e-09,3.373537992956699e-06,-4.1406601667404175e-05,-2.551451871113386e-05,-0.0005148005438968539,-0.0005631739622913301,0.0002885876165237278,0.12914563715457916,-1.5918164253234863,-0.9783341884613037
0.00010350000229664147,-14.860369682312012,-16.25663948059082,8.330388069152832,3705.2939453125,-46003.73828125,-28148.333984375,-1.4860329144994466e-07,-1.6256595358754566e-07,8.330365375286419e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3659350095451828e-08,-1.4942902026859883e-08,7.657209089018124e-09,3.4385709568596212e-06,-4.220822665956803e-05,-2.6007181077147834e-05,-0.0005221962346695364,-0.0005712645361199975,0.0002927334571722895,0.13098978996276855,-1.6147111654281616,-0.9923434257507324
0.00010399999882793054,-14.99890422821045,-16.40818977355957,8.40804672241211,3739.40576171875,-46433.6640625,-28408.99609375,-1.4998862241100142e-07,-1.6408144176693895e-07,8.408023433048584e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.3922311303815604e-08,-1.5230572358859717e-08,7.804620061335754e-09,3.5045304684899747e-06,-4.302134766476229e-05,-2.650688293215353e-05,-0.0005296610179357231,-0.0005794307217001915,0.0002969180641230196,0.13285095989704132,-1.6378204822540283,-1.006482720375061
0.00010450000263517722,-15.13802719116211,-16.560382843017578,8.486034393310547,3773.65673828125,-46865.43359375,-28670.7421875,-1.513798650876197e-07,-1.6560338167437294e-07,8.486011182640141e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4189022401467355e-08,-1.5522346075158566e-08,7.954133351972814e-09,3.5714247133000754e-06,-4.384608109830879e-05,-2.7013684302801266e-05,-0.0005371951847337186,-0.0005876728100702167,0.0003011415828950703,0.13472922146320343,-1.6611450910568237,-1.0207526683807373
0.0001049999991664663,-15.277739524841309,-16.713220596313477,8.564352989196777,3808.046630859375,-47299.046875,-28933.5703125,-1.5277697684723535e-07,-1.671317448881382e-07,8.564329334603826e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4459517139187028e-08,-1.5818258702893218e-08,8.105767612676118e-09,3.6392625588632654e-06,-4.468252882361412e-05,-2.752765612967778e-05,-0.0005447991425171494,-0.0005959912086836994,0.000305404159007594,0.13662463426589966,-1.6846861839294434,-1.0351536273956299
0.00010550000297371298,-15.418039321899414,-16.866701126098633,8.643000602722168,3842.57470703125,-47734.5,-29197.48046875,-1.541799719007031e-07,-1.6866655982994416e-07,8.642977178396904e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.4733831932289831e-08,-1.6118349321914138e-08,8.259543271549319e-09,3.708052190631861e-06,-4.55307999800425e-05,-2.8048860258422792e-05,-0.0005524730659089983,-0.0006043861503712833,0.00030970596708357334,0.13853728771209717,-1.7084444761276245,-1.049686312675476
0.00010599999950500205,-15.558926582336426,-17.020824432373047,8.721978187561035,3877.2412109375,-48171.7890625,-29462.470703125,-1.5558883603716822e-07,-1.7020778386722668e-07,8.72195400347664e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.5012002307912553e-08,-1.6422657012071795e-08,8.41547986851765e-09,3.7778027035528794e-06,-4.639100734493695e-05,-2.8577363991644233e-05,-0.0005602172459475696,-0.0006128579843789339,0.00031404721084982157,0.14046724140644073,-1.7324210405349731,-1.0643513202667236
0.00010650000331224874,-15.700400352478027,-17.175588607788086,8.80128288269043,3912.0458984375,-48610.91796875,-29728.537109375,-1.5700356925663073e-07,-1.7175541699998575e-07,8.801259099300296e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.5294061128656722e-08,-1.6731219076859816e-08,8.573596943506345e-09,3.848522283078637e-06,-4.7263256419682875e-05,-2.9113232812960632e-05,-0.0005680320900864899,-0.0006214070599526167,0.0003184280067216605,0.14241455495357513,-1.7566165924072266,-1.0791490077972412
0.00010699999984353781,-15.842458724975586,-17.33099365234375,8.880916595458984,3946.98828125,-49051.8828125,-29995.681640625,-1.584241573482359e-07,-1.7330945922822139e-07,8.880892465867873e-08,0.0,0.0,0.0,0.0,-0.0,0.0,-1.5580045698015965e-08,-1.7044076372485506e-08,8.733914036440638e-09,3.920220024156151e-06,-4.814765998162329e-05,-2.965653402497992e-05,-0.0005759177729487419,-0.0006300337263382971,0.0003228485584259033,0.14437930285930634,-1.7810322046279907,-1.0940800905227661
