cycle,no_fluid_wall_J_s_Ns,wall_J_s_Ns,fluid_J_s_Ns,magnetic_J_s_Ns,reaction_J_s_Ns,inertia_J_s_Ns,closure_residual_J_s_Ns,delta_wall_J_s_Ns
1,-7.811270654005473e-08,-5.9565021117546405e-06,-6.080052915432064e-08,2.735795578134175e-07,5.938945685170619e-06,1.952210816508085e-07,-1.5204242681800745e-12,-5.878389405214586e-06
2,-4.3354430904102795e-08,-3.407712281015919e-06,-6.533628671553533e-07,2.8838774595203515e-07,4.0178552767631285e-06,2.451684240761929e-07,5.495323012246015e-13,-3.3643578501118165e-06
3,-8.211380787313414e-08,-8.814360138357926e-06,-1.645195302718127e-05,2.904953681662301e-07,2.518426139809707e-05,2.0844209998929152e-07,-1.500734815759005e-12,-8.73224633048479e-06
4,-1.1558590784112605e-07,-1.2950111047291511e-05,-1.3697521677422914e-06,2.92796198043332e-07,1.4204219665542434e-05,1.7715294338036666e-07,2.9482840307816115e-13,-1.2834525139450386e-05
