cycle,start_ms,end_ms,delta_s_mm,mean_v_s_mm_s,end_v_s_mm_s,minimum_v_s_mm_s,max_backtrack_mm,rocking_amplitude_half_range_deg,rocking_first_harmonic_amplitude_deg,phase_lag_deg,magnetic_force_mean_N,magnetic_force_max_N,magnetic_torque_mean_Nmm,magnetic_torque_max_Nmm
1,0.0,10.0,0.12760621634135189,12.760621634135187,26.379167292310417,0.0,0.0,21.176997608568293,17.212057140411947,7.0794397186292315,2.6910271544961767e-05,2.9211644514138987e-05,0.0013032635896287445,0.002522779376528302
2,10.0,20.0,0.4093827236924587,40.93827236924587,54.736890234592,26.379167292310417,0.0,25.671012458877257,18.929881538606217,1.6608253617976914,2.8317051263605594e-05,2.932487782068088e-05,0.0013887082401748357,0.002564059233393929
3,20.0,30.0,0.694075402400643,69.40754024006431,83.74562866209293,54.736890234592,0.0,21.931368528195833,17.69411266858199,-8.297251902126789,2.8634249707013676e-05,2.966332187919043e-05,0.001392885195092517,0.0025718016235155568
4,30.0,40.0,0.9817841148458024,98.17841148458024,112.28831125468278,83.74562866209293,0.0,21.358312736528607,17.04514711373698,5.855933784058351,2.9005863007275486e-05,2.977150875726773e-05,0.0013178265107870752,0.0025049311290772465
5,40.0,50.0,1.2717418494752692,127.17418494752692,141.40729022270853,112.28831125468278,0.0,25.20448323239833,18.844735073094583,2.9173582503900093,2.9249991312208804e-05,3.04373173095692e-05,0.001395322172512641,0.0025742511489382446
