time_s,B_mT,command_deg,force_s_N,torque_rock_Nmm,theta_deg
1e-07,10.99999961587397,0.0009110618689415853,8.767316604702784e-13,5.7009222420671405e-15,3.583314024814096e-15
1.01e-05,10.999975220528128,0.09201663120612985,8.883903575281044e-09,5.83459215069502e-09,3.0376883232924247e-10
2.01e-05,10.999978582216167,0.18311856788427583,3.4948459481229666e-08,4.567828774039394e-08,9.456779516972055e-09
3.01e-05,10.999991800754875,0.27421327535491086,7.784377997966322e-08,1.523581444168375e-07,7.09406010357355e-08
4.01e-05,10.999973584336066,0.3652971573549633,1.3721910194320316e-07,3.577685672381158e-07,2.9644117745182247e-07
5.01e-05,10.999983108660324,0.45636661804873235,2.1272366360747097e-07,6.929108062056887e-07,8.984509319233872e-07
6.01e-05,10.999985372520628,0.5474180621698457,3.0400670454713346e-07,1.187809726570879e-06,2.221947509870443e-06
7.01e-05,10.999973334864238,0.6384478951631942,4.107174656833041e-07,1.8715577466380043e-06,4.77507517422342e-06
8.01e-05,10.999989005365748,0.7294525233268395,5.325051893095021e-07,2.772438638794771e-06,9.258899917099847e-06
9.01e-05,10.99998033766893,0.8204283539538868,6.690191190607815e-07,3.917487248404033e-06,1.6596266488230126e-05
0.0001001,10.999974467743838,0.9113717954743185,8.199084999636446e-07,5.333094487936749e-06,2.795950624948113e-05
0.0001101,10.999996257135878,1.0022792575967832,9.848225783901112e-07,7.044822921373826e-06,4.479733713428102e-05
0.0001201,10.999976697835137,1.0931471514503348,1.1634106021303858e-06,9.07632874760931e-06,6.886094036505999e-05
0.0001301,10.999976973778283,1.1839718897261151,1.3553218201550743e-06,1.1451689534264602e-05,0.00010222836020374918
0.0001401,10.99999557379937,1.2747498868189733,1.560205483185212e-06,1.4193433674918926e-05,0.00014732892669586372
0.0001501,10.99997444980328,1.3654775589690218,1.7777108429657843e-06,1.7321778434670577e-05,0.00020696617357912823
0.0001601,10.999980838975695,1.4561513244031141,2.007487152870118e-06,2.0858700474430222e-05,0.0002843388021768365
0.0001701,10.9999885424992,1.5467676034762492,2.249183667405616e-06,2.4823018827343292e-05,0.0003830630012968793
0.0001801,10.999973585531423,1.6373228188128894,2.5024496428074158e-06,2.9232260661760033e-05,0.0005071914659021987
0.0001901,10.999986044595609,1.727813395448189,2.76693433635122e-06,3.4105917290498245e-05,0.000661231772127932
0.0002001,10.999982920159688,1.8182357609691264,3.0422870068451807e-06,3.945834979342656e-05,0.0008501661044775871
0.0002101,10.999974092191305,1.9085863456555388,3.328156914519609e-06,4.5305392417086924e-05,0.0010794651678973696
0.0002201,10.99999256720982,1.998861582621048,3.624193320947177e-06,5.166368374466658e-05,0.001355105888646063
0.0002301,10.99997869983485,2.089057907953875,3.930045488929135e-06,5.854195441885179e-05,0.0016835866807519166
0.0002401,10.999975952222108,2.179171760857536,4.245362682597487e-06,6.59559390140291e-05,0.002071939021196094
0.0002501,10.999999625938711,2.2691995837914183,4.569794167419135e-06,7.391868597061446e-05,0.0025277389028031407
0.0002601,10.999975869792276,2.3591378226112236,4.9029892101801266e-06,8.24320084144782e-05,0.003059125669182481
0.0002701,10.99997914339831,2.4489829267092835,5.244597078698988e-06,9.15135534367265e-05,0.003674801124974535
0.0002801,10.999992058144576,2.538731349154728,5.594267042021989e-06,0.00010116935763256388,0.004384044381284307
0.0002901,10.999974413574032,2.6283795468335116,5.951648370137088e-06,0.00011139997212106772,0.00519672720959286
0.0003001,10.9999836389114,2.7179239805882927,6.316390334030517e-06,0.00012222037184504296,0.0061233046817827505
0.0003101,10.999985907481967,2.807361115358152,6.6881422055940895e-06,0.00013362915594077672,0.0071748313211472915
0.0003201,10.999974310071508,2.896687420318149,7.06655325707475e-06,0.00014562814764180261,0.008362973468214083
0.0003301,10.999989407465328,2.985899369018715,7.451272761720187e-06,0.0001582285658945532,0.009699987045380718
