case,time_s,region,robot_center_s_mm,sampled_elements,represented_fluid_volume_proxy_mm3,regional_evf_volume_proxy_mm3,pressure_metric_source,pressure_metric_mean_N_mm2,pressure_metric_p95_abs_N_mm2,axial_velocity_mean_mm_s,axial_velocity_p95_abs_mm_s,speed_p95_mm_s
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.0,near_robot,-3.2,4400,40.26681818181818,1.6568181818181815,mean-normal-stress pressure proxy -trace(S_water)/3,0.0,0.0,0.0,0.0,0.0
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.0,low_s_end,-3.2,800,40.26681818181818,0.6381818181818181,mean-normal-stress pressure proxy -trace(S_water)/3,0.0,0.0,0.0,0.0,0.0
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.0,high_s_end,-3.2,800,40.26681818181818,0.6381818181818181,mean-normal-stress pressure proxy -trace(S_water)/3,0.0,0.0,0.0,0.0,0.0
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.008333460427820683,near_robot,-3.1490751659746357,4400,40.262702372542996,1.6352393926944464,mean-normal-stress pressure proxy -trace(S_water)/3,0.0002372910928938505,0.0013291767099872231,-18.38218481723916,277.4118770891461,364.5876081042771
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.008333460427820683,low_s_end,-3.1490751659746357,800,40.262702372542996,0.6381734848261884,mean-normal-stress pressure proxy -trace(S_water)/3,-1.4778347927767373e-06,0.0001822316407924518,-0.008882688220007961,0.055822130282894566,0.0858939711264015
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.008333460427820683,high_s_end,-3.1490751659746357,800,40.262702372542996,0.6381818181818181,mean-normal-stress pressure proxy -trace(S_water)/3,9.812834613935724e-07,0.00025568794808350503,0.001689677764995608,0.07290228686085579,0.09108594394604753
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.016666827723383904,near_robot,-2.93455357841962,4400,40.23293656139857,1.8037726036672193,mean-normal-stress pressure proxy -trace(S_water)/3,0.0016252027843020925,0.004486971069127321,41.02780733260769,524.2721441784753,725.398278772549
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.016666827723383904,low_s_end,-2.93455357841962,800,40.23293656139857,0.6314430197618168,mean-normal-stress pressure proxy -trace(S_water)/3,-5.67156339991564e-07,0.00022425771749112755,-0.32226856113282293,1.2783744709313807,3.3309933085279817
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.016666827723383904,high_s_end,-2.93455357841962,800,40.23293656139857,0.6373199909161609,mean-normal-stress pressure proxy -trace(S_water)/3,2.5391533678101007e-06,0.0004497173067647964,-0.010613911101757231,0.18432042628630183,0.3140031139254184
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.025000080466270447,near_robot,-2.559047990657276,4400,42.26079868376454,2.7665480785497514,mean-normal-stress pressure proxy -trace(S_water)/3,0.003876982342638207,0.013700511306524277,-34.48931793341955,1390.9777442250959,3351.718639817462
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.025000080466270447,low_s_end,-2.559047990657276,800,42.26079868376454,0.6218027911606496,mean-normal-stress pressure proxy -trace(S_water)/3,-3.398942086342522e-05,0.0005544143496081233,-0.3075030442650161,0.8804950680335194,1.9735189647667477
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.025000080466270447,high_s_end,-2.559047990657276,800,42.26079868376454,0.6176914312127676,mean-normal-stress pressure proxy -trace(S_water)/3,1.6044749223922036e-07,0.0007615090580657125,0.4017143677402707,2.6754591299317387,6.587353910274957
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.0333334319293499,near_robot,-2.039533831532804,4400,38.673969984903955,2.868405816569734,mean-normal-stress pressure proxy -trace(S_water)/3,0.0020484012578438683,0.011257938109338284,-59.26076147308771,1623.251470287253,2838.6349801393685
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.0333334319293499,low_s_end,-2.039533831532804,800,38.673969984903955,0.5774342158306947,mean-normal-stress pressure proxy -trace(S_water)/3,0.015498409257066212,0.10239391028881073,-2129.072570744058,5446.328423338076,6812.9122161453215
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.0333334319293499,high_s_end,-2.039533831532804,800,38.673969984903955,0.4076091890813307,mean-normal-stress pressure proxy -trace(S_water)/3,0.0038588288980058454,0.030397402122616768,2380.405827782811,4502.440588918533,8109.786545079314
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.03999999910593033,near_robot,-1.532532416210989,4400,24.13193478047647,2.3703791280258937,mean-normal-stress pressure proxy -trace(S_water)/3,0.0015177558450921533,0.02313443459570408,-487.7628302664868,2171.7072906726316,2927.5151237438527
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.03999999910593033,low_s_end,-1.532532416210989,800,24.13193478047647,0.32750101634471895,mean-normal-stress pressure proxy -trace(S_water)/3,0.0032365298527336954,0.01847268082201481,-530.953057318056,1437.4973741308015,3565.930000218715
F100_G2P20_REALWALL_FIXEDVVR_FULLCEL40_L36,0.03999999910593033,high_s_end,-1.532532416210989,800,24.13193478047647,0.32885711193178374,mean-normal-stress pressure proxy -trace(S_water)/3,0.0025775854902939425,0.020002661272883415,2136.969976906517,3172.1456776933655,6139.705232204874
