time_s,s_relative_mm,v_s_mm_s,delta_s_backtrack_mm,F_mag_s_N,whole_general_contact_force_s_N,pipe_surface_reaction_on_robot_proxy_s_N
0.014,0.14516607058492859,15.626269019918286,0.0,2.5997403790479228e-05,0.0004484328533238114,2.225118884428757e-06
0.014005,0.14524460420900678,15.776529425692928,0.0,2.599865472588355e-05,0.0003042278161039921,4.222761069380275e-06
0.01401,0.1453239472524929,15.976678418681065,0.0,2.5999914203030897e-05,0.0003620003351098891,2.4631194371489946e-06
0.014015,0.14540402777377406,16.024325347365604,0.0,2.600118269756677e-05,-0.0001596565704537704,4.7163740589590005e-06
0.01402,0.1454839112696811,15.927202566739085,0.0,2.6002462041226215e-05,-0.00013772281291081945,6.202483547484266e-06
0.014025000000000001,0.1455635390123445,15.901625786838926,0.0,2.600375253098209e-05,-0.0002635837608413572,1.177673057086083e-06
0.01403,0.14564290099686755,15.883010619480668,0.0,2.6005053741415038e-05,0.0001735878818745559,3.11671451882714e-06
0.014035,0.14572224004608408,15.853379100992546,0.0,2.6006366492793912e-05,-9.125359988189225e-05,1.7105908483650475e-06
0.01404,0.14580130464668042,15.754832144237275,0.0,2.600769242614127e-05,-0.0002146504721131084,4.139654154851087e-06
0.014045,0.14587993135563637,15.714951393965753,0.0,2.6009032248592974e-05,-0.0002722788803512969,3.890485284079353e-06
0.01405,0.14595835537304114,15.628639722459523,0.0,2.6010383850496554e-05,-0.00037680067151015076,3.9674412923010787e-07
0.014055,0.14603635154090486,15.58946223616593,0.0,2.6011750725682105e-05,-9.502824442119459e-05,1.0136059298880418e-05
0.01406,0.14611432243754668,15.607482717634094,0.0,2.601313146251842e-05,-2.91118693774132e-05,1.416057677732737e-05
0.014065000000000001,0.14619233744981144,15.562095705626847,0.0,2.6014524152949853e-05,-0.00040115856046659526,-1.321213810663313e-06
0.014070000000000001,0.14627008506240838,15.559509090236801,0.0,2.6015929824917675e-05,-3.220660440393395e-05,2.3356840147302053e-06
0.014075,0.14634787765560103,15.57112086673744,0.0,2.601734305041388e-05,-9.355982278774706e-05,1.5093946716177502e-06
0.01408,0.14642584457834995,15.578969290336769,0.0,2.6018769653015003e-05,-0.00016397169640743726,-1.2114726287008331e-06
0.014085,0.14650405735452834,15.70996972929755,0.0,2.6020208489348864e-05,0.00020380466581686933,2.614286211317146e-06
0.01409,0.1465829054605171,15.80196705533387,0.0,2.6021652909158593e-05,-7.528542854579195e-05,1.6708545569609602e-06
0.014095,0.1466619185444674,15.810354584387015,0.0,2.6023112625808793e-05,-0.0001758952967334673,-1.3475926434506236e-06
0.0141,0.1467408844506442,15.811221104170704,0.0,2.6024586979855655e-05,0.0005419861121706652,-1.9092201258765626e-06
0.014105,0.1468201087060633,15.804243760094057,0.0,2.6026071425064374e-05,-0.00021715404595876192,-2.9033610100014627e-06
0.014110000000000001,0.14689892087847164,15.758035514941913,0.0,2.602757183135392e-05,0.00012357806579313678,-3.2767498776363986e-07
0.014115,0.14697783492690117,15.773466837355153,0.0,2.6029078864784255e-05,-0.000160806078886645,1.6213345869506282e-06
0.01412,0.14705664128659404,15.712605405774166,0.0,2.6030603010399175e-05,-0.00015322646334791447,4.877398325088755e-06
0.014125,0.14713498489317278,15.620756871848554,0.0,2.6032142515014998e-05,-0.0006004896121799791,4.593069693020769e-06
0.01413,0.14721275744896256,15.54396764194164,0.0,2.603369563397732e-05,-0.00016710671489879788,9.782696482866903e-06
0.014135,0.1472902257167763,15.481203399827285,0.0,2.603526262077324e-05,0.000348959583976679,7.669154051432996e-06
0.01414,0.1473680163000813,15.543300487192274,0.0,2.6036840233948993e-05,-0.0007150282577523616,5.660190755137436e-06
0.014145,0.14744532980767708,15.45553774734764,0.0,2.603842766106031e-05,-7.130040100903526e-05,4.510440879400357e-06
0.014150000000000001,0.1475223780251453,15.356940248217393,0.0,2.604002427118569e-05,0.0001556764867190493,-2.35514153195007e-06
0.014155000000000001,0.14759929641224875,15.398832062501212,0.0,2.6041632975752976e-05,0.00013018183827897967,-9.844787908864227e-07
0.01416,0.14767657796829345,15.495795372895728,0.0,2.6043251509819483e-05,-8.452583770384619e-06,1.6456645288988706e-06
0.014165,0.1477539996890119,15.441430725446978,0.0,2.60448792846688e-05,-7.114778738454364e-05,-2.6203417728851503e-06
0.01417,0.1478308443479567,15.291057817512954,0.0,2.604652091770752e-05,-0.0003475732792185848,-9.771360551731354e-07
0.014175,0.147907005692294,15.149925708641192,0.0,2.6048173358334027e-05,-0.000450291700068502,-2.1714690534600293e-06
0.01418,0.1479820121562079,14.849371583756392,0.0,2.6049834826054915e-05,-0.0004410679570135763,-8.714490896571575e-07
0.014185,0.14805576573637697,14.65674896036779,0.0,2.6051506276176518e-05,-4.895639517497419e-05,1.2281494731170286e-06
0.01419,0.14812872666405746,14.52749500724144,0.0,2.6053184834834876e-05,-0.00037639075916391207,2.5323893923831907e-06
0.014195000000000001,0.14820087049324374,14.322775874414388,0.0,2.6054874653604597e-05,-0.0005625020431914103,8.799979248457856e-07
0.0142,0.14827209733907631,14.195064401730605,0.0,2.605657777414137e-05,-0.00024936634968440816,-8.972864923801967e-07
0.014205,0.1483429404511588,14.101863988676476,0.0,2.605829105717689e-05,-0.0005869553444738052,2.7408563342726956e-06
0.01421,0.14841289996042129,13.919097194538702,0.0,2.6060019016413615e-05,-0.0007584202386942285,-2.6741520024812226e-07
0.014215,0.14848215138402618,13.776724544184061,0.0,2.606175474608061e-05,-0.00032858127542639034,2.4180892192528763e-06
0.01422,0.14855059382290986,13.565545807122543,0.0,2.606349559541983e-05,-0.0002875889904933583,4.330822621058102e-06
0.014225,0.1486180094802755,13.391687851994469,0.0,2.6065243488602905e-05,-0.0005223929787243548,4.0314431250340225e-06
0.01423,0.1486843607357277,13.102333047633829,0.0,2.606700010956816e-05,-0.0009338953798527168,3.18481549753336e-06
0.014235000000000001,0.14874920488989918,12.853662406634811,0.0,2.6068770580983576e-05,-0.0005596004745148674,6.982226025162639e-06
