cycle,t_start_s,t_end_s,delta_s_mm,mean_v_s_mm_s,end_v_s_mm_s,minimum_v_s_mm_s,maximum_backward_excursion_mm,negative_velocity_duration_s
1,0.0,0.01,0.0850081431056382,8.50081431056382,11.16834560925602,0.0,0.0,0.0
2,0.01,0.02,0.06143387991563776,6.143387991563776,-3.463073331070662,-7.751371450698017,0.016973250847166277,0.003970345173352659
