segment,start_ms,end_ms,complete_cycle,delta_s_mm,mean_v_s_mm_s,end_v_s_mm_s,minimum_v_s_mm_s,max_backtrack_mm
Cycle 1,0.0,10.0,True,0.09233673047286903,9.233673047286903,15.338687144547515,0.0,0.0
Cycle 2,10.0,20.0,True,0.1399079414232934,13.99079414232934,4.316057982807659,3.1465312325950765,0.0
Cycle 3,20.0,30.0,True,0.01330013166230612,1.330013166230612,2.458065035278098,-7.333443339553176,0.005305557317787923
Cycle 4,30.0,40.0,True,-0.5646974964973537,-56.469749649735355,-93.71801801685166,-94.31316971006281,0.5652502732570631
Cycle 5 partial,40.0,40.75482487678528,False,-0.07220223094974154,-95.65428110589507,-97.93748943332028,-99.34473526999825,0.07220223094974154
