event,time_ms,actual_deg,command_deg,error_deg,omega_deg_s,torque_Nmm,gap_um
TAIL release,11.550149880349636,12.3928636924298,9.519257478858998,2.8736062135708025,-1687.608276563156,-0.0006539768932243042,3.609802514725202
TAIL recontact,11.675059795379639,12.12778636307825,8.448480666096033,3.679305696982217,-2318.0805577674564,-0.000837055400910937,5.536998340603949
