region,time_ms,pressure_proxy_p95_abs_L12_N_mm2,pressure_proxy_p95_abs_L24_N_mm2,pressure_proxy_mean_L12_N_mm2,pressure_proxy_mean_L24_N_mm2,axial_velocity_mean_L12_mm_s,axial_velocity_mean_L24_mm_s,speed_p95_L12_mm_s,speed_p95_L24_mm_s,EVF_volume_proxy_L12_mm3,EVF_volume_proxy_L24_mm3
near_robot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18681818181818,26.226818181818178
near_robot,8.333406411111355,0.0008733419235795736,0.0007407378288917243,0.00013871329801709673,9.620812260369052e-05,7.498597293390591,2.67525409149775,303.5265878412,244.92156998408998,12.175756270031084,26.223902760334557
near_robot,16.66681095957756,0.0045385174453258514,0.004658866208046675,0.0016271450902735627,0.001454507488346997,29.338226876005365,-2.0402951328087973,593.311450969845,821.7856454508941,11.983287344029968,26.561304073673117
near_robot,25.00004693865776,0.052945055067539215,0.01369074173271656,0.004021446293501747,0.001814914905892389,120.04589624839824,239.48382153778178,7457.896406463756,9472.278698824422,14.82870628105373,21.59339164616984
near_robot,33.333443105220795,0.020233159884810448,0.03218767046928406,6.477966811183461e-05,-6.0976278133109785e-05,406.0334605096578,-126.46368707364321,11422.125017116374,9046.116102292526,7.6002927550607104,15.942266045162715
near_robot,39.99999910593033,0.019144251942634583,0.007171930279582739,0.00040759729754236135,0.0008663180317710103,278.89601988407026,2.8324306877077308,3135.5943589600192,6152.624598677011,6.50564593937068,13.974958424887015
low_s_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18681818181818,26.226818181818178
low_s_end,8.333406411111355,0.00026519622770138085,0.00016855821013450623,1.3624481671073278e-05,6.45988224447273e-08,-9.8558411927972,-0.011340388729743326,28.052444383687753,0.17475620740671244,12.175756270031084,26.223902760334557
low_s_end,16.66681095957756,0.0004196847730781883,0.00023333478020504117,6.002213181707412e-06,-1.5056706017598172e-07,-19.999143196868346,-0.08154431283655475,40.632944303918755,0.7321796977895395,11.983287344029968,26.561304073673117
low_s_end,25.00004693865776,0.01031997986137867,0.027719751000404358,0.0004646911160634666,0.0037729623865051976,-412.9056651072607,-1166.9692681586143,2517.2568176893296,9013.52738925314,14.82870628105373,21.59339164616984
low_s_end,33.333443105220795,0.008540046401321888,0.027390168979763985,0.0009628955586476174,0.00017456282658423792,-528.0233812555068,-704.4920459346099,3108.0267685745857,11091.425950062336,7.6002927550607104,15.942266045162715
low_s_end,39.99999910593033,0.009963425807654858,0.004196415189653635,0.0010344134008069563,0.0004647202799114058,-676.8074337109805,-835.6513739591757,3811.9407143280496,10425.903418339223,6.50564593937068,13.974958424887015
high_s_end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.18681818181818,26.226818181818178
high_s_end,8.333406411111355,0.00028758897678926587,0.00020523184502962977,-8.743591845180555e-06,1.4684102211275362e-07,-0.056234302150891084,0.011161754038183829,0.6604070654985438,0.09014600115464547,12.175756270031084,26.223902760334557
high_s_end,16.66681095957756,0.00046893535181879997,0.0006429617060348392,1.068785224126905e-05,5.649025214210514e-06,0.10499024747818238,0.2328339503803912,2.418066628089667,1.6445513416203792,11.983287344029968,26.561304073673117
high_s_end,25.00004693865776,0.019348744302988052,0.08351106196641922,0.0013143642151733084,0.012997420702579053,1731.5178680014446,1883.0634754705595,4780.4289979286805,6030.389063030182,14.82870628105373,21.59339164616984
high_s_end,33.333443105220795,0.024648461490869522,0.017580131068825722,0.0024281593688174124,0.0024205157889191074,948.2726441075371,514.863855230864,4302.951597848681,3326.38293288586,7.6002927550607104,15.942266045162715
high_s_end,39.99999910593033,0.024743586778640747,0.016076887026429176,0.002116161679464459,0.001328961712421576,907.0894073743584,838.3767909239361,4560.90588908731,4368.781553407271,6.50564593937068,13.974958424887015
