cycle,delta_s_mm,mean_v_s_mm_s,end_v_s_mm_s,minimum_v_s_mm_s,max_backtrack_mm,rocking_amplitude_deg,rocking_fundamental_amplitude_deg,phase_lag_deg,omega_rock_peak_rad_s
1,0.07920137341790508,7.920137341790507,19.2053078050083,-0.6418596751978327,7.396943792856853e-05,12.770736335127763,12.823222996887266,17.266974504169696,301.09575763068943
2,0.31771205015297005,31.771205015297003,43.590712243292835,19.2053078050083,0.0,11.52780603242714,13.255702432401296,13.378917473768695,324.835355389428
3,0.5386434030139107,53.86434030139107,64.71186010681046,43.59071224329283,0.0,12.774583267749616,13.110095438666866,8.278442539559393,294.39293028783743
4,0.7319108310339485,73.19108310339485,82.74034565064902,64.71186010681046,0.0,13.268271123967722,13.560561585979555,5.981734308790749,247.2494152309099
5,0.9055796209743481,90.55796209743481,99.95310921929673,82.67743093228975,0.0,13.052855636788408,13.419059617432481,6.572512168617038,228.85956276094007
