cycle,t_start_s,t_end_s,delta_s_mm,mean_v_s_mm_s,end_v_s_mm_s,minimum_v_s_mm_s,maximum_backward_excursion_mm,negative_velocity_duration_s
1,0.0,0.01,0.09233673047286903,9.233673047286903,15.338687144547515,0.0,0.0,0.0
2,0.01,0.02,0.14315865410150266,14.315865410150266,7.04836626954905,5.604364937289001,0.0,0.0
3,0.02,0.03,-0.02352687398858097,-2.352687398858097,-2.2393128453171176,-11.088053112456501,0.032364253391975906,0.004771438659895081
