cycle,complete_cycle,side,min_signed_gap_mm,closest_time_ms,rocking_at_closest_deg,dwell_gap_negative_ms,dwell_within_5um_ms,dwell_within_10um_ms
1,True,TAIL,-0.002711018090002182,5.940535105764866,-8.004689157759287,0.10549978701839166,0.657111892739741,1.2286646492131217
1,True,HEAD,0.0025525143519650184,7.132760249078274,-12.431307028781792,0.0,0.16830323866266136,0.809743503781766
2,False,TAIL,-0.004481278253527177,16.51686802506447,-12.999081330886982,1.2939350609038205,3.928137719327734,4.667888336770055
2,False,HEAD,0.003983412301433953,11.270254850387573,12.83306477569694,0.0,0.054067653454204244,1.1828878224881454
