cycle,delta_s_mm,mean_v_s_mm_s,end_v_s_mm_s,minimum_v_s_mm_s,max_backtrack_mm,rocking_half_range_deg,rocking_fundamental_amplitude_deg,phase_lag_deg,theta_offset_deg,sinusoid_residual_rms_over_amplitude,omega_peak_abs_rad_s
1,0.10816673456233589,10.816673456233588,25.039607067726422,0.0,0.0,13.019186578802998,13.446493124044878,21.746939096832932,-0.307333283598914,0.09956895868390793,209.7311012358349
2,0.12904559209719413,12.904559209719412,0.5321020702718688,-0.4236878929957111,4.9083835975766155e-05,13.112859404493502,14.369489130361787,19.740690947241802,0.12551754709682061,0.10985534722665327,222.45036961476922
3,-0.0495351920983097,-4.9535192098309695,-4.745229185182612,-13.889850069350175,0.049705726920716786,12.77250188005676,14.280523889871672,20.15687630337399,0.19932883380836497,0.09894157498145774,221.62649641277312
4,-0.02188314537485367,-2.188314537485367,2.2187567509465547,-7.249347415161286,0.022332448995981163,12.493687283078632,13.849577844724571,20.338576202279484,-0.027058384658611878,0.0997462204288999,218.26797716351086
5,-0.04091979787688847,-4.091979787688847,-9.423625895137008,-11.669722859438577,0.04255576903628318,12.584426182170837,14.195973554849996,20.566480593490382,0.17445641426968894,0.12065600138638999,240.81178448775287
