time_ms,target_U1,target_U2,target_U3,target_UR1,target_UR2,target_UR3,target_V1,target_V2,target_V3,target_VR1,target_VR2,target_VR3,replay_U1,replay_U2,replay_U3,replay_UR1,replay_UR2,replay_UR3,replay_V1,replay_V2,replay_V3,replay_VR1,replay_VR2,replay_VR3,error_U1,error_U2,error_U3,error_UR1,error_UR2,error_UR3,error_V1,error_V2,error_V3,error_VR1,error_VR2,error_VR3,position_error_mm,orientation_error_deg,v_s_error_mm_s,omega_rock_error_rad_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006000000212225132,8.174150116568288e-13,-4.595365941955845e-14,2.721004403169609e-13,1.875888683527624e-12,3.272789623220196e-11,-1.8942627822580555e-12,5.4532289088104e-07,-3.0792242904397975e-08,1.813177865424547e-07,1.2348717899717792e-06,2.1837991587772353e-05,-1.1791719333520015e-06,8.193708840760483e-13,-4.6064812798648005e-14,2.727492439801721e-13,1.8802210222795823e-12,3.28062438326171e-11,-1.897995215854875e-12,5.63379728646396e-07,-3.1830047930725414e-08,1.8727394035522593e-07,1.2731641163554741e-06,2.2560365323442966e-05,-1.20510742362967e-06,1.955872419219476e-15,-1.1115337908955633e-16,6.488036632111624e-16,4.332338751958435e-15,7.834760041513864e-14,-3.7324335968196575e-15,1.8056837765356e-08,-1.0378050263274382e-09,5.956153812771235e-09,3.829232638369494e-08,7.223737356706131e-07,-2.5935490277668442e-08,2.0636710463013953e-15,4.500927829593316e-12,1.8928571508840553e-08,2.7443505298914944e-08
0.011000000085914508,9.224942890817434e-12,-5.272717276709157e-13,3.059430917260225e-12,2.0228656367586053e-11,3.69495708373314e-10,-1.6631014959188168e-11,3.3521110033923358e-06,-1.9350039469018098e-07,1.109883714907324e-06,7.1625777307090514e-06,0.0001343300825366689,-5.095062110798211e-06,9.230822703432118e-12,-5.276188015136685e-13,3.0613768898374305e-12,2.024065290373578e-11,3.697316064421585e-10,-1.663716213406996e-11,3.3735259421519004e-06,-1.9492384240038518e-07,1.1172087397426367e-06,7.202194410638185e-06,0.00013520453649107367,-5.099081590742571e-06,5.879812614683527e-15,-3.470738427527361e-16,1.94597257720546e-15,1.1996536149725766e-14,2.358980688445245e-13,-6.147174881792249e-15,2.1414938759564616e-08,-1.4234477102042036e-09,7.325024835312607e-09,3.961667992913379e-08,8.74453954404766e-07,-4.019479944359913e-09,6.203181917963582e-15,1.3538012297401075e-11,2.25148973888813e-08,6.129580881480999e-08
0.015999999959603883,4.1207604017200806e-11,-2.400379509239518e-12,1.3633208366277404e-11,8.617100105578785e-11,1.6524826708687983e-09,-5.3171236603272254e-11,1.0283420632656972e-05,-6.09406840263481e-07,3.3985960619219847e-06,2.0656704188711605e-05,0.00041284000418593256,-9.044939171130134e-06,4.121627691922036e-11,-2.4009121513818288e-12,1.3636078377565752e-11,8.618720320763273e-11,1.6528317603459186e-09,-5.317289664130698e-11,1.0319952707504854e-05,-6.119345812294341e-07,3.4110230444639456e-06,2.0714422134915367e-05,0.000414329522754997,-9.003852937894408e-06,8.672902019556478e-15,-5.32642142310977e-16,2.8700112883488014e-15,1.6202151844881257e-14,3.4908947712029916e-13,-1.6600380347228254e-15,3.653207484788133e-08,-2.5277409659531084e-09,1.242698254196082e-08,5.771794620376222e-08,1.4895185690644514e-06,4.108623323572657e-08,9.150950873425231e-15,2.0023110782177284e-11,3.84003666085202e-08,1.5315461657691057e-07
0.02099999983329326,1.219631997708507e-10,-7.275618080844041e-12,4.033533462344609e-11,2.424157091619734e-10,4.898926979297203e-09,-9.492918324855064e-11,2.3168986597372666e-05,-1.4170041399161936e-06,7.660699897891956e-06,4.351779492127052e-05,0.0009322465727916078,-5.533744437497721e-06,1.2197912124811694e-10,-7.276625482721677e-12,4.034058503910032e-11,2.424427325564693e-10,4.899568750715844e-09,-9.491871177935707e-11,2.322451473446563e-05,-1.4204598528522183e-06,7.678356269025244e-06,4.35954425483942e-05,0.0009345035650767386,-5.399223937274655e-06,1.5921477266238033e-14,-1.0074018776361004e-15,5.250415654231566e-15,2.7023394495920377e-14,6.417714186403265e-13,1.0471469193570246e-14,5.5528137092963176e-08,-3.4557129360246793e-09,1.7656371133287495e-08,7.764762712368119e-08,2.2569922851307586e-06,1.3452050022306568e-07,1.6795093373500463e-14,3.680826740471357e-11,5.80882926915345e-08,3.045642744831345e-07
0.025999999706982635,2.8577763357063865e-10,-1.7469781092422743e-11,9.451704213952053e-11,5.383206817160366e-10,1.1499434769809048e-08,-7.605810802898436e-11,4.381054114782276e-05,-2.763727425944158e-06,1.4491152981920975e-05,7.657822898900225e-05,0.0017670396858336195,1.7640545243405103e-05,2.8581484401435375e-10,-1.7472258015405195e-11,9.452936350351493e-11,5.383772316847057e-10,1.1500942420639149e-08,-7.60015869682995e-11,4.38892311649397e-05,-2.769239245026256e-06,1.4516681403620169e-05,7.666442252229899e-05,0.0017702425830066204,1.7933676645043306e-05,3.721044371509893e-14,-2.476922982452412e-15,1.2321363994402419e-14,5.654996866912207e-14,1.5076508301005637e-12,5.6521060684851154e-14,7.869001711693913e-08,-5.511819082097803e-09,2.5528421699193174e-08,8.619353329674133e-08,3.202897173000931e-06,2.9313140163820256e-07,3.927554302130147e-14,8.650341301825369e-11,8.246131757018417e-08,5.368138263877641e-07
0.03099999958067201,5.759475602742246e-10,-3.6108062833828726e-11,1.9054448168660963e-10,1.0247237785889147e-09,2.3217665804362828e-08,1.4200845484291282e-10,7.399431565974296e-05,-4.825252868146899e-06,2.4499434059649772e-05,0.00011956744322514445,0.002991422667971264,7.733733553802977e-05,5.759922538928208e-10,-3.611118001844993e-11,1.9055933220268884e-10,1.0247837023413808e-09,2.321948144867747e-08,1.4211512522344094e-10,7.405460928566754e-05,-4.8301999413524754e-06,2.452028275001794e-05,0.00011961383279412985,0.00299392850138247,7.764402107568458e-05,4.469361859623746e-14,-3.1171846212031413e-15,1.4850516079202408e-14,5.99237524661297e-14,1.815644314642644e-12,1.0667038052812054e-13,6.029362592458235e-08,-4.947073205576297e-09,2.0848690368168896e-08,4.638956898539361e-08,2.5058334112062347e-06,3.066855376548076e-07,4.719930307755886e-14,1.042646817962874e-10,6.349534854269263e-08,4.997136798679373e-07
0.03600000127335079,1.0445540473556466e-09,-6.715221772092707e-11,3.4572224580185735e-10,1.749007605681709e-09,4.218546999576824e-08,7.936495007240163e-10,0.00011547436625754603,-7.752868917400034e-06,3.824487496546845e-05,0.00017146953130393736,0.004679010074819119,0.00019502823042598437,1.044596631416539e-09,-6.715524664135941e-11,3.4573627294420817e-10,1.7490573434031376e-09,4.218719951154526e-08,7.937879242803092e-10,0.0001155585196102038,-7.758142601232976e-06,3.826935790129937e-05,0.0001715270191198215,0.004682372324168682,0.0001955472253030166,4.2584060892305745e-14,-3.0289204323438204e-15,1.4027142350816985e-14,4.973772142853022e-14,1.7295157770213766e-12,1.3842355629290753e-13,8.415335265776953e-08,-5.273683832941826e-09,2.4482935830924893e-08,5.7487815884125614e-08,3.362249349563376e-06,5.189948770322351e-07,4.493703732551977e-14,9.94516721932862e-11,8.756340493641076e-08,7.763518693449239e-07
0.04099999932805076,1.7523722605477867e-09,-1.1543821258941498e-10,5.802223606317693e-10,2.750458330242487e-09,7.09010949424224e-08,2.231731466261059e-09,0.0001699657476960632,-1.1763833988214643e-05,5.633812317401973e-05,0.00022993871600233002,0.006903133503825183,0.0003966462976975915,1.752432643442603e-09,-1.1544276645736318e-10,5.802425206979933e-10,2.7505178135101005e-09,7.09035674617553e-08,2.231979934208539e-09,0.0001700732100289315,-1.1773942787840497e-05,5.637476351694204e-05,0.00022996061306912452,0.006907549686729908,0.00039746524998918176,6.038289481630048e-14,-4.553867948194231e-15,2.0160066224033582e-14,5.948326761349436e-14,2.4725193329007042e-12,2.48467947479815e-13,1.0746233286830996e-07,-1.0108799625853547e-08,3.664034292230687e-08,2.1897066794496472e-08,4.416182904725362e-06,8.189522915902337e-07,6.382209625077679e-14,1.424192195037873e-10,1.1314106329516432e-07,1.1644900888193615e-06
0.04600000102072954,2.768688386389465e-09,-1.8692378586702055e-10,9.172934348884404e-10,4.0541522844265656e-09,1.1222935308509516e-07,4.950016002017943e-09,0.0002391851092942141,-1.7058470268546653e-05,7.935499974751638e-05,0.00029187220308304933,0.009736674327638561,0.000712622120783695,2.768805629216331e-09,-1.8693273318159953e-10,9.173320991706646e-10,4.054248492479928e-09,1.1223414730920922e-07,4.950599485908924e-09,0.00023932088515721262,-1.7068359738914296e-05,7.939700299175456e-05,0.00029188767075538635,0.009742333553731441,0.0007138527580536902,1.1724282686607022e-13,-8.947314578985528e-15,3.866428222423944e-14,9.620805336267512e-14,4.7942241140647936e-12,5.834838909808856e-13,1.357758629985065e-07,-9.889470367642608e-09,4.200324423818153e-08,1.5467672337019737e-08,5.659226092880401e-06,1.230637269995197e-06,1.2377746810158252e-13,2.767706080663498e-10,1.41882209840383e-07,1.6715923213153303e-06
