sample_index,min_gap_um,HEAD_gap_um,TAIL_gap_um,nearest_wall_sector_deg,time_s
0,261.50874541888106,473.8091955478018,261.50874541888106,254.0130141202224,0.0
200,261.50874742759555,473.80919728506404,261.50874742759555,254.0130141202224,1.9999959476990625e-05
400,261.50877755592893,473.80922330393975,261.50877755592893,254.0130141202224,3.999991895398125e-05
600,261.5089080964014,473.80933585758623,261.5089080964014,254.0130141202224,5.9999878430971876e-05
800,261.5092595021714,473.80963834245836,261.5092595021714,254.0130141202224,7.99998379079625e-05
1000,261.5100003494107,473.81027498713803,261.5100003494107,254.0130141202224,9.999980102293193e-05
1200,261.5113472921581,473.8114305376661,261.5113472921581,254.0130141202224,0.00011999975686194375
1400,261.5135650090778,473.81332993955,261.5135650090778,254.0130141202224,0.00013999971270095557
1600,261.51696614305905,473.8162380168225,261.51696614305905,254.0130141202224,0.000159999675815925
1800,261.521911231823,473.8204591477368,261.521911231823,254.0130141202224,0.00017999963893089443
2000,261.52880863178837,473.8263369371934,261.52880863178837,254.0130141202224,0.00019999960204586387
2200,261.5381144326985,473.8342538897709,261.5381144326985,254.0130141202224,0.00021999955060891807
2400,261.5503323639441,473.84463107090784,261.5503323639441,254.0130141202224,0.0002399995137238875
2600,261.5660136922762,473.85792778124545,261.5660136922762,254.0130141202224,0.00025999947683885694
2800,261.58575710666815,473.8746412111267,261.58575710666815,254.0130141202224,0.00027999942540191114
3000,261.6102086064026,473.89530610331013,261.6102086064026,254.0130141202224,0.0002999994030687958
3200,261.64006135844744,473.9204944176577,261.64006135844744,254.0130141202224,0.00031999935163185
3400,261.676055566191,473.95081497824947,261.676055566191,254.0130141202224,0.00033999932929873466
3600,261.7189783268868,473.98691315064224,261.7189783268868,254.0130141202224,0.00035999927786178887
3800,261.76966344208915,474.0294704598539,261.76966344208915,254.0130141202224,0.00037999922642484307
4000,261.82899128100036,474.07920428277606,261.82899128100036,254.0130141202224,0.00039999920409172773
4200,261.89788858102185,474.13686750485283,261.89788858102185,254.0130141202224,0.00041999915265478194
4400,261.97732820965615,474.20324810421755,261.97732820965615,254.0130141202224,0.00043999910121783614
4600,262.0683290531818,474.2791688912284,262.0683290531818,254.0130141202224,0.0004599990788847208
4800,262.1719557079579,474.36548712101023,262.1719557079579,254.0130141202224,0.000479999027447775
5000,262.2893182883198,474.4630941323466,262.2893182883198,254.0130141202224,0.0004999989760108292
5200,262.42157220606424,474.5729150937323,262.42157220606424,254.0130141202224,0.0005199989536777139
5400,262.56991786833237,474.6959085203857,262.56991786833237,254.0130141202224,0.0005399989313445985
5600,262.73560028174177,474.83306597833246,262.73560028174177,254.0130141202224,0.0005599988508038223
5800,262.9199090502579,474.98541179056735,262.9199090502579,254.0130141202224,0.0005799988284707069
6000,263.12417787384703,475.15400279113766,263.12417787384703,254.0130141202224,0.0005999988061375916
6200,263.34978426348994,475.3399277160238,263.34978426348994,254.0130141202224,0.0006199987255968153
6400,263.5981489495218,475.5443069342937,263.5981489495218,254.0130141202224,0.0006399987032637
6600,263.87073626169024,475.768292492919,263.87073626169024,254.0130141202224,0.0006599986809305847
6800,264.16905274991655,476.0130671785161,264.16905274991655,254.0130141202224,0.0006799986585974693
7000,264.4946477734873,476.27984489259285,264.4946477734873,254.0130141202224,0.0006999985780566931
7200,264.8491121151864,476.5698693721658,264.8491121151864,254.0130141202224,0.0007199985557235777
7400,265.2340785085322,476.8844150955846,265.2340785085322,254.0130141202224,0.0007399985333904624
7600,265.65122049163625,477.2247857021757,265.65122049163625,254.0130141202224,0.0007599984528496861
7800,266.1022519880984,477.592314618794,266.1022519880984,254.0130141202224,0.0007799984305165708
8000,266.5889270379805,477.988364116948,266.5889270379805,254.0130141202224,0.0007999984081834555
8200,267.11303955869545,478.4143256528036,267.11303955869545,254.0130141202224,0.0008199983276426792
8400,267.67642227712764,478.87161909905575,267.67642227712764,254.0130141202224,0.0008399983053095639
8600,268.2809455068173,479.3616917049265,268.2809455068173,254.0130141202224,0.0008599982829764485
8800,268.9285186110783,479.8860198652944,268.9285186110783,254.0130141202224,0.0008799982024356723
9000,269.62108767169275,480.4461068803792,269.62108767169275,254.0130141202224,0.0008999981801025569
9200,270.36063470318356,481.0434832096642,270.36063470318356,254.0130141202224,0.0009199981577694416
9400,271.149177651209,481.67970617114383,271.149177651209,254.0130141202224,0.0009399981354363263
9600,271.9887699808288,482.3563600400429,271.9887699808288,254.0130141202224,0.00095999805489555
9800,272.8814986618743,483.0750545243935,272.8814986618743,254.0130141202224,0.0009799980325624347
10000,273.8294861415944,483.837427415918,273.8294861415944,254.0130141202224,0.0009999979520216584
10200,274.80432564555156,484.64513901361346,274.83488389227756,253.83741249881763,0.001019997987896204
10400,275.66252977422494,485.49987746770876,275.899878144853,253.83741249881763,0.0010399979073554277
10600,276.57066406021323,486.40335507299784,277.02668610148123,253.83741249881763,0.0010599978268146515
10800,277.5305576171034,487.3573081157825,278.21755186547415,253.83741249881763,0.001079997862689197
11000,278.5440675688655,488.3634976323022,279.4747515966209,253.83741249881763,0.0010999977821484208
11200,279.61307359552376,489.4237074839871,280.8005865622426,253.83741249881763,0.0011199977016076446
11400,280.7394812171004,490.539746615866,282.1973870084532,253.83741249881763,0.0011399977374821901
11600,281.92521884345615,491.71344611282177,283.6675083135246,253.83741249881763,0.0011599976569414139
11800,283.17223602940226,492.9466597950306,285.21332859842073,253.83741249881763,0.0011799975764006376
12000,284.4825039401859,494.2412607150576,286.8372491180925,253.83741249881763,0.0011999976122751832
12200,285.8580141217523,495.59914678824254,288.54169248291566,253.83741249881763,0.001219997531734407
12400,287.30078152085196,497.0222381286681,290.3291061936721,253.83741249881763,0.0012399974511936307
12600,288.81283430246435,498.51246894705577,292.2019497997257,253.83741249881763,0.0012599974870681763
12800,290.3962202408251,500.0717989739569,294.16270256033727,253.83741249881763,0.0012799974065274
13000,292.0530063572612,501.70220553000297,296.2138627550133,253.83741249881763,0.0012999974424019456
13200,293.7852688413488,503.4056812095918,298.35793497808123,253.83741249881763,0.0013199973618611693
13400,295.5951018408864,505.18423841259164,300.5974407465158,253.83741249881763,0.001339997281320393
13600,297.4846129132565,507.0399072676559,302.93491261894087,253.83741249881763,0.0013599973171949387
13800,299.4559180592067,508.97472970163625,305.3728878048749,253.83741249881763,0.0013799972366541624
14000,301.5111447383545,510.9907662781326,307.9139116163353,253.83741249881763,0.0013999971561133862
14200,303.6524314125821,513.0900906818576,310.56053665057,253.83741249881763,0.0014199971919879317
14400,305.79567132563886,515.2747839482314,313.3153051723215,253.98239159565475,0.0014399971114471555
14600,307.61258186100594,517.5469413554172,316.1807693423698,253.98239159565475,0.0014599970309063792
14800,309.50249175124475,519.9086746792664,319.15948107745044,253.98239159565475,0.0014799970667809248
15000,311.46714196115636,522.3620873457508,322.25396845552154,253.98239159565475,0.0014999969862401485
15200,312.90696929084385,524.909308651059,325.4667750287524,253.82507432153366,0.0015199969056993723
15400,314.324966221584,527.5524548211766,328.8004055358857,253.82507432153366,0.0015399969415739179
15600,315.7981214705858,530.293663715712,332.2573798652235,253.82507432153366,0.0015599968610331416
15800,317.3277761550886,533.1350517999742,335.840167294751,253.82507432153366,0.0015799967804923654
16000,318.91529375296665,536.0787557960646,339.5512477847617,253.82507432153366,0.001599996816366911
16200,320.56525134297283,539.1268965466172,343.3930493467147,253.82507432153366,0.0016199967358261347
16400,322.2824118998357,542.0310901712986,347.36799263242784,253.82507432153366,0.0016399966552853584
16600,324.0686045524206,544.6939762293648,351.4784532113387,253.82507432153366,0.001659996691159904
16800,325.92566128514443,547.4408636501865,355.72677133514077,253.82507432153366,0.0016799966106191278
17000,327.85541828510475,550.2729820618437,360.1152593645534,253.82507432153366,0.0016999965300783515
17200,329.85970230856566,553.1915228256067,364.64617555860247,253.82507432153366,0.001719996565952897
17400,331.940326352033,556.1976463535514,369.32171992536473,253.98239159565475,0.0017399964854121208
17600,334.09909435626054,559.2924784439865,374.1440500017733,253.98239159565475,0.0017599964048713446
17800,336.33779679437856,561.109945896352,379.1152763449693,253.98239159565475,0.0017799964407458901
18000,338.65819368658106,562.6420335219701,384.23743064892363,253.98239159565475,0.0017999963602051139
18200,341.06201738942116,562.5906996729474,389.5124781403632,253.98239159565475,0.0018199963960796595
18400,343.55097039097757,561.972564622358,394.9423182170452,253.98239159565475,0.0018399963155388832
18600,346.1267133207661,559.9704533145625,400.5287647769923,253.98239159565475,0.001859996234998107
18800,348.7908623544134,555.8895463521621,406.273546550832,253.98239159565475,0.0018799962708726525
19000,351.54498550973244,551.2511838082893,412.17830502033956,253.98239159565475,0.0018999961903318763
19200,354.3906004006969,545.5143978100473,418.1347231087688,253.98239159565475,0.0019199961097911
19400,356.46285565004,539.6421634479046,422.2899568137038,253.82507432153366,0.0019399961456656456
19600,357.1544316905045,533.634416518491,426.5631553297885,253.91127877166485,0.0019599960651248693
19800,357.85113459573415,527.4912194065691,430.95558631152016,253.91127877166485,0.001979995984584093
20000,358.5774699174195,521.212789215199,435.468428525818,253.91127877166485,0.001999995904043317
20200,359.33441815790314,514.7994572806726,440.1028286922399,253.91127877166485,0.0020199958235025406
20400,360.12296366061173,508.25175474599706,444.8597965239841,253.91127877166485,0.002039995975792408
20600,360.94410825940867,501.5703186316164,449.74031245705595,253.91127877166485,0.0020599958952516317
20800,361.7988539448919,494.7559930958259,454.7452094545436,253.91127877166485,0.0020799958147108555
21000,362.68821637453675,487.80974145778316,459.8752827842119,253.91127877166485,0.0020999957341700792
21200,363.61321154381824,480.7327345770573,465.131214860182,253.91127877166485,0.002119995653629303
21400,364.5748562378171,473.5263026640702,470.5135612976687,253.91127877166485,0.0021399958059191704
21600,364.745778052925,466.1919425732995,473.3376734538674,253.93176605438276,0.002159995725378394
21800,364.111987300876,458.7313483737824,474.99044477765983,253.93176605438276,0.002179995644837618
22000,363.485123089712,451.1463640591929,476.70002571946094,253.93176605438276,0.0021999955642968416
22200,362.8664264113419,443.4390899009579,478.46735827336704,253.93176605438276,0.0022199954837560654
22400,362.2571639890284,435.61174779785307,480.29338033886927,253.93176605438276,0.002239995403215289
22600,360.6154119370212,427.6667981580681,482.17895997111515,253.98030488978486,0.0022599955555051565
22800,358.4903130057377,419.60685546219696,484.0177065029938,253.98030488978486,0.0022799954749643803
23000,356.3518290682716,411.43476505552917,481.49403304124706,253.98030488978486,0.002299995394423604
23200,354.20168894057787,403.1535770144177,478.9685945744525,253.98030488978486,0.0023199953138828278
23400,351.36855621840823,394.7665024864295,476.4437049721325,254.15625558747922,0.0023399952333420515
23600,347.23825691945365,386.2770027381805,473.92178785857766,254.15625558747922,0.0023599951528012753
23800,343.06807977957715,377.6886713847239,471.40526551512323,254.15625558747922,0.0023799953050911427
24000,338.86044054130747,369.00539185736113,468.89668807307703,254.15625558747922,0.0023999952245503664
24200,334.6178309058499,360.2311756548481,466.1195492368751,254.15625558747922,0.00241999514400959
24400,330.34284364722134,351.37026537402977,459.64370414793603,254.15625558747922,0.002439995063468814
24600,326.0381539225739,342.42707101387174,453.1439693245694,254.15625558747922,0.0024599949829280376
24800,321.70656385276106,333.4062514033737,446.62500372512784,254.15625558747922,0.0024799949023872614
25000,315.40782280465265,324.31258991089146,440.0915677788742,254.5030277171768,0.002499995054677129
25200,307.0453657941637,315.15110624955076,433.54853034963617,254.5030277171768,0.0025199949741363525
25400,298.6437803694569,305.92699837335635,427.00089159087605,254.5030277171768,0.0025399948935955763
25600,290.2144997901232,296.6455702210705,420.4536901862924,254.5030277171768,0.0025599948130548
25800,281.7703139858252,287.3124110565436,413.9121180030436,254.5030277171768,0.0025799947325140238
26000,273.3253279703857,277.9332074470861,407.38141542823075,254.5030277171768,0.002599994884803891
26200,264.8952211254687,268.51382925957586,400.8669250472255,254.5030277171768,0.002619994804263115
