time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,center_x_mm,center_y_mm,center_z_mm,head_x_mm,head_y_mm,head_z_mm,tail_x_mm,tail_y_mm,tail_z_mm,axis_x,axis_y,axis_z,c_x,c_y,c_z,e1_x,e1_y,e1_z,e2_x,e2_y,e2_z,q1,q2,robot_phase_unwrapped_rad,field_phase_unwrapped_rad,command_phase_rad,directed_tilt_deg,Bx_T,By_T,Bz_T,B_t_T,B_e1_T,B_e2_T,contact_active,delta_s_mm
0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,-7.473448179068641,-3.5197226197143845,-9.613427596691901,-8.679950042377008,-3.527604016100925,-9.84571782691083,-6.364578218325226,-3.812902185414518,-9.282106018151085,0.9647382600215763,-0.11887423721399708,0.2348382536498942,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426576705571215,0.20088485397456185,1.053624734386281,-2.6611561762110103,4.328416544945937,13.36237457089361,0.0094824029855076,0.0022955306414469,-0.0021942134569392,0.009317267213391841,-0.003220480084553713,-0.001678403914212684,0,0.0
9.999979738495313e-06,0.0002999993921548594,-7.468174204284059,-3.6769180159671317,-9.550745259297829,-7.473448179068691,-3.5197226197143885,-9.613427596691906,-8.679950042420733,-3.527604016200497,-9.84571782678162,-6.36457821828552,-3.812902185324088,-9.282106018268433,0.9647382600563387,-0.11887423713482936,0.2348382535471612,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426576695248224,0.20088485389367472,1.0536247346014915,-2.6586252880556005,4.330301496718887,13.362374563747398,0.009481765493687051,0.0023031947644500715,-0.0021889301589993666,0.00931785436007058,-0.003214887300142005,-0.0016858493447342773,0,4.973799150320701e-14
1.9999959476990625e-05,0.0005999987843097188,-7.468174204284955,-3.6769180159691146,-9.550745259295265,-7.473448179069431,-3.519722619714448,-9.613427596691993,-8.67995004307597,-3.5276040176952037,-9.845717824846568,-6.3645782176904895,-3.812902183966608,-9.282106020025838,0.9647382605772837,-0.11887423594641842,0.23483825200863748,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426576540657611,0.20088485267955036,1.0536247378183388,-2.6560674317200146,4.3321864484918375,13.362374456586663,0.009481117951081124,0.0023109263192357065,-0.002183579477202555,0.009318444689892303,-0.003209224042938137,-0.001693359675956328,0,7.975842208907125e-13
2.9999939215485938e-05,0.0008999981764645781,-7.468174204288829,-3.6769180159777117,-9.550745259284183,-7.473448179072636,-3.5197226197147047,-9.613427596692366,-8.67995004591215,-3.527604024177136,-9.845717816476878,-6.364578215114908,-3.8129021780797694,-9.282106027627158,0.964738262832184,-0.11887423079276385,0.23483824535404982,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426575872034163,0.2008848474148514,1.0536247517028006,-2.6535081725476704,4.334071400264787,13.362373992414021,0.00948046676242647,0.002318647761363851,-0.002178214653975447,0.009319032241970227,-0.0032035466829732624,-0.0017008595699452666,0,4.034106382277969e-12
3.999991895398125e-05,0.0011999975686194375,-7.468174204299247,-3.6769180160008763,-9.550745259254402,-7.47344817908126,-3.5197226197153952,-9.613427596693374,-8.679950053539105,-3.527604041641776,-9.845717793986429,-6.364578208188746,-3.8129021622185255,-9.282106048052896,0.9647382688959834,-0.11887421690697893,0.23483822747230498,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426574075434741,0.20088483323115913,1.053624788930553,-2.6509475146989256,4.335956352037738,13.362372743263045,0.009479811930036023,0.002326359063408609,-0.002172835708374131,0.009319617014217298,-0.0031978552404135644,-0.0017083490000621517,0,1.2745360322696797e-11
4.999990051146597e-05,0.001499997015343979,-7.468174204321189,-3.6769180160497577,-9.550745259191729,-7.473448179099438,-3.519722619716851,-9.613427596695495,-8.679950069602015,-3.527604078495268,-9.84571774665625,-6.364578193601759,-3.812902128748484,-9.282106091037978,0.9647382816667731,-0.11887418760550682,0.23483818984094706,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426570294737486,0.20088480330378483,1.0536248671006905,-2.6483854619015497,4.337841304153559,13.362370110514547,0.00947915345611623,0.0023340601993807443,-0.002167442658523796,0.009320199004662548,-0.0031921497344373976,-0.0017158279410654032,0,3.1104008257898386e-11
5.9999878430971876e-05,0.0017999963529291563,-7.468174204361042,-3.676918016138712,-9.550745259077987,-7.473448179132478,-3.5197226197194973,-9.613427596699351,-8.679950098776324,-3.527604145561563,-9.845717660758966,-6.364578167108101,-3.8129020678394205,-9.282106169049554,0.9647383048617589,-0.11887413428244055,0.23483812154558817,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426563433638112,0.20088474884668286,1.0536250086497974,-2.645822019781796,4.3397262555836384,13.36236532521734,0.009478491343365389,0.0023417511377240804,-0.0021620355265241607,0.009320778210921211,-0.0031864301884248084,-0.0017232963623093549,0,6.447287148603209e-11
6.999985635047778e-05,0.0020999956905143335,-7.468174204426596,-3.6769180162853115,-9.55074525889105,-7.473448179186865,-3.5197226197238534,-9.6134275967057,-8.679950146762634,-3.5276042560894285,-9.845717519583312,-6.3645781235309675,-3.812901967458911,-9.282106297264734,0.964738343013194,-0.11887404640395084,0.23483800929940696,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.1142655215765295,0.20088465910747172,1.0536252407660291,-2.6432571916688947,4.341611207013718,13.36235744841753,0.009477825593897125,0.0023494318539262647,-0.0021566143296247275,0.00932135463114873,-0.0031806966206212916,-0.0017307542399913228,0,1.1940315403080604e-10
7.99998379079625e-05,0.002399995137238875,-7.46817420452703,-3.6769180165103545,-9.550745258604872,-7.4734481792702505,-3.519722619730532,-9.613427596715432,-8.679950220281606,-3.527604425759313,-9.84571730345849,-6.3645780567672166,-3.8129018133661,-9.28210649354846,0.9647384014643287,-0.11887391150282803,0.2348378374625129,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426534896108066,0.20088452136256382,1.0536255953040083,-2.640690980923626,4.343496159129539,13.362345371488162,0.00947715620983278,0.002357102323496245,-0.0021511790851039044,0.00932192826350653,-0.0031749490493011767,-0.0017382015503305667,0,2.036184554299325e-10
8.999981946544722e-05,0.0026999945839634165,-7.468174204672916,-3.676918016837872,-9.55074525818952,-7.47344817939146,-3.51972261974024,-9.61342759672958,-8.679950327068799,-3.527604672690035,-9.8457169897787,-6.364577959792072,-3.812901589105622,-9.282106778431237,0.9647384863653024,-0.11887371517316137,0.23483758806144264,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426509844141668,0.20088432091243386,1.0536261086995917,-2.6381233928073393,4.34538111124536,13.36232781647103,0.009476483193790894,0.002364762516391218,-0.0021457298142355625,0.00932249910574633,-0.003169187496961348,-0.001745638264157928,0,3.2603786337404017e-10
9.999980102293193e-05,0.002999994030687958,-7.468174204876203,-3.6769180172951383,-9.550745257611213,-7.473448179560485,-3.5197226197537774,-9.613427596749307,-8.679950475869509,-3.527605017445445,-9.845716553027518,-6.364577824663796,-3.8129012760015533,-9.282107175086987,0.9647386046690474,-0.1188734410650453,0.23483724080855456,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426474964696187,0.20088404107691027,1.0536268218851823,-2.6355544316819866,4.347266063361182,13.362303336417133,0.009475806548162253,0.002372412405402678,-0.0021402665363756753,0.009323067155840753,-0.0031634119840670103,-0.0017530643550586857,0,4.967475319972436e-10
0.00010999977530445904,0.003299993259133771,-7.4681742051502145,-3.67691801791268,-9.550745256832341,-7.4734481797884795,-3.519722619772038,-9.613427596775919,-8.679950676433533,-3.527605483040842,-9.84571596480251,-6.364577642528446,-3.8129008531515867,-9.282107709310694,0.9647387641271197,-0.11887307087947685,0.23483677312158988,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426427990527056,0.2008836631906593,1.0536277802049576,-2.632984103813931,4.349151014105518,13.362270315741412,0.009475126275845623,0.0023800519578012153,-0.0021347892749164783,0.009323632411361108,-0.003157622535346583,-0.0017604797912614606,0,7.270148927318587e-10
0.00011999975686194375,0.0035999927058583125,-7.468174205509638,-3.6769180187242814,-9.550745255811513,-7.47344818008776,-3.519722619796008,-9.61342759681085,-8.679950939509991,-3.527606094949379,-9.845715193839446,-6.364577403624587,-3.812900297421207,-9.28210840949642,0.9647389732855851,-0.1188725843632617,0.2348361601429272,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426366426180404,0.2008831665986679,1.0536290333314338,-2.6304124098915507,4.35103596622134,13.362226970570006,0.009474442378269431,0.0023876811575745723,-0.0021292980413508875,0.009324194871123744,-0.003151819162947526,-0.0017678845572241127,0,1.0292797725242053e-09
0.00012999973841942847,0.003899992152582854,-7.468174205970523,-3.6769180197669957,-9.550745254503582,-7.473448180471804,-3.519722619826767,-9.613427596855674,-8.679951276841944,-3.5276068811078773,-9.845714206037,-6.364577097288169,-3.812899583438419,-9.282109306614874,0.9647392414807394,-0.11887195930439237,0.23483537475921862,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426287550008836,0.20088252865220174,1.0536306351818174,-2.6278393562474442,4.352920918337161,13.362171349123043,0.009473754858355672,0.002395299972058933,-0.0021237928591601473,0.009324754532717886,-0.003146001891686986,-0.0017752786212428715,0,1.4171508411209288e-09
0.00013999971270095557,0.004199991381028667,-7.468174206550268,-3.6769180210811525,-9.55074525285967,-7.473448180955241,-3.5197226198654867,-9.6134275969121,-8.67995170116128,-3.5276078719233284,-9.84571296448055,-6.3645767119571754,-3.812898683587837,-9.282110434191779,0.9647395788350432,-0.11887117152687875,0.2348343876203208,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426188416116748,0.20088172470420207,1.0536326438360508,-2.625264949251629,4.354805869081497,13.362101332049159,0.00947306371904979,0.002402908368658123,-0.002118273751915972,0.009325311393750892,-0.0031401707464722415,-0.0017826619516836614,0,1.9054091637826787e-09
0.0001499997015343979,0.004499991046031937,-7.468174207267619,-3.676918022710363,-9.550745250827216,-7.473448181553861,-3.5197226199134315,-9.61342759698197,-8.679952226182932,-3.527609100278259,-9.845711429468041,-6.3645762351768695,-3.8128975680058126,-9.282111828284402,0.9647399962525259,-0.11887019488648058,0.2348331671598502,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11426065856469798,0.20088072810561433,1.0536351214509647,-2.6226891878125076,4.356690822568805,13.362014632856832,0.009472368961296876,0.0024105063369518342,-0.0021127407271711415,0.009325865453459332,-0.0031343257352833055,-0.0017900345384342584,0,2.5099957667862327e-09
0.000159999675815925,0.00479999027447775,-7.468174208142658,-3.676918024701532,-9.55074524835,-7.473448182284599,-3.5197226199719576,-9.613427597067261,-8.679952866600173,-3.5276106015379676,-9.845709558532247,-6.364575653604079,-3.812896204573865,-9.282113527461336,0.9647405054150391,-0.11886900126495717,0.2348316796128801,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.1142591648271604,0.20087951020017486,1.0536381341823082,-2.620112083990536,4.358575773313141,13.361908798183457,0.009471670589583278,0.0024180938278290254,-0.0021071938206680086,0.009326416708260095,-0.003128466895878767,-0.0017973963338397813,0,3.2480187428518548e-09
0.00016999966464936733,0.00509998993948102,-7.468174209196798,-3.6769180271048603,-9.55074524536817,-7.473448183165542,-3.5197226200425145,-9.613427597170082,-8.67995363807803,-3.5276124135525357,-9.84570730646784,-6.3645749530131654,-3.8128945589168524,-9.2821155727779,0.9647411187770272,-0.11886756056846523,0.23482988903747462,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.1142573668839051,0.20087804032339135,1.0536417521017087,-2.6175336348815197,4.360460726800448,13.361781208392507,0.009470968604360584,0.002425670836432269,-0.0021016330359795625,0.009326965157802193,-0.0031225942320316762,-0.0018047473331879388,0,4.137744369359098e-09
0.00017999963893089443,0.005399989167926833,-7.468174210452773,-3.676918029973856,-9.550745241818287,-7.473448184215919,-3.5197226201266414,-9.613427597292679,-8.679954557249149,-3.5276145766674794,-9.845704625352653,-6.3645741182997835,-3.8128925943932974,-9.282118007756853,0.9647418495622353,-0.11886584071909086,0.2348277573315835,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11425522650661082,0.20087628579461997,1.05364604911655,-2.6149538526207694,4.362345677544784,13.361629077685508,0.009470263010161958,0.0024332373137863727,-0.0020960584090285663,0.009327510798538786,-0.0031167077816803323,-0.0018120874889637926,0,5.198591779276285e-09
0.00018999961321242154,0.005699988396372646,-7.468174211934633,-3.6769180333653386,-9.55074523763335,-7.473448185456102,-3.5197226202259704,-9.61342759743743,-8.679955641706629,-3.527617133724498,-9.845701464576095,-6.364573133487388,-3.812890272094709,-9.282120878362562,0.9647427117580171,-0.11886380765425472,0.23482524425563833,0.9901291831965912,0.07930162550662628,0.11556579413675062,-0.11868691683407041,0.03582723930461472,0.9922851529153465,0.074549422230313,-0.9962066357517484,0.044885660620178534,0.11425270332640367,0.20087421191706267,1.0536511028859867,-2.6123727381205892,4.3642306282891195,13.36144945478463,0.009469553808476572,0.002440793244054542,-0.002090469951541002,0.009328053629333345,-0.003110807557204385,-0.0018194167858059335,0,6.451140066587868e-09
