window,start_s,end_s,mDeltaV_norm_Ns,Jmag_norm_Ns,Jhydro_norm_Ns,Jwall_norm_Ns,residual_norm_Ns,relative_residual,relative_without_wall,mDeltaV_x_Ns,mDeltaV_y_Ns,mDeltaV_z_Ns,Jmag_x_Ns,Jmag_y_Ns,Jmag_z_Ns,Jhydro_x_Ns,Jhydro_y_Ns,Jhydro_z_Ns,Jwall_x_Ns,Jwall_y_Ns,Jwall_z_Ns,residual_x_Ns,residual_y_Ns,residual_z_Ns
A_clean,0.0,0.00095,2.957829159250869e-09,2.9588291139313857e-09,1.0280597000473258e-12,0.0,6.721600425574951e-17,2.2724775446386338e-08,2.2724775446386338e-08,-1.866751114674519e-09,-2.0418884507566186e-09,1.046272032428889e-09,-1.867201433085984e-09,-2.042685680893646e-09,1.0467395773551783e-09,4.5026208695301484e-13,7.972471071951833e-13,-4.675124062343426e-13,0.0,0.0,0.0,5.632451208198307e-17,-1.697016764489435e-17,-3.252005499595075e-17
B_first_impact,0.00095,0.0010999999999999998,6.401902877473446e-06,6.059315869416327e-10,7.159838244571105e-10,6.403140147072468e-06,1.355748721007126e-13,2.1177277240141157e-08,1.0001932796572472,1.8056679581275402e-06,4.126064395443122e-06,-4.549672107113973e-06,-3.823797468270059e-10,-4.1831674915564345e-10,2.143593120113394e-10,-3.037930717543512e-10,-4.4610400159786735e-10,4.704612908589357e-10,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,-6.505096313772895e-14,4.2508603414874186e-14,-1.1109426976984617e-13
C_after_first,0.0010999999999999998,0.00125,1.6968499516256659e-09,6.001917143418843e-10,1.1235041455518497e-09,0.0,1.1297784539053481e-13,6.658092855075162e-05,6.658092855075162e-05,-8.56473482677741e-10,-1.117855822228382e-09,9.466526778665943e-10,-3.7875753752349595e-10,-4.1435411558736746e-10,2.1232872775391963e-10,-4.777773026875007e-10,-7.034083228270003e-10,7.343072555045025e-10,0.0,0.0,0.0,6.135753325555194e-14,-9.338381401431843e-14,1.6694608172119787e-14
D_second_impact_clipped,0.0012,0.0013,6.943492238385354e-06,3.922395263645039e-10,5.530548462545156e-10,6.9427650333996805e-06,9.104358529658474e-14,1.3112074068535488e-08,0.9998952596355833,4.5875469320023883e-07,-4.3513541705731e-06,5.391414051825411e-06,-2.4752703773677214e-10,-2.707902461189142e-10,1.387618616146626e-10,-2.6241571511199917e-10,-3.4064114904430316e-10,3.478092336405703e-10,4.5926466928795927e-07,-4.3507428237645545e-06,5.390927485507695e-06,-3.3334871630788965e-14,8.458661763101165e-14,-4.77753856712327e-15
all_1p3ms,0.0,0.0013,2.4248612131214883e-06,4.360462387328912e-09,2.016916580174324e-09,2.4268664201266545e-06,7.28853819088422e-14,3.005754713547973e-08,1.0008269134734056,2.2619838497790317e-06,-2.2807934219511704e-07,8.434220651036398e-07,-2.7517174209902123e-09,-3.0103306874783844e-09,1.5425928232540986e-09,-8.832400390138976e-10,-1.254921059439976e-09,1.3088210952757707e-09,2.265618865285044e-06,-2.2381405007928246e-07,8.405706688851219e-07,-5.804600828723241e-14,-4.03689162132024e-14,-1.770001191207999e-14
first_impact_detail,0.00098,0.00108,6.402235240720368e-06,3.9524054050517155e-10,5.660916419585939e-10,6.403140147072468e-06,6.552451552664258e-14,1.0234631041028395e-08,1.0001413522676554,1.8058643446120914e-06,4.126303419248157e-06,-4.549845067546971e-06,-2.4942086049178933e-10,-2.728620550599681e-10,1.398235249119635e-10,-2.4045668257964495e-10,-3.525399403891031e-10,3.719622579356895e-10,1.8063541959970848e-06,4.126928773685272e-06,-4.550356816622573e-06,2.6158078041612644e-14,4.755833517256468e-14,-3.670724511297633e-14
