time_s,CF_vs_telemetry_plus_hydro_error_N,CF_x_N,Fmag_plus_hydro_x_N,CF_y_N,Fmag_plus_hydro_y_N,CF_z_N,Fmag_plus_hydro_z_N
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0099999498343095e-05,1.10164992198718e-10,-3.6152243865217315e-08,-3.6221764944338454e-08,-3.9549522767856615e-08,-3.962557695835995e-08,2.026642142993751e-08,2.0305394563900007e-08
0.00010009999823523685,1.9620000639801992e-10,-1.3933986053871195e-07,-1.3946367416110484e-07,-1.5243224993355398e-07,-1.5256770196123845e-07,7.811085822595487e-08,7.818026555710007e-08
0.0001500999933341518,2.5743086101326375e-10,-3.020361134531413e-07,-3.021985641872308e-07,-3.3041197866623406e-07,-3.305897027459351e-07,1.6931248580931424e-07,1.694035602771427e-07
0.00020009999570902437,2.922602714510693e-10,-5.164965841686353e-07,-5.16681027975721e-07,-5.650146590596705e-07,-5.652164166969306e-07,2.895286570492317e-07,2.8963205145963963e-07
0.0002500000118743628,3.5651006247333073e-10,-7.740190994809382e-07,-7.742441031362308e-07,-8.467187626592931e-07,-8.469648628049738e-07,4.3387998971411434e-07,4.3400611464442425e-07
0.00030009998590685427,2.242985755758408e-10,-1.067519178832299e-06,-1.0676607698598389e-06,-1.1677726661218912e-06,-1.167927477513247e-06,5.983940809528576e-07,5.984734236590886e-07
0.0003499999875202775,1.738577585183196e-10,-1.3851649782736786e-06,-1.3852746603676723e-06,-1.515231815574225e-06,-1.5153518829074322e-06,7.76437616423209e-07,7.764990997050886e-07
0.0004000999906565994,7.024344887101649e-11,-1.719071747174894e-06,-1.719116019975322e-06,-1.880470222204167e-06,-1.8805187399168881e-06,9.635899687054916e-07,9.636148703681643e-07
0.00045009999303147197,4.2426052508826374e-11,-2.055929599009687e-06,-2.0559028707064883e-06,-2.248927785331034e-06,-2.2488984249224587e-06,1.1523901548571303e-06,1.1523752037987103e-06
0.0005000000237487257,2.1612305996524286e-10,-2.3835036699892953e-06,-2.3833672357716692e-06,-2.6072202672366984e-06,-2.607071107020565e-06,1.335979732175474e-06,1.3359032723086645e-06
0.0005500999977812171,3.8476900386963693e-10,-2.6906848233920755e-06,-2.690441922017975e-06,-2.9431964776449604e-06,-2.9429309079693727e-06,1.5081316178111592e-06,1.50799553380693e-06
0.0006000999710522592,5.559896485982641e-10,-2.961990276162396e-06,-2.9616393455911338e-06,-3.239921625208808e-06,-3.2395378422962175e-06,1.6601682091277326e-06,1.6599715294401557e-06
0.0006501000025309622,8.168243745377794e-10,-3.1843092074268498e-06,-3.183793735289458e-06,-3.4830561617127387e-06,-3.4824922681340485e-06,1.7847415847427328e-06,1.784452595873875e-06
0.000699999975040555,1.1051665363053748e-09,-3.3439341677876655e-06,-3.3432367577122504e-06,-3.657608885987429e-06,-3.6568458923601596e-06,1.8741701524049859e-06,1.8737791882321707e-06
0.000750000006519258,1.4137001370635156e-09,-3.4289660106878728e-06,-3.4280738947011436e-06,-3.7505672025872627e-06,-3.7495912354238732e-06,1.92178663382947e-06,1.921286468617024e-06
0.0008000999805517495,1.4304982026268483e-09,-3.4280046747880988e-06,-3.427101949072072e-06,-3.7494655771297403e-06,-3.748478000477806e-06,1.9212041024729842e-06,1.9206980355348266e-06
0.0008501000120304525,1.6792995045718523e-09,-3.332646656417637e-06,-3.331586900966851e-06,-3.6451167488849023e-06,-3.643957409691927e-06,1.8677163780012052e-06,1.8671223259443819e-06
