time_s,gap_um,node,wall_element,triangle_index
0.0,269.3853981525386,119,450,898
5.0099999498343095e-05,269.3828600566018,119,450,898
0.0001000999982352,269.3464031093053,119,450,898
0.0001500999933341,269.1923041942247,119,450,898
0.000200099995709,268.7906065735331,119,450,898
0.0002500000118743,267.97051739126766,119,450,898
0.0003000999859068,266.51926323085263,119,450,898
0.0003499999875202,264.2154451026823,119,450,898
0.0004000999906565,260.7841969218078,119,450,898
0.0004500999930314,255.97540540183738,119,450,898
0.0005000000237487,249.52250019113194,119,450,898
0.0005500999977812,241.1103265502645,119,450,898
0.0006000999710522,230.52020250741654,119,450,898
0.0006501000025309,217.49408554095052,119,450,898
0.0006999999750405,201.8539630258926,119,450,898
0.0007500000065192,180.21392537566916,130,441,880
0.0008000999805517,152.26187319130818,130,441,880
0.0008501000120304,120.47942866709064,130,441,880
0.0009000999853014,84.86103436791426,130,441,880
0.0009500000160187,45.65807594447301,130,441,880
0.0010000000474974,3.0158652247769737,130,441,880
0.0010500999633222,35.93460687818757,130,441,880
0.0011000999948009,72.38920954895019,130,441,880
0.0011500000255182,90.4117400086351,74,400,798
0.0012001000577583,55.31427894676995,74,400,798
0.0012499999720603,16.830881051186246,74,400,798
0.0013001000043004,20.366985135505132,74,400,798
0.0013501000357791,52.28009223987521,7,401,800
0.0013999999500811,71.32774109766837,7,401,800
0.0014500999823212,87.00864015149203,7,401,800
0.0015000000130385,99.03151279601224,7,401,800
0.0015501000452786,107.37047493181458,7,401,800
0.001600099960342,111.89526003030741,7,401,800
0.0016499999910593,112.60645851105461,7,401,800
0.0017001000232994,109.51886781090326,7,401,800
0.0017501000547781,102.71213678476693,7,401,800
0.0018000999698415,92.30420177031924,7,401,800
0.0018501000013202,71.90011009258811,58,404,806
0.0019000000320374,43.82400602332556,58,404,806
0.0019500999478623,14.436468270572579,58,404,806
0.0020000000949949,12.634230567990253,58,404,806
0.0020500998944044,39.39089107354343,58,404,806
0.0021001000422984,18.441948954018414,54,443,884
0.0021500000730156,10.283506142668921,54,443,884
0.0022001001052558,34.68250073405971,55,442,883
0.0022501000203192,48.616909328062505,55,442,883
0.0023000000510364,54.55945982093022,54,442,883
0.0023499999660998,53.62403062667877,54,442,883
0.00240009999834,49.839269468074264,54,442,883
0.0024500000290572,43.30340134727273,54,442,883
0.0024999999441206,34.08470769393519,54,442,883
0.0025500999763607,22.30825330845579,54,442,883
0.0026000998914241,8.193985075463647,54,442,883
0.0026499999221414,16.43147072835182,55,453,904
0.0027000999543815,47.574808270105,55,453,904
0.0027501001022756,70.5517074684683,54,453,904
0.0027999999001622,80.91856259581623,57,400,799
0.0028500999324023,59.731014717806914,58,412,822
0.0029001000802963,33.6348620107587,58,412,822
0.0029500001110136,6.210907997432766,58,412,822
0.003000000026077,19.098624469412993,58,412,822
0.0030501000583171,44.115597301366,58,412,822
0.0031000999733805,67.26934779529417,58,412,822
0.0031500000040978,88.33363488140371,58,412,822
0.0032001000363379,104.05673653694564,56,411,820
0.0032500999514013,115.11084130770281,56,411,820
0.0032999999821186,125.28327872731734,56,411,820
0.0033501000143587,131.95359165829498,61,412,822
0.0034000999294221,133.47940403196978,61,412,822
0.0034501000773161,117.87930485514045,53,453,905
0.0035000999923795,96.95751240344848,53,453,905
0.0035500999074429,72.95174382941921,53,453,905
0.0036001000553369,46.0112088656915,53,453,905
0.0036500000860542,7.300899085726233,51,454,906
0.0037000998854637,31.274350366595094,51,454,906
0.0037501000333577,62.99638695295441,52,453,905
0.0038000000640749,81.5459090776597,62,412,822
0.0038501000963151,69.83979436998386,63,412,823
0.0039001000113785,55.30095405244562,63,412,823
0.0039500999264419,38.741212511104486,63,412,823
0.0040000001899898,17.673892376928688,65,412,823
0.0040500001050531,6.211314532689312,65,412,823
0.0041001001372933,29.146765786308116,65,412,823
0.0041499999351799,49.42901995222448,65,412,823
0.0042000999674201,67.07481650812689,65,412,823
0.0042500998824834,78.07571181921271,14,413,825
0.0043000001460313,70.7060693457397,14,413,825
0.0043501001782715,59.95673698307754,14,413,825
0.0044001000933349,45.368155439579965,14,425,848
0.0044499998912215,25.624364395993823,14,425,848
0.0045000999234616,2.6861438270997415,14,425,848
0.0045500001870095,17.21392677104032,14,425,848
0.0046000001020729,35.802038326574205,14,425,848
0.0046501001343131,51.24896385096316,14,425,849
0.0046999999321997,63.40595898287724,14,425,849
0.004749999847263,53.70957822123863,67,428,854
0.0048000998795032,40.66794148758684,67,428,854
0.0048500001430511,6.9524874717056795,34,467,932
0.0049000000581145,18.30462782790765,67,428,854
0.0049501000903546,11.994451864685354,67,428,854
0.0049999998882412,2.671695578008601,67,428,855
0.0050500999204814,6.345400541935519,67,428,855
0.0051000998355448,13.359090931816596,68,428,855
0.0051500000990927,14.54193658802936,68,428,855
0.0052001001313328,10.943528040343068,18,427,853
0.0052501000463962,0.31583231592922995,18,427,853
0.0052999998442828,9.329426224191689,18,439,876
0.005350099876523,17.99375835475007,18,439,876
0.0054000997915863,24.850285661796182,18,439,876
0.0054500000551342,29.82313946733384,18,439,876
0.0055001000873744,31.77097735244816,68,440,878
0.0055501000024378,26.22270838074387,68,440,878
0.0055999998003244,17.353263327732282,68,440,878
0.0056500998325645,5.192510982509776,68,440,878
0.0057001002132892,6.755261326791921,68,440,878
0.0057500000111758,2.8365039985495857,157,477,952
0.005800100043416,26.90652385764127,157,477,952
0.0058499998413026,34.13076225428579,68,440,879
0.0059000002220273,37.53990325020218,68,440,879
0.0059500997886061,37.251937235519776,17,440,879
0.006000000052154,33.139501031224526,17,440,879
0.0060501000843942,25.71028298449644,68,440,879
0.0061000999994575,14.326672817067445,68,440,879
0.0061499997973442,-0.6312031075940256,68,440,879
0.0062000998295843,13.506193737632925,68,440,879
0.006250100210309,23.052057556499953,16,452,902
0.0063000000081956,26.650482764320234,16,452,902
0.0063501000404357,27.1431907407633,16,452,902
0.0064000999554991,24.5716261561039,16,452,902
0.006450000219047,16.389513769086435,14,437,873
0.0065000997856259,1.292284388658665,14,437,873
0.0065501001663506,18.697386711408395,14,437,873
0.0065999999642372,32.57851734767025,14,437,873
0.0066500999964773,42.264352324294535,14,449,896
0.0067000999115407,48.1356441134097,14,449,896
0.0067500001750886,50.60092189599642,14,449,896
0.0068001002073287,42.65204130702589,4,490,979
0.0068501001223921,7.5184495651191385,33,491,980
0.0069001000374555,30.84273402979521,33,491,980
