time_s,gap_um,contact_node,wall_element,triangle_index
0.00098,20.451403411263595,130,441,880
0.0009801,20.365439782454853,130,441,880
0.0009801999999999999,20.27948056088311,130,441,880
0.0009803,20.19349234125468,130,441,880
0.0009804,20.10749701678916,130,441,880
0.0009805,20.02148424632399,130,441,880
0.0009805999999999999,19.93546434489492,130,441,880
0.0009807,19.84943860095001,130,441,880
0.0009808,19.763394134872716,130,441,880
0.0009809,19.677337433539638,130,441,880
0.0009809999999999999,19.591263339219314,130,441,880
0.0009811,19.505182095072673,130,441,880
0.0009812,19.419083472344884,130,441,880
0.0009813,19.33297773540476,130,441,880
0.0009814,19.246859767260492,130,441,880
0.0009815,19.160724366758075,130,441,880
0.0009816,19.074581891005984,130,441,880
0.0009817,18.988422021988292,130,441,880
0.0009818,18.902255088087255,130,441,880
0.0009819,18.816075874394148,130,441,880
0.000982,18.729879310395724,130,441,880
0.0009820999999999999,18.643675692937986,130,441,880
0.0009822,18.557459805400708,130,441,880
0.0009823,18.471226571518944,130,441,880
0.0009824,18.38498626027571,130,441,880
0.0009824999999999999,18.298722185519374,130,441,880
0.0009826,18.212452318217984,130,441,880
0.0009827,18.12617538241247,130,441,880
0.0009828,18.039886230643674,130,441,880
0.0009828999999999999,17.953579758593726,130,441,880
0.000983,17.86725464778225,130,441,880
0.0009831,17.78092891046875,130,441,880
0.0009832,17.694590970509783,130,441,880
0.0009832999999999999,17.608224183676775,130,441,880
0.0009834,17.521861890434362,130,441,880
0.0009835,17.435487399235203,130,441,880
0.0009836,17.34908404623571,130,441,880
0.0009837,17.26268521843345,130,441,880
0.0009838,17.176262679883237,130,441,880
0.0009839,17.089839492319538,130,441,880
0.0009839999999999998,17.003392598130358,130,441,880
0.0009841,16.91693996117167,130,441,880
0.0009842,16.83046876042074,130,441,880
0.0009843,16.74399693509369,130,441,880
0.0009843999999999999,16.65750144692833,130,441,880
0.0009845,16.57100019319986,130,441,880
0.0009846,16.48448038960015,130,441,880
0.0009847,16.39795996769979,130,441,880
0.0009847999999999999,16.311415905075037,130,441,880
0.0009849,16.22485969686658,130,441,880
0.000985,16.13830287327376,130,441,880
0.0009851,16.05171724385638,130,441,880
0.0009851999999999999,15.965124660463966,130,441,880
0.0009853,15.878519936563011,130,441,880
0.0009854,15.79191461608737,130,441,880
0.0009855,15.705285675000274,130,441,880
0.0009855999999999999,15.61864461758556,130,441,880
0.0009857,15.531991438254355,130,441,880
0.0009858,15.445337670252455,130,441,880
0.0009859,15.358660299347823,130,441,880
0.000986,15.271965685636841,130,441,880
0.0009861,15.18526410308628,130,441,880
0.0009862,15.098550416954868,130,441,880
0.0009862999999999999,15.01182466786526,130,441,880
0.0009864,14.92508682178542,130,441,880
0.0009865,14.8383369219229,130,441,880
0.0009866,14.751574899404442,130,441,880
0.0009866999999999999,14.664800824241642,130,441,880
0.0009868,14.578019800615856,130,441,880
0.0009869,14.491221602978946,130,441,880
0.000987,14.404406156649303,130,441,880
0.0009870999999999999,14.31758381040619,130,441,880
0.0009872,14.230754560683522,130,441,880
0.0009873,14.143908077244822,130,441,880
0.0009874,14.057044434856317,130,441,880
0.0009874999999999999,13.970173871094323,130,441,880
0.0009876,13.883296408543215,130,441,880
0.0009877,13.796390223167887,130,441,880
0.0009878,13.709478404762448,130,441,880
0.0009878999999999999,13.622559706767376,130,441,880
0.000988,13.535634057097957,130,441,880
0.0009881,13.448691278649662,130,441,880
0.0009882,13.361719822071287,130,441,880
0.0009883,13.274763227862703,130,441,880
0.0009884,13.187779258457116,130,441,880
0.0009885,13.10077688093063,130,441,880
