variable,source,samples,dt_median_s,dt_min_s,dt_max_s
CNORMF   General_Contact_Domain,field,168,4.9999915063381195e-05,3.3000484108924866e-05,5.010003224015236e-05
CPRESS     General_Contact_Domain,field,168,4.9999915063381195e-05,3.3000484108924866e-05,5.010003224015236e-05
CSHEARF  General_Contact_Domain,field,168,4.9999915063381195e-05,3.3000484108924866e-05,5.010003224015236e-05
