time_s,gap_um,contact_node,wall_element,triangle_index,speed_mm_s,CPRESS_MPa,CPRESS_node,Vcom_x,Vcom_y,Vcom_z,Fmag_x,Fmag_y,Fmag_z,Fhydro_x,Fhydro_y,Fhydro_z,Fwall_x,Fwall_y,Fwall_z,Jwall_cumulative_x,Jwall_cumulative_y,Jwall_cumulative_z,mDeltaV_x,mDeltaV_y,mDeltaV_z,residual_x,residual_y,residual_z,force_unit,velocity_unit,impulse_unit,gap_source
0.00098,20.451403411263595,130,441,880,0.3087913340729752,0.0,-1.0,-0.1948854925393841,-0.21316875521080084,0.10922826831057571,-2.624725551395159e-06,-2.8714038052388797e-06,1.4714021024501823e-06,1.83995076e-09,2.69330918e-09,-1.55905633e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.9488495823983164e-09,-2.1316817078571603e-09,1.0922796884952238e-09,-5.763484168652627e-17,-5.779460667440821e-17,-4.034060940167037e-19,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009801,20.365439782454853,130,441,880,0.3088328774776847,,,-0.19491171858313575,-0.21319742504493508,0.10924296830608542,-2.623931697553408e-06,-2.8705353430330706e-06,1.470957073745688e-06,1.8403826e-09,2.69364935e-09,-1.55922293e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.9491118421168177e-09,-2.1319684054124884e-09,1.0924266880473048e-09,-6.850756313192023e-17,7.225955268208152e-17,3.710382803365834e-17,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009801999999999,20.27948056088311,130,441,880,0.3088744164937143,,,-0.19493792972572624,-0.21322610978023052,0.10925765340043393,-2.6231374917178736e-06,-2.869666495752224e-06,1.470511847716032e-06,1.8408144399999989e-09,2.6939893899999993e-09,-1.5593894099999996e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.949373952824116e-09,-2.1322552519790197e-09,1.0925735385881821e-09,-9.815250574869661e-18,-3.3596976643561074e-17,-2.9870750535883166e-17,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009803,20.19349234125468,130,441,880,0.3089159375717086,,,-0.1949641408683167,-0.21325476471320357,0.10927234594536303,-2.622342933994786e-06,-2.868797263512556e-06,1.4700664244207673e-06,1.84124628e-09,2.6943293e-09,-1.55955579e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.949636063531414e-09,-2.1325418005231445e-09,1.0927204636346613e-09,-3.0604298820983636e-17,7.163092733791765e-17,2.2209381752444377e-17,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009804,20.10749701678916,130,441,880,0.3089574542610231,,,-0.194990337109746,-0.21328343454733778,0.10928702358913091,-2.621548024485741e-06,-2.867927646425208e-06,1.4696208039168463e-06,1.84167813e-09,2.69466906e-09,-1.55972205e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.949898025227509e-09,-2.132828498078472e-09,1.0928672396699366e-09,1.8101309908402796e-17,-5.912882143953e-17,-3.015286786319056e-17,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009805,20.02148424632399,130,441,880,0.3089989530123022,0.0,-1.0,-0.19501653335117528,-0.2133120745791496,0.10930170868347938,-2.620752763295624e-06,-2.8670576446049235e-06,1.469174986263068e-06,1.84210998e-09,2.69500869e-09,-1.5598882e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.950159986923603e-09,-2.1331148976113934e-09,1.0930140902108138e-09,-1.2744800666381779e-17,2.1118921521103718e-17,3.6579012711423474e-17,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009805999999999,19.93546434489492,130,441,880,0.30904043708814294,,,-0.1950427146914434,-0.21334071461096143,0.10931637887666666,-2.619957150527852e-06,-2.8661872581648393e-06,1.4687289715174069e-06,1.842541829999999e-09,2.695348189999999e-09,-1.5600542399999997e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.950421799608495e-09,-2.133401297144314e-09,1.0931607917404875e-09,2.583340758568651e-17,1.4313294720521006e-17,-1.0920804524833224e-18,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009807,19.84943860095001,130,441,880,0.30908191087722514,,,-0.1950688960317115,-0.21336933974161207,0.10933104906985391,-2.619161186289144e-06,-2.8653164872217038e-06,1.468282759739689e-06,1.84297368e-09,2.69568755e-09,-1.56022017e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.9506836122933863e-09,-2.1336875476660317e-09,1.0933074932701607e-09,-1.5210417954790173e-17,6.942705967719078e-17,5.8647503888322946e-18,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009808,19.76339413487272,130,441,880,0.30912337262635076,,,-0.19509506247081843,-0.21339796487226267,0.10934571181246057,-2.618364870681566e-06,-2.864445331887176e-06,1.4678363509871312e-06,1.84340553e-09,2.69602677e-09,-1.56038599e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.9509452759670745e-09,-2.1339737981877492e-09,1.0934541202942324e-09,1.3099781936418635e-17,3.741058187194942e-17,-1.7036406420822734e-17,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009809,19.67733743353964,130,441,880,0.3091648240887179,,,-0.1951212289099253,-0.21342657510175211,0.10936037455506721,-2.617568203810484e-06,-2.863573792276522e-06,1.4673897453188013e-06,1.84383739e-09,2.69636586e-09,-1.5605517e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.9512069396407624e-09,-2.134259899698263e-09,1.0936007473183039e-09,-3.828232724783852e-17,6.723664474486473e-17,4.729734078138357e-18,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
0.0009809999999999,19.591263339219317,130,441,880,0.3092062635111283,0.0,-1.0,-0.19514738044787103,-0.21345518533124153,0.10937502984709324,-2.616771185779792e-06,-2.8627018685034045e-06,1.4669429427929425e-06,1.844269249999999e-09,2.6967048099999993e-09,-1.5607172899999997e-09,0.0,0.0,0.0,0.0,0.0,0.0,-1.9514684543032467e-09,-2.134546001208777e-09,1.0937472998367737e-09,-2.038066444947885e-17,9.855636024215706e-18,-3.3227518508283358e-18,N,mm/s,N s,"all 217 exterior nodes vs true wall triangles, increment orientation"
