time_s,deltaV_norm_mm_s,missing_impulse_norm_Ns,Vcom_x_mm_s,deltaV_x_mm_s,Vcom_y_mm_s,deltaV_y_mm_s,Vcom_z_mm_s,deltaV_z_mm_s
0.0010035999584943056,4.412970749814594,4.412992673558297e-08,1.065099239123181,1.2659217864277668,2.633497476540735,2.853159710764161,-3.0069370269344593,-3.1194923520083977
0.001003699959255755,14.702098998521564,1.4702092981636234e-07,5.295021056903735,4.229921817780554,12.134099960287692,9.500602483746956,-13.399147033646889,-10.39221000671243
0.0010037999600172043,25.561233882966306,2.55611992069798e-07,12.658255576864029,7.363234519960294,28.647727966264895,16.513628005977203,-31.46733856196469,-18.068191528317804
0.0010038999607786536,34.97802640753682,3.4977968245964826e-07,22.733535766380665,10.075280189516636,51.24327468867119,22.595546722406297,-56.19368743891437,-24.726348876949675
0.001003999961540103,43.15033807049419,4.3150261008760873e-07,35.16173553445014,12.428199768069472,79.11483764642769,27.871562957756495,-86.70053100580463,-30.506843566890268
0.0010040999623015523,49.81056253821312,4.981047173956109e-07,49.506427764678286,14.344692230228148,111.28305053704437,32.16821289061669,-121.92166137689345,-35.22113037108882
0.0010041999630630016,54.744076359183886,5.474397741530765e-07,65.26911163309039,15.762683868412104,146.6293334960196,35.34628295897522,-160.6397705077474,-38.71810913085393
0.001004299963824451,57.7960322721291,5.779593101105376e-07,81.90618896463747,16.637077331547076,183.93406677237707,37.30473327635747,-201.52920532219474,-40.889434814447355
0.0010043999645859003,58.876228171697214,5.887613045821758e-07,98.84679412821586,16.940605163578397,221.9167785643593,37.98271179198224,-243.2034149169154,-41.67420959472065
0.0010044999653473496,57.9618519049491,5.796176344317388e-07,115.51725769023167,16.67046356201581,259.27929687489626,37.362518310536956,-284.26086425772985,-41.05744934081446
0.001004599966108799,55.09746732490025,5.509739346309302e-07,131.3537750242199,15.83651733398824,294.7481689451992,35.46887207030295,-323.3363647460054,-39.075500488275566
0.0010046999668702483,50.392887810287846,5.039283335090937e-07,145.80722045879375,14.453445434573837,327.1097412108153,32.361572265616076,-359.15911865225,-35.8227539062446
0.0010047999676316977,44.01909260586958,4.401906158976536e-07,158.29928588848423,12.492065429690484,355.240112304557,28.1303710937417,-390.62832641591694,-31.46920776366693
0.001004899968393147,36.20193006073538,3.6201925463244753e-07,168.06195068340844,9.762664794924206,378.2756347654872,23.035522460930224,-416.7938537596626,-26.16552734374568
0.0010049999691545963,27.232095264124915,2.7232119139902057e-07,174.71122741680864,6.6492767334002,395.7511901854039,17.475555419916702,-436.59231567372194,-19.798461914059317
0.0010050999699160457,17.424855174899893,1.742490917437741e-07,178.670501708802,3.959274291993353,407.1459045408698,11.394714355465908,-449.16650390614217,-12.574188232420227
0.001005199970677495,7.107369004712669,7.107453768005915e-08,180.24960327130248,1.5791015625004832,411.85037231430636,4.704467773436534,-454.2546386717666,-5.088134765624432
0.0010052999714389443,0.9327699251577376,9.32872184889796e-09,180.43438720684938,0.18478393554690342,412.47348022446243,0.6231079101560795,-454.92370605457904,-0.6690673828124432
