window,start_s,end_s,samples,wall_impulse_source,mDeltaV_norm_Ns,Jmag_norm_Ns,Jhydro_norm_Ns,missing_norm_Ns,relative_residual,mDeltaV_x_Ns,mDeltaV_y_Ns,mDeltaV_z_Ns,Jmag_x_Ns,Jmag_y_Ns,Jmag_z_Ns,Jhydro_x_Ns,Jhydro_y_Ns,Jhydro_z_Ns,Jmissing_x_Ns,Jmissing_y_Ns,Jmissing_z_Ns
A_clean,0.0,0.0009500000160187483,9501,NOT_AVAILABLE_AT_INCREMENT_RATE; residual is NOT measured wall impulse,2.957829159250869e-09,2.9565513010285793e-09,1.0280597551271993e-12,2.2777776248659635e-12,0.000770084241593878,-1.866751114674519e-09,-2.0418884507566186e-09,1.046272032428889e-09,-1.8657639943720004e-09,-2.0411131481041016e-09,1.0459337596403449e-09,4.5026211435969533e-13,7.972471486115704e-13,-4.675124303323434e-13,-1.4373824168782628e-12,-1.572549801128562e-12,8.057852188764415e-13
B_suspected,0.0009500000160187483,0.0010999999940395355,1501,NOT_AVAILABLE_AT_INCREMENT_RATE; residual is NOT measured wall impulse,6.401902877473446e-06,6.060272478922498e-10,7.159837826581332e-10,6.403140318670326e-06,1.000193292716332,1.8056679581275402e-06,4.126064395443122e-06,-4.549672107113973e-06,-3.8244011471485055e-10,-4.183827905681459e-10,2.1439315381130384e-10,-3.037930541153018e-10,-4.461039754905077e-10,4.704612633919087e-10,1.8063541912963704e-06,4.1269288822091805e-06,-4.550356961531177e-06
C,0.0010999999940395355,0.0012499999720603228,1501,NOT_AVAILABLE_AT_INCREMENT_RATE; residual is NOT measured wall impulse,1.6968499516256659e-09,5.993667938041712e-10,1.1235039815439875e-09,8.635687405020596e-13,0.0005089246339517045,-8.56473482677741e-10,-1.117855822228382e-09,9.466526778665943e-10,-3.782369624071657e-10,-4.137846155231907e-10,2.1203689712033e-10,-4.777772315203431e-10,-7.034082198386616e-10,7.343071495289652e-10,-4.592887502322074e-13,-6.629868665297808e-13,3.0863121729901713e-13
D,0.0012000000569969416,0.0013500000350177288,1501,NOT_AVAILABLE_AT_INCREMENT_RATE; residual is NOT measured wall impulse,6.943634939448131e-06,6.183693016243774e-10,5.79708619326774e-10,6.942762228542697e-06,0.9998743149786755,4.5856075452290825e-07,-4.351510343851143e-06,5.391488285630669e-06,-3.9022870254080747e-10,-4.269033693040836e-10,2.187593796424726e-10,-3.1628281605513897e-10,-3.435775081302745e-10,3.434847296416202e-10,4.5926726604150424e-07,-4.350739862973709e-06,5.3909260415213855e-06
E,0.0,0.006149999797344208,61501,NOT_AVAILABLE_AT_INCREMENT_RATE; residual is NOT measured wall impulse,5.535150983808858e-06,2.432929664570384e-08,1.3142794757637458e-08,5.567243297757373e-06,1.0057979112118876,4.996113011565237e-06,2.3825839524899307e-06,-6.700639234875646e-09,-1.5353268409094482e-08,-1.6796206867912346e-08,8.606930886399149e-09,-1.2235022939141898e-08,1.6800307206744125e-10,4.796774196043639e-09,5.023701302913473e-06,2.3992121562857757e-06,-2.0104344317318434e-08
