window,start_s,end_s,Delta_Ktrans_J,Delta_Krot_J,Delta_Ktotal_J,Wmag_trans_J,Wmag_rot_J,Whydro_trans_J,Whydro_rot_J,Wcontact_net_J,Ktrans_start_J,Ktrans_end_J,Krot_start_J,Krot_end_J,Wapplied_J,energy_identity_error_J
audit_0p98_to_1p08ms,0.00098,0.00108,2.047707915203042e-06,-2.052770822373584e-06,-5.062907170542438e-09,-1.6658883492690207e-10,1.906671468843678e-07,-3.5725346773436846e-10,-8.949542334592704e-11,-1.9511671632890344e-07,4.767591329027811e-13,2.047708391962175e-06,2.324536192307653e-06,2.717653699340685e-07,1.900538091583606e-07,3.970466940254533e-22
first_impact_shoulders,0.0010035,0.0010053,2.0482264698299478e-06,-2.2362211830773114e-06,-1.879947132473636e-07,-2.0201431502829028e-12,7.129139803377119e-09,-3.1833795617471698e-12,-1.836758881275917e-12,-1.9511681276914747e-07,5.062480813247434e-13,2.0482269760780293e-06,2.546340160726254e-06,3.10118977648943e-07,7.1220995217838125e-09,5.293955920339377e-23
field_endpoints_1p0000_to_1p0501ms,0.001,0.0010501,2.0479164179233045e-06,-2.2379684464030476e-06,-1.9005202847974309e-07,-9.98790043525493e-11,5.410866824342852e-09,-2.1544582186332427e-10,-3.100252240659209e-11,-1.9511656795546386e-07,5.019482320741394e-13,2.0479169198715367e-06,2.512775184070399e-06,2.748067376673516e-07,5.064539475720386e-09,3.970466940254533e-22
