time_s,gap_um,node,wall_element,triangle_index,source
0.0009500000160187483,45.65843248906636,130,441,880,existing increment orientation and U; not new contact output
0.000950500019825995,45.248036558095734,130,441,880,existing increment orientation and U; not new contact output
0.0009510000236332417,44.83730542651783,130,441,880,existing increment orientation and U; not new contact output
0.0009515000274404883,44.42623294572265,130,441,880,existing increment orientation and U; not new contact output
0.0009519999730400741,44.014831223819954,130,441,880,existing increment orientation and U; not new contact output
0.0009524999768473208,43.60308364844833,130,441,880,existing increment orientation and U; not new contact output
0.0009529999806545675,43.19100756216903,130,441,880,existing increment orientation and U; not new contact output
0.0009534999844618142,42.77859163031523,130,441,880,existing increment orientation and U; not new contact output
0.0009539999882690609,42.36584788804897,130,441,880,existing increment orientation and U; not new contact output
0.0009544999920763075,41.95276499843296,130,441,880,existing increment orientation and U; not new contact output
0.0009549999958835542,41.53934987160628,130,441,880,existing increment orientation and U; not new contact output
0.0009554999996908009,41.12559634005959,130,441,880,existing increment orientation and U; not new contact output
0.0009560000034980476,40.71150478534938,130,441,880,existing increment orientation and U; not new contact output
0.0009565000073052943,40.297087325836685,130,441,880,existing increment orientation and U; not new contact output
0.000957000011112541,39.88234426942429,130,441,880,existing increment orientation and U; not new contact output
0.0009575000149197876,39.467259115970634,130,441,880,existing increment orientation and U; not new contact output
0.0009580000187270343,39.051849104454185,130,441,880,existing increment orientation and U; not new contact output
0.000958500022534281,38.63610299798118,130,441,880,existing increment orientation and U; not new contact output
0.0009590000263415277,38.220021115153386,130,441,880,existing increment orientation and U; not new contact output
0.0009594999719411135,37.803615524577886,130,441,880,existing increment orientation and U; not new contact output
0.0009599999757483602,37.386874943920624,130,441,880,existing increment orientation and U; not new contact output
0.0009604999795556068,36.96980615992831,130,441,880,existing increment orientation and U; not new contact output
0.0009609999833628535,36.55242005241138,130,441,880,existing increment orientation and U; not new contact output
0.0009614999871701002,36.134694836554196,130,441,880,existing increment orientation and U; not new contact output
0.0009619999909773469,35.716636174647945,130,441,880,existing increment orientation and U; not new contact output
0.0009624999947845936,35.29825604013812,130,441,880,existing increment orientation and U; not new contact output
0.0009629999985918403,34.879543189299966,130,441,880,existing increment orientation and U; not new contact output
0.000963500002399087,34.46050965809516,130,441,880,existing increment orientation and U; not new contact output
0.0009640000062063336,34.04113897499727,130,441,880,existing increment orientation and U; not new contact output
0.0009645000100135803,33.62145357453246,130,441,880,existing increment orientation and U; not new contact output
0.000965000013820827,33.201431831977814,130,441,880,existing increment orientation and U; not new contact output
