time_s,command_phase_rad,drive_scale,Bx_T,By_T,Bz_T,B_t_T,B_e1_T,B_e2_T,theta_B_t_deg,psi_B_rad,Tx_Nmm,Ty_Nmm,Tz_Nmm,psi_B_unwrapped_rad,Traw_t_Nmm,Traw_e1_Nmm,Traw_e2_Nmm
0.0,4.328416544945937,0.0,-0.001988348568700212,-0.005317432458572115,0.008232337579197755,-0.001439026351781913,0.008214308389656075,0.005518545174092816,98.27373839089145,0.5915625293085932,0.0,0.0,0.0,0.5915625293085932,-0.0010130135040772564,-0.006148661656451879,0.008888076178652332
2.7777777777777776e-05,4.33365253270192,0.0022719478737997256,-0.001973666654877084,-0.005300990800046756,0.008246462057952245,-0.0014215532035893406,0.008227170408366485,0.00550389439951965,98.17258459986488,0.5896093129098633,8.71079997301502e-07,-2.082469766494583e-05,-1.317805240932789e-05,0.5896093129098633,-0.0010175773695372716,-0.0061294817264930645,0.00889947131135655
5.555555555555555e-05,4.338888520457903,0.008916323731138546,-0.0019590667972374165,-0.00528444543685694,0.008260550448296034,-0.0014041572482560516,0.008240010071530017,0.005489132576578371,98.07190315740895,0.5876490176783024,3.3653634520497784e-06,-8.182528422218109e-05,-5.154720386892798e-05,0.5876490176783024,-0.001022150754714784,-0.006110200276187936,0.008910852624058961
8.333333333333333e-05,4.344124508213886,0.019675925925925927,-0.001944549396043682,-0.005267796822602162,0.008274602363988783,-0.0013868389627009505,0.008252827027140816,0.005474260109971815,97.97169615670609,0.5856816700460256,7.3085810820515745e-06,-0.00018078267109322807,-0.00011337275704269368,0.5856816700460256,-0.001026733534228128,-0.006090817834147194,0.008922219804735128
0.0001111111111111111,4.349360495969869,0.034293552812071325,-0.001930114849297769,-0.005251045413712589,0.008288617419790121,-0.0013695988217135848,0.008265620923815572,0.005459277407436168,97.87196568687982,0.5837072965838787,1.2532069238928848e-05,-0.00031546602234812094,-0.00019693731707357565,0.5837072965838787,-0.0010313255824380878,-0.006071334931750279,0.008933572541748043
0.0001388888888888889,4.354596483725852,0.052512002743484235,-0.0019157635527300653,-0.005234191669436555,0.008302595231470221,-0.0013524372979411246,0.008278391410803146,0.005444184879729785,97.77271383291382,0.5817259240041557,1.8872833739056924e-05,-0.00048363278670293344,-0.0003005410653713151,0.5817259240041557,-0.0010359267734513437,-0.006051752103130799,0.0089449105238567
0.00016666666666666666,4.359832471481835,0.07407407407407407,-0.0019014958997886182,-0.005217236051827978,0.00831653541582031,-0.0013353548618754178,0.008291138137994184,0.0054289829406219394,97.67394267556996,0.5797375791632893,2.6173612882962163e-05,-0.0006830287310943834,-0.0004225020308380115,0.5797375791632893,-0.0010405369811239183,-0.006032069885161895,0.008956233440224582
0.00019444444444444443,4.365068459237818,0.09872256515775031,-0.001887312281628339,-0.005200179025733675,0.008330437590663195,-0.0013183519818400751,0.008303860755930722,0.005413672006881468,97.57565429130501,0.5777422890645094,3.428293965736976e-05,-0.0009113879758278667,-0.0005611563585062652,0.5777422890645094,-0.0010451560790646407,-0.006012288817441514,0.008967540980428217
0.0002222222222222222,4.370304446993801,0.1262002743484225,-0.0018732130871002858,-0.005183021058780636,0.008344301374863727,-0.0013014291239776437,0.008316558915815762,0.005398252498265357,97.47785075218646,0.5757400808604761,4.305520311415772e-05,-0.0011664330312951463,-0.0007148585755648468,0.5757400808604761,-0.0010497839406386064,-0.0059924094422776205,0.008978832834465683
0.00025,4.375540434749784,0.15625,-0.0018591987027409993,-0.005165762621363194,0.008358126388339259,-0.001284586752236822,0.008329232269522834,0.005382724837507226,97.38053412580702,0.5737309818558799,5.2350708920535826e-05,-0.0014458748362578106,-0.0008819818547470353,0.5737309818558799,-0.0010544204389706519,-0.00597243230467333,0.008990108692765092
