time_s,cycle_fraction,rp_x_mm,rp_y_mm,rp_z_mm,Bx_T,By_T,Bz_T,B_t_T,B_e1_T,B_e2_T,theta_B_t_deg,psi_B_rad,command_phase_rad,psi_B_unwrapped_rad,local_field_phase_rate_Hz
0.0,0.0,-7.468174204284,-3.676918015967,-9.550745259298,-0.0019882955673857,-0.0053173734554316,0.0082323884913301,-0.0014389633108877085,0.00821435473236613,0.005518492631214774,98.27337339440352,0.5915555104921016,4.328416544945937,0.5915555104921016,-11.066391885925038
9.999949725170154e-06,0.0002999984917551,-7.468174204282273,-3.6769180159625674,-9.550745259306227,-0.0019830536787455,-0.0053115254664594,0.0082374264989962,-0.0014327271875817398,0.008218941246272739,0.0055132837398666895,98.23726892674988,0.5908601920788094,4.330301491061509,0.5908601920788094,-11.129564049958036
1.9999899450340308e-05,0.0005999969835102,-7.468174204256483,-3.676918015896418,-9.550745259429178,-0.0019777693898342,-0.0053056049969009,0.0082425107738779,-0.0014264379877941546,0.008223571234872317,0.0055080078805278205,98.20086050451809,0.59015693525717,4.33218643717708,0.59015693525717,-11.200044365516563
2.9999850085005164e-05,0.0008999955025501,-7.468174204145254,-3.676918015611467,-9.55074525995962,-0.0019724957202622,-0.0052996710703915,0.00824759038624,-0.0014201587741940165,0.00822819833942496,0.005502717614339287,98.16451321872914,0.5894527600066555,4.334071383464088,0.5894527600066555,-11.214650886788771
3.9999798900680616e-05,0.0011999939670204,-7.468174203847259,-3.676918014848989,-9.550745261381213,-0.0019672326902044,-0.0052937237096358,0.0082526653166495,-0.001413889570803384,0.008232822542228645,0.0054974129615432705,98.12822717706177,0.5887476677489004,4.335956329408224,0.5887476677489004,-11.22923782109953
4.999975135433488e-05,0.00149999254063,-7.468174203222047,-3.676918013251256,-9.550745264364812,-0.0019619803154915,-0.0052877629325155,0.0082577355498427,-0.0014076303964787045,0.008237443829375675,0.00549209393808835,98.09200245743637,0.5880416593305352,4.337841276038103,0.5880416593305352,-11.243805140030245
5.999970017001033e-05,0.0017999910051003,-7.468174202090855,-3.67691801036416,-9.550745269764771,-0.0019567386186067,-0.0052817887645465,0.0082628010641162,-0.0014013812780128742,0.008242062181084385,0.005486760566743351,98.05583918384426,0.5873347364991975,4.339726221982239,0.5873347364991975,-11.258352796118361
6.999965262366459e-05,0.0020999895787099,-7.468174200237429,-3.676918005639824,-9.550745278615238,-0.0019515076143602,-0.0052758012226084,0.0082678618451577,-0.0013951422330624956,0.008246677584305922,0.005481412862577337,98.0197374275423,0.586626899976812,4.3416111686121175,0.586626899976812,-11.272880762836309
7.999959780136123e-05,0.0023999879340408,-7.468174197408796,-3.6769179984391913,-9.55074529212642,-0.0019462873270411,-0.0052698003345171,0.0082729178694654,-0.0013889132905987658,0.008251290017606026,0.005476050850435058,97.98369732539776,0.5859181517750188,4.34349611387051,0.5859181517750188,-11.28738898701199
8.999955025501549e-05,0.0026999865076504,-7.468174193316047,-3.6769179880346288,-9.550745311680863,-0.0019410777676005,-0.0052637861128614,0.0082779691264326,-0.001382694463688773,0.00825589947130856,0.005470674541565075,97.94771892239517,0.585208492103419,4.345381060500389,0.585208492103419,-11.301877452211004
