time_s,command_phase_rad,Bx_T,By_T,Bz_T,B_t_T,B_e1_T,B_e2_T,theta_B_t_deg,psi_B_rad,psi_B_unwrapped_rad
0.0,4.328416544945937,0.008451469661460945,0.00523800016457098,-0.0010658399679875086,0.008660254037844385,-0.0018730329670795616,-0.0046359192728339365,30.000000000000018,-1.9547687622336494,-1.9547687622336494
2.7777777777777776e-05,4.33365253270192,0.008447859288000832,0.005248577361003172,-0.0010421655989827478,0.008660254037844387,-0.00184873378636915,-0.004645662857670279,30.000000000000004,-1.949532774477667,-1.949532774477667
5.555555555555555e-05,4.338888520457903,0.008444252393869032,0.005259029493243115,-0.0010184352202453307,0.008660254037844385,-0.0018243839216880984,-0.004655279079312641,30.000000000000004,-1.9442967867216832,-1.9442967867216832
8.333333333333333e-05,4.344124508213886,0.008440649077950379,0.00526935627474032,-0.0009946494823555858,0.008660254037844385,-0.0017999840406002577,-0.004664767674127443,30.000000000000018,-1.9390607989657005,-1.9390607989657005
0.0001111111111111111,4.349360495969869,0.008437049439031593,0.0052795574223808575,-0.0009708090374115292,0.008660254037844387,-0.0017755348120406887,-0.004674128381980071,30.000000000000004,-1.9338248112097178,-1.9338248112097178
0.0001388888888888889,4.354596483725852,0.008433453575798592,0.0052896326564951125,-0.0009469145390109971,0.008660254037844385,-0.001751036906297338,-0.004683360946241988,30.000000000000004,-1.9285888234537343,-1.9285888234537343
0.00016666666666666666,4.359832471481835,0.008429861586833787,0.005299581700865449,-0.0009229666422337418,0.008660254037844385,-0.0017264909949926753,-0.004692465113797779,30.000000000000004,-1.9233528356977516,-1.9233528356977516
0.00019444444444444443,4.365068459237818,0.008426273570613367,0.005309404282733794,-0.0008989660036234429,0.008660254037844385,-0.0017018977510652503,-0.0047014406350520946,30.000000000000018,-1.918116847941768,-1.918116847941768
0.0002222222222222222,4.370304446993801,0.008422689625504612,0.005319100132809101,-0.0008749132811697394,0.008660254037844387,-0.0016772578487512764,-0.004710287263936483,30.000000000000004,-1.9128808601857854,-1.9128808601857854
0.00025,4.375540434749784,0.008419109849763184,0.00532866898527474,-0.0008508091342901633,0.008660254037844385,-0.0016525719635661178,-0.004719004757916145,30.000000000000004,-1.9076448724298027,-1.9076448724298027
0.0002777777777777778,4.380776422505767,0.008415534341530447,0.005338110577795795,-0.0008266542238120736,0.008660254037844385,-0.0016278407722857833,-0.0047275928779965835,30.00000000000003,-1.9024088846738192,-1.9024088846738192
0.00030555555555555555,4.38601241026175,0.008411963198830764,0.00534742465152623,-0.0008024492119545512,0.008660254037844387,-0.0016030649529283827,-0.004736051388730143,30.000000000000004,-1.8971728969178365,-1.8971728969178365
0.0003333333333333333,4.391248398017733,0.008408396519568815,0.00535661095111601,-0.0007781947623102189,0.008660254037844387,-0.0015782451847355151,-0.004744380058222481,30.000000000000018,-1.8919369091618539,-1.8919369091618539
0.0003611111111111111,4.396484385773716,0.008404834401526914,0.005365669224718096,-0.0007538915398270619,0.008660254037844387,-0.0015533821481536591,-0.004752578658138917,30.000000000000004,-1.8867009214058703,-1.8867009214058703
0.00038888888888888887,4.401720373529699,0.008401276942362326,0.005374599223995337,-0.0007295402107902094,0.008660254037844385,-0.0015284765248155304,-0.004760646963710693,29.999999999999993,-1.8814649336498876,-1.8814649336498876
