time_s,UR1_rad,UR2_rad,UR3_rad,UR_norm_deg,rigid_node_count,kabsch_rms_mm,R_server_vs_R_nodes_error_deg
0.0,0.0,0.0,0.0,0.0,1588,0.0,0.0
0.00010009949619416147,4.452365374163492e-06,-5.032283297623508e-05,-3.090793325100094e-05,0.003393299388899825,1588,1.766740419348845e-11,0.0
0.00020009900617878884,6.70903391437605e-05,-0.0007720150169916451,-0.0004695126262959093,0.051913593662031264,1588,2.702842963918483e-10,0.0
0.000300098501611501,0.00031953671714290977,-0.003745098365470767,-0.0022549936547875404,0.2511416033402994,1588,1.3118556386099603e-09,0.0
0.00040009801159612834,0.0009476953418925405,-0.011321395635604858,-0.0067474618554115295,0.7570859883756352,1588,3.959112463899564e-09,1.7075472925031877e-06
0.0005000975215807557,0.0021637964528054,-0.02637740783393383,-0.015555084683001041,1.7589060743227551,1588,9.224745986159882e-09,0.0
0.0006000970024615526,0.004177742172032595,-0.05205753445625305,-0.030360234901309013,3.461150870499072,1588,1.816656216772542e-08,0.0
0.0007000964833423495,0.007166312076151371,-0.09150036424398422,-0.05274132266640663,6.065055234738758,1588,3.1857712148569494e-08,0.0
0.0008000960224308074,0.011239093728363514,-0.14753693342208862,-0.0839879959821701,9.74827493502036,1588,5.132344752720133e-08,1.7075472925031877e-06
0.0009000955033116043,0.016401514410972595,-0.2223510891199112,-0.12491175532341003,14.642627062142099,1588,7.717822858139395e-08,1.7075472925031877e-06
0.001000095042400062,0.03856362774968147,-0.2570328712463379,-0.11358440667390823,16.251659531787045,1588,8.777912068343217e-08,0.0
0.001100094523280859,0.06483706086874008,-0.2998369634151459,-0.09900421649217606,18.46914890650178,1588,1.0212153289470193e-07,0.0
0.001200094004161656,0.09174458682537079,-0.36290693283081055,-0.09233395010232925,22.090036104130675,1588,1.2314206247127406e-07,0.0
0.0013000934850424528,0.12008547782897949,-0.4369945228099823,-0.09133681654930115,26.48820193851715,1588,1.4795669792007894e-07,1.2074182697257333e-06
