length_mm,B0_mT,gradient_mT,cone_deg,frequency_Hz,mu,zeta,cparallel_scale,kwobble_scale,case_id,family,duration_s,job_name,mesh_size_mm,node_count,element_count,exterior_triangles,mesh_volume_mm3,mesh_mass_mg,cad_volume_mm3,magnetic_moment_Am2,field_interval_s,direct_dt_s,status,wallclock_s,max_directed_tilt_deg,final_directed_tilt_deg,crossing_90deg,polarity_reversal,robot_phase_advance_deg,phase_rate_sign,delta_s_mm,mean_abs_Vt_mm_s,contact_count,longest_contact_us,head_support_fraction,tail_support_fraction,both_end_support_fraction,wall_sector_span_deg,wall_sector_transitions,tilt_local_extrema_count,KErot_RMS_J,KEtrans_RMS_J,KErot_KEtrans_ratio,rotation_translation_index,impact_fraction,sliding_fraction,stuck_fraction
2.0,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_200,geometry,0.006666666666666667,SCR_GEO200_Wobble,0.1,1341,6118,1204,0.97248677964004,7.594213974601073,0.9837636938740786,0.0008972923141398394,0.0001,1e-07,VALID,347.5721571,56.544179625217595,55.28422555594708,False,False,-60.9546750580175,-1,1.5516079165970371,235.98948991042747,102,369.1028105095029,0.7611940298507462,0.8029850746268656,0.7522388059701492,568.9137424538542,13,9,4.050106516748264e-07,6.335172216036941e-07,0.6393048805359655,39.2848440678895,0.05116397672046559,0.22964540709185816,0.0
2.1,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_210,geometry,0.006666666666666667,SCR_GEO210_Wobble,0.1,1426,6564,1256,1.0241485498891647,7.997644176216514,1.0359318033823455,0.0009448749236592399,0.0001,1e-07,VALID,338.4684469,48.734939132640086,47.56265470998681,False,False,-54.36556096535244,-1,1.6668531673649767,252.16492541795654,90,466.4035513997078,0.7104477611940299,0.8149253731343283,0.7014925373134329,358.2287205494549,20,10,3.951974515391135e-07,6.737413256433394e-07,0.5865714874499481,32.61568687018517,0.03409431811363773,0.252534949301014,0.0
2.2,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_220,geometry,0.006666666666666667,SCR_GEO220_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,VALID,347.3442789,44.7269735620949,44.27800865466845,False,False,-49.16541996582924,-1,1.9030845505523182,286.05604563558165,105,393.5029963031411,0.6776119402985075,0.7970149253731343,0.6686567164179105,328.35272942332267,15,8,3.585446581619369e-07,8.004458794222208e-07,0.44793116858911464,25.834595710190765,0.07169856602867943,0.25311993760124796,0.0
2.3,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_230,geometry,0.006666666666666667,SCR_GEO230_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,372.8762482,41.24243916647808,39.63752088986502,False,False,-54.82022707976321,-1,1.9197754347758185,288.12848131153686,87,554.2042199522257,0.7074626865671642,0.7850746268656716,0.6985074626865672,538.2239694758179,15,8,3.5394155652910007e-07,8.305831623380658e-07,0.42613620475132863,28.55554149028104,0.01736965260694786,0.4122067558648827,0.0
2.4,10.0,6.0,30.0,30.0,0.03,0.5,1.0,1.0,GEO_240,geometry,0.006666666666666667,SCR_GEO240_Wobble,0.1,1588,7302,1406,1.1791157705235311,9.207793514166587,1.1924361319071464,0.0010876227522174417,0.0001,1e-07,VALID,339.9809706,38.6114746632443,36.9547540926344,False,False,-61.10228419661291,-1,2.006840638128084,301.7752413543472,81,773.5058898106217,0.7223880597014926,0.7910447761194029,0.7134328358208956,597.1654054616657,28,7,3.704898395262072e-07,8.03582990504816e-07,0.4610473888869438,30.447003631343215,0.027944441111177776,0.39942701145977083,0.0
2.3,10.0,0.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_0,gradient,0.006666666666666667,SCR_GRAD0_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,321.4443,41.199654817058125,38.900566428442936,False,False,-51.78937164118569,-1,1.9541538038567055,293.087154155843,92,302.1023003384471,0.7134328358208956,0.7850746268656716,0.7044776119402985,482.03775718260914,14,8,3.537267254727571e-07,8.643302409756275e-07,0.4092495075417956,26.502198311603987,0.06437871242575148,0.4121167576648467,0.0
2.3,10.0,2.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_2,gradient,0.006666666666666667,SCR_GRAD2_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,341.1536048,41.33496173264729,39.937656268267645,False,False,-49.45663266075358,-1,1.8827169455876227,282.4367952846279,100,270.2020574361086,0.6417910447761194,0.7850746268656716,0.6328358208955224,747.7972085094311,13,10,3.432502709243172e-07,8.547364472949921e-07,0.4015860935971676,26.268756318713358,0.03557928841423171,0.3370882582348353,0.0
2.3,10.0,4.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_4,gradient,0.006666666666666667,SCR_GRAD4_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,329.249567,41.16075186181217,39.26821588524856,False,False,-51.80580181359917,-1,1.9447597111728356,291.67990254022004,95,362.50276025384665,0.7104477611940299,0.7850746268656716,0.7014925373134329,538.2239694758179,14,8,3.525798874069343e-07,8.583527228941466e-07,0.4107634053028046,26.63866467202593,0.02240955180896382,0.40407691846163074,0.0
2.3,10.0,8.0,30.0,30.0,0.03,0.5,1.0,1.0,GRAD_8,gradient,0.006666666666666667,SCR_GRAD8_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,335.8033969,41.496854274102894,40.71628993532858,False,False,-53.86010766089006,-1,1.8750255323958154,281.6559929777806,94,362.902763299644,0.6746268656716418,0.7880597014925373,0.6656716417910448,747.7972085094311,21,6,3.434735760826052e-07,8.05644343071812e-07,0.4263340008979487,28.724999596176307,0.04076918461630767,0.3664426711465771,0.0
2.3,10.0,6.0,20.0,30.0,0.03,0.5,1.0,1.0,CONE_20,cone,0.006666666666666667,SCR_CONE20_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,VALID,320.3174233,41.16104597855986,40.99558074117765,False,False,-51.168016681442715,-1,1.9651849672015071,294.45234772708693,100,857.1065263822675,0.6537313432835821,0.755223880597015,0.6447761194029851,358.41910730858183,21,10,3.9825545395918333e-07,7.660526871812602e-07,0.5198799777396378,26.037252236011035,0.03118437631247375,0.37968740625187497,0.0
