length_mm,B0_mT,gradient_mT,cone_deg,frequency_Hz,mu,zeta,cparallel_scale,kwobble_scale,case_id,family,duration_s,job_name,mesh_size_mm,node_count,element_count,exterior_triangles,mesh_volume_mm3,mesh_mass_mg,cad_volume_mm3,magnetic_moment_Am2,field_interval_s,direct_dt_s,status
2.3,10.0,6.0,30.0,30.0,0.03,0.5,0.25,1.0,CPAR_X025,hydro_translation,0.006666666666666667,SCR_CPARX025_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,6.0,30.0,30.0,0.03,0.5,4.0,1.0,CPAR_X4,hydro_translation,0.006666666666666667,SCR_CPARX4_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,6.0,30.0,30.0,0.03,0.5,1.0,0.25,KWOB_X025,hydro_rotation,0.006666666666666667,SCR_KWOBX025_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.3,10.0,6.0,30.0,30.0,0.03,0.5,1.0,4.0,KWOB_X4,hydro_rotation,0.006666666666666667,SCR_KWOBX4_Wobble,0.1,1478,6711,1350,1.1274538771030305,8.804362350697673,1.1402680223988795,0.0010400401426980412,0.0001,1e-07,PREPARED
2.1,10.0,0.0,40.0,30.0,0.03,0.3,1.0,1.0,COMBO_A,combo,0.006666666666666667,SCR_COMBOA_Wobble,0.1,1426,6564,1256,1.0241485498891647,7.997644176216514,1.0359318033823455,0.0009448749236592399,0.0001,1e-07,PREPARED
2.1,10.0,2.0,40.0,30.0,0.08,0.3,1.0,1.0,COMBO_B,combo,0.006666666666666667,SCR_COMBOB_Wobble,0.1,1426,6564,1256,1.0241485498891647,7.997644176216514,1.0359318033823455,0.0009448749236592399,0.0001,1e-07,PREPARED
2.2,10.0,0.0,40.0,30.0,0.03,0.3,1.0,1.0,COMBO_C,combo,0.006666666666666667,SCR_COMBOC_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,PREPARED
2.2,10.0,2.0,40.0,30.0,0.08,0.3,1.0,1.0,COMBO_D,combo,0.006666666666666667,SCR_COMBOD_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,PREPARED
2.2,10.0,2.0,50.0,20.0,0.03,0.3,1.0,1.0,COMBO_E,combo,0.01,SCR_COMBOE_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,PREPARED
2.2,14.0,2.0,40.0,30.0,0.03,0.3,1.0,1.0,COMBO_F,combo,0.006666666666666667,SCR_COMBOF_Wobble,0.1,1443,6557,1308,1.0758104433096656,8.401075339685427,1.0880999128906126,0.0009924575331786405,0.0001,1e-07,PREPARED
