cycle,window_start_s,window_end_s,frames_odb,ur1_min_rad,ur1_max_rad,ur1_peak_abs_rad,ur_norm_peak_rad,torque_peak_Nmm,force_peak_N
1,0.0,0.025,250,-1.561867594718933,0.3801876902580261,1.561867594718933,3.288678914390464,0.011175326875012251,8.861338486775596e-06
2,0.025,0.05,250,-2.546386241912842,0.4385682940483093,2.546386241912842,4.650509969030552,0.004581814946353719,9.087008054528552e-06
3,0.05,0.0736137128120987,237,-1.8159617185592647,1.304560899734497,1.8159617185592647,4.954171645991299,0.002385618988667258,9.234297840274526e-06
