phase_rel_rad,cycle2_a1,cycle2_a2,cycle3_a1,cycle3_a2,difference
0.0,-0.24954551364834457,-0.10900126768247065,-0.014832917176070992,-0.5488686709116664,0.49857129416599205
0.023974759211316386,-0.2372550005879606,-0.11280688869989826,0.004296543256383612,-0.5567400342484512,0.5053946834407925
0.04794951842263277,-0.2242633174540943,-0.12028227492025095,0.021140000872406424,-0.5634067956941472,0.5065393662458556
0.07192427763394915,-0.2105791328939224,-0.13135250953775812,0.03563168846039053,-0.5689158794513668,0.5020771566623191
0.09589903684526555,-0.196200892209052,-0.14583038750657942,0.04776829671988895,-0.5732865638259794,0.492178573101519
0.11987379605658194,-0.18116476235067694,-0.1635580902667234,0.05752383814885563,-0.5765508554571052,0.4770065744914039
0.1438485552678983,-0.16552782754339235,-0.18432480965054093,0.06491308836821168,-0.5787483627505196,0.45680734994764544
0.1678233144792147,-0.14932784006948654,-0.20782974999546666,0.06999119397408178,-0.5799113067197641,0.4319091612227975
0.1917980736905311,-0.13255894621397746,-0.2337816872612748,0.07282918127264794,-0.5800676951807957,0.40261430947409305
0.21577283290184748,-0.11523284423525548,-0.2619511652976191,0.07352374740960436,-0.5792549110948173,0.3692028141635941
0.23974759211316388,-0.09747392267558216,-0.29188169878045617,0.07219686146745714,-0.5775042524522771,0.33221742602959
0.26372235132448024,-0.07941132673280404,-0.32294865567838127,0.06893229524936335,-0.5747905420365197,0.2922843921717574
0.2876971105357966,-0.061118776692704914,-0.3547449222810739,0.06391783846350901,-0.5711579530357831,0.2499375022083758
0.31167186974711303,-0.0427145975959843,-0.38679954748284096,0.05747905961831841,-0.5667167914286492,0.20593441581006477
0.3356466289584294,-0.02430280567969175,-0.41865523630427104,0.04984329022780319,-0.5614958662615406,0.1609381530430651
0.3596213881697458,-0.005972618278224583,-0.44989403156563257,0.041252272626696514,-0.5555389415076377,0.11571964966087686
0.3835961473810622,0.012168831800700436,-0.4800791879843833,0.031977289014378345,-0.5489299906298345,0.07164361801381178
0.40757090659237855,0.030028131985615197,-0.5085020528773087,0.022291042902564798,-0.5417370689784378,0.034123728441091676
0.43154566580369497,0.04748270301340944,-0.5350138403345337,0.012469844420918846,-0.5340251584258486,0.03502681485282816
0.45552042501501133,0.06448315507624938,-0.5595244320149217,0.002815130179362918,-0.5259018420479044,0.07023833604786767
0.47949518422632775,0.08099568415188281,-0.5818781872701297,-0.006363953403405685,-0.5174929585503446,0.10852264257329168
0.5034699434376441,0.0969434776003522,-0.6018888737254209,-0.01479907431229369,-0.5089081119275114,0.14536787806276166
0.5274447026489605,0.11227249116437729,-0.6194235383358242,-0.022132828496208273,-0.5002819133611341,0.17960934484228228
0.5514194618602769,0.12695623750466395,-0.6344052473075227,-0.028041326581056545,-0.49179297086881807,0.21062408756724985
0.5753942210715932,0.1409667234089784,-0.6467615628016159,-0.03234029190285405,-0.4835609110430888,0.23805414151134563
0.5993689802829096,0.15428316692972915,-0.656318895583632,-0.03480540497415769,-0.4757297255614626,0.26147071796655813
0.6233437394942261,0.16680658243451368,-0.6628123564776832,-0.03525569893200122,-0.46841286099529367,0.2803931693084698
0.6473184987055425,0.17864453291580995,-0.666596143531563,-0.033540183033470186,-0.4617174146704771,0.2949536357162106
0.6712932579168588,0.18980087500396034,-0.6676819531817124,-0.029550107810177882,-0.45571726537760204,0.305030953408703
0.6952680171281752,0.20027483240011937,-0.6660594711372987,-0.02321342277656887,-0.4504529042051044,0.31053694129073806
0.7192427763394916,0.2100885461661046,-0.6617283795194462,-0.014484983161006526,-0.4459454969030179,0.3114410417794837
0.7432175355508079,0.21926891724739564,-0.6546919500965154,-0.003352574523100873,-0.4421947168816958,0.3077586761117786
0.7671922947621244,0.2278173421079597,-0.6449455101031615,0.010157663661707929,-0.4391783680329169,0.29952604624152795
0.7911670539734408,0.23572651145866905,-0.6323734241139953,0.025979545233634337,-0.4368546425240524,0.28674271358662573
0.8151418131847571,0.24298611470386589,-0.6168240750596778,0.044198752579459585,-0.4352106574906493,0.2692579595508407
0.8391165723960735,0.24969105480956624,-0.598688404456357,0.0646160878119935,-0.43415693084420165,0.24763551687538685
0.8630913316073899,0.2558727746380259,-0.5780190692765359,0.08697632319172509,-0.43358810683151966,0.22223031796752288
0.8870660908187062,0.26152273814233584,-0.5549297597452598,0.1111352392598477,-0.43341114449802076,0.193347287727904
0.9110408500300227,0.2666457253229688,-0.5295676921315373,0.13686107032801684,-0.4335200018248821,0.16145964042262037
