t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T,UR1,UR2,UR3,U1,torque_norm_Nmm,force_norm_N
1.0559219828036989e-07,-7.468174204284,-3.676918015967,-9.550745259298,0.0,0.0,0.0,-8.30611331368731e-14,-9.086742559803867e-14,4.6563468650856146e-14,1.3983896894542492e-11,-3.2883582797933126e-10,-2.0901914817223634e-10,18.899961259553187,13.799960625932426,3.935249012241908e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,2.806904142699761e-11,-1.5895976774637912e-10,-3.5491051913016536e-10,3.344678236777099e-08,False,,,,,,,,,,,,,,,,,,40.0,4.328443083159889,30.0,0.01,-0.0019882739482936,-0.0053173493874851,0.0082324092584096,0.0,0.0,0.0,0.0,3.8989428751631744e-10,1.3162141727544083e-13
0.0001002069930714,-7.468174204284,-3.676918015967,-9.550745259298,2.575220053561779e-06,-2.397997268505852e-05,-1.4636580627502533e-05,-6.98170877936461e-08,-7.637867184049468e-08,3.913895291334928e-08,1.0884673085902789e-05,-0.0002779793673827,-0.0001728937311896,18.900561867958427,13.799960625932426,3.935505874287169e-06,8.470329472543003e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,2.410446735113272e-05,-0.0001365080829889,-0.0002967621354145,0.0281118790715541,False,,,,,,,,,,,,,,,,,,40.0,4.353601309207661,30.0,0.01,-0.0019184847962703,-0.0052374028204246,0.0082999414325094,2.575220150902169e-06,-2.3979971956578083e-05,-1.4636580999649595e-05,0.0,0.0003275412143278075,1.1063446522335178e-07
0.000200308676127,-7.468174204284,-3.676918015967,-9.550745259298,3.864728153111307e-05,-0.0003677150253796,-0.0002212944958933,-2.5886712818192065e-07,-2.831961065482539e-07,1.451190340489713e-07,3.709683539179215e-05,-0.0010371553784462,-0.0006308399264036,18.90116247805676,13.799960625932426,3.933108076176002e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,9.134066589719432e-05,-0.0005173106065808,-0.0010950219568818,0.1042965005288939,False,,,,,,,,,,,,,,,,,,40.0,4.378759606175629,30.0,0.01,-0.0018506246954121,-0.0051551021803421,0.0083666068239736,3.856831244775094e-05,-0.0003669558500405,-0.000220840840484,0.0,0.001214506676383817,4.1020940854708756e-07
0.0003004117363461,-7.468174204284,-3.676918015967,-9.550745259298,0.000186218725484,-0.0017825854246907,-0.001056939695106,-5.358756343246899e-07,-5.862385630058796e-07,3.0040799297208693e-07,7.00155764500325e-05,-0.0021648965582436,-0.0012869636225393,18.90176309641808,13.799960625932426,3.9219019081455645e-06,8.731015774769282e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0001935504270626,-0.0010965635557814,-0.0022600976206562,0.2165189910887219,False,,,,,,,,,,,,,,,,,,40.0,4.403918249262513,30.0,0.01,-0.0017847359015277,-0.0050704985983308,0.0084323639464934,0.0001857092574937,-0.0017777530010789,-0.0010541109368205,0.0,0.002519514765699954,8.491662443006109e-07
0.0004005171736257,-7.468174204284,-3.676918015967,-9.550745259298,0.0005819384023461,-0.0053709958368875,-0.003129098533243,-8.665965876508817e-07,-9.480414964014432e-07,4.858077601171986e-07,0.0001022088847381,-0.0035449950112951,-0.0020584623597066,18.902363729041756,13.799960625932426,3.893004937721317e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.000321437949573,-0.0018232185933954,-0.0036588598193736,0.3527448902255862,False,,,,,,,,,,,,,,,,,,40.0,4.429077489769878,30.0,0.01,-0.0017208595716328,-0.0049836446495538,0.008497171784876,0.0005801383522339,-0.0053548426367342,-0.003119864501059,0.0,0.004100573566289893,1.3732375994041706e-06
0.0005005360409901,-7.468174204284,-3.676918015967,-9.550745259298,0.0013376566981977,-0.0123985184135669,-0.0070632307958185,-1.2125060545075366e-06,-1.3264603977118663e-06,6.797220977589998e-07,0.0001274615165881,-0.0050556422970994,-0.0028658391504587,18.90296384224594,13.799960625932426,3.836584652708237e-06,8.731015774769282e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0004643326568771,-0.0026397584337198,-0.0051579908982176,0.5008040611772365,False,,,,,,,,,,,,,,,,,,40.0,4.454214972884474,30.0,0.01,-0.0016590902885079,-0.0048946752289494,0.0085609329992523,0.0013334690593183,-0.0123594114556908,-0.007041634991765,0.0,0.0058128133903242825,1.921377175126542e-06
0.0006005658050454,-7.468174204284,-3.676918015967,-9.550745259298,0.0026299594065674,-0.0244421019880907,-0.0136544608875084,-1.5312785129840372e-06,-1.6751918869101334e-06,8.584236253744182e-07,0.0001403336668246,-0.0065727440706367,-0.0036351267836987,18.90356402083027,13.799960625932426,3.739919962343266e-06,0.0,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0006099031742108,-0.0034839691533789,-0.0066275773813733,0.6488145668219147,False,,,,,,,,,,,,,,,,,,40.0,4.479355194636169,30.0,0.01,-0.0015994045796035,-0.004803562366578,0.0086236705399231,0.0026230865623801,-0.0243785660713911,-0.0136200189590454,0.0,0.007512310223206839,2.4265145503163787e-06
0.0007005765073881,-7.468174204284,-3.676918015967,-9.550745259298,0.0046055500073611,-0.0430025889583355,-0.0236303745497894,-1.7780058909187958e-06,-1.9451073192043414e-06,9.967372035053795e-07,0.0001357877018709,-0.0079644764625854,-0.0042953406505743,18.90416408504433,13.799960625932426,3.5904085107296885e-06,4.735058123106525e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0007432677301243,-0.0042859378969653,-0.007935966503977,0.7847260000929753,False,,,,,,,,,,,,,,,,,,40.0,4.504490625657003,30.0,0.01,-0.0015418577712598,-0.0047103911723844,0.0086853261088072,0.004595682490617,-0.0429085232317447,-0.0235802177339792,0.0,0.00904993231618515,2.817486909324685e-06
0.0008006257648766,-7.468174204284,-3.676918015967,-9.550745259298,0.0073739397405304,-0.0694417301730018,-0.0375706667587945,-1.910216580482785e-06,-2.0897434991300886e-06,1.070853556922764e-06,0.0001097434575635,-0.0090940010424716,-0.004780207610951,18.90476438058926,13.799960625932426,3.376078787313984e-06,4.735058123106525e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0008476259377183,-0.0049691940710243,-0.0089527606884664,0.8966000289445262,False,,,,,,,,,,,,,,,,,,40.0,4.529635746642844,30.0,0.01,-0.0014864537159695,-0.0046151662698015,0.0087458959319423,0.0073600760661065,-0.0693123191595077,-0.0375033654272556,0.0,0.010274399417520539,3.0269923384247188e-06
0.0009006518773501,-7.468174204284,-3.676918015967,-9.550745259298,0.0111997918320768,-0.1047652565856938,-0.0556195605042844,-1.8948849290431016e-06,-2.072970940848289e-06,1.0622587443525917e-06,6.117052186896898e-05,-0.0098191172905378,-0.0050282372637333,18.9053645372641,13.799960625932426,3.088079630998878e-06,4.735058123106525e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0009060557525208,-0.0054495919375083,-0.0095489783153199,0.9723509933492436,False,,,,,,,,,,,,,,,,,,40.0,4.554775050651933,30.0,0.01,-0.0014332620909364,-0.0045180060897827,0.008805304126001,0.0111769363284111,-0.1045540794730186,-0.0555133260786533,0.0,0.011031861863642068,3.002697296743324e-06
