time_s,B_model_x_T,B_model_y_T,B_model_z_T,B_tele_x_T,B_tele_y_T,B_tele_z_T,B_abs_error_T,F_abs_error_N,T_abs_error_Nmm,B_model_norm_T,B_tele_norm_T,T_model_norm_Nmm,T_tele_norm_Nmm
1.0559219828036989e-07,-0.0019882926031986113,-0.0053173701555077005,0.008232391338692647,-0.0019882926031986,-0.0053173701555077,0.0082323913386926,4.8183486410263535e-17,3.7865323450608567e-29,2.5849394142282115e-26,0.01,0.00999999999999996,3.898943364001613e-10,3.8989433640016124e-10
0.000100206992711,-0.001935771201717622,-0.005257633376791259,0.008283120253253076,-0.0019357712017176,-0.0052576333767912,0.008283120253253,9.891560927745611e-17,1.035022446046857e-19,9.135700579012053e-17,0.010000000000000002,0.009999999999999905,0.0003275831719756081,0.00032758317197569735
0.0002003086646864,-0.0018843287303378347,-0.0051965651639968155,0.008333367610537662,-0.0018843287303378,-0.0051965651639967,0.0083333676105376,1.3568875737698852e-16,4.187932054577088e-19,5.317637200762346e-16,0.01,0.009999999999999882,0.0012148388211758313,0.0012148388211763626
0.0003004117071086,-0.0018339829657282704,-0.005134186555836126,0.008383116060945963,-0.0018339829657282,-0.005134186555836,0.0083831160609459,1.5711118277918035e-16,6.833035788698511e-19,9.355602004389925e-16,0.010000000000000002,0.009999999999999872,0.002520622655077674,0.0025206226550786096
0.0004004130475548,-0.0017848019888944315,-0.005070585916388776,0.008432297452352962,-0.0017848019888944,-0.0050705859163887,0.0084322974523529,1.0351104756593417e-16,5.599273802348251e-20,7.796319386232406e-17,0.01,0.009999999999999901,0.004101449762165414,0.00410144976216549
0.0005004329836569,-0.001736742735192474,-0.005005710951687078,0.008480954105518801,-0.0017367427351924,-0.005005710951687,0.0084809541055188,1.0768654897518058e-16,6.4708844177229865e-19,9.679420791653918e-16,0.01,0.009999999999999946,0.00581618264884732,0.005816182648848287
0.0006004600089003,-0.001689828252261892,-0.004939591699308559,0.008529062921680172,-0.0016898282522618,-0.0049395916993085,0.0085290629216802,1.1270363719215738e-16,8.0298648011059495e-19,1.1810386416680734e-15,0.01,0.00999999999999998,0.007519686134958851,0.007519686134960028
0.0007004836807771,-0.00164408017823025,-0.004872258495005256,0.008576601746927481,-0.0016440801782302,-0.0048722584950052,0.0085766017469275,7.779254473857569e-17,5.612074305729624e-19,7.833146403906078e-16,0.01,0.009999999999999981,0.009063579239220883,0.00906357923922166
0.0008005334256811,-0.001599501720882916,-0.004803715061558293,0.008623567466672397,-0.0015995017208828,-0.0048037150615582,0.0086235674666724,1.4914855076007656e-16,4.673943230037071e-19,7.473055851395622e-16,0.01,0.009999999999999938,0.01029650234422869,0.010296502344229436
0.0009005674596595,-0.0015561275294793896,-0.00473401420786413,0.008669923678541636,-0.0015561275294793,-0.004734014207864,0.0086699236785416,1.620935550574468e-16,2.467556866262167e-19,3.518270557329169e-16,0.01,0.009999999999999893,0.011064643428559881,0.011064643428560226
0.001000585872233,-0.0015139724203034714,-0.0046631811957574855,0.008715654229379125,-0.0015139724203034,-0.0046631811957574,0.0087156542293791,1.1424857238191082e-16,4.235164736271502e-22,1.3093474115919905e-16,0.01,0.009999999999999927,0.011219777855902403,0.011219777855902327
0.0011006465097886,-0.0014730274917555057,-0.004591199799067504,0.008760769053774618,-0.0014730274917554,-0.0045911997990674,0.0087607690537746,1.4949618675703991e-16,4.810222473330249e-21,1.1186616826518754e-16,0.01,0.009999999999999922,0.010986531172746285,0.010986531172746233
0.0012007196859615,-0.0014333204661815741,-0.0045181160631840205,0.008805238195575608,-0.0014333204661815,-0.0045181160631839,0.0088052381955756,1.4171546833011825e-16,1.0373992580494066e-21,1.2356347310407837e-16,0.01,0.009999999999999929,0.010746727634643327,0.010746727634643235
0.001300781209154,-0.0013948750835865605,-0.004443973638471325,0.008849035077439876,-0.0013948750835865,-0.0044439736384713,0.0088490350774398,1.0059176105254488e-16,4.735058123106524e-22,8.816643804793937e-17,0.01,0.009999999999999913,0.010714195753074212,0.010714195753074172
0.0014007947240282,-0.0013577178531321249,-0.00436882677003093,0.008892128816247964,-0.001357717853132,-0.0043688267700308,0.0088921288162479,1.9143363268517728e-16,5.98942740891943e-22,1.4479746310057526e-16,0.01,0.00999999999999987,0.010621743923503757,0.010621743923503704
0.0015008076790925,-0.001321843429228658,-0.0042926672746192735,0.008934525035950025,-0.0013218434292286,-0.0042926672746192,0.00893452503595,9.69662321316511e-17,1.467104100329257e-21,1.344858289947157e-16,0.010000000000000002,0.009999999999999941,0.010520259905649617,0.010520259905649516
0.0016008487050241,-0.0012872548272493687,-0.004215500012168379,0.008976220510723408,-0.0012872548272493,-0.0042155000121683,0.0089762205107234,1.0502444330490808e-16,0.0,1.6546900186302261e-16,0.01,0.009999999999999952,0.010667747617679593,0.010667747617679458
0.0017009072661223,-0.0012539688780878599,-0.004137359880832888,0.009017195532384864,-0.0012539688780878,-0.0041373598808328,0.0090171955323848,1.23999363977997e-16,0.0,1.155456387705707e-16,0.01,0.009999999999999898,0.01074320414872069,0.010743204148720584
