t_s,rp_x_aba_mm,rp_y_aba_mm,rp_z_aba_mm,ur1,ur2,ur3,fx_aba_N,fy_aba_N,fz_aba_N,tx_aba_Nmm,ty_aba_Nmm,tz_aba_Nmm,driver_arc_mm,robot_arc_mm,force_tangent_N,force_normal_N,rp_x_mag_mm,rp_y_mag_mm,rp_z_mag_mm,tx_mag_Nmm,ty_mag_Nmm,tz_mag_Nmm,drive_scale,endpoint_reached,h_head_mm,h_tail_mm,vn_head_close_mm_s,vn_tail_close_mm_s,Flub_head_mN,Flub_tail_mN,Flub_x_N,Flub_y_N,Flub_z_N,Mlub_x_Nmm,Mlub_y_Nmm,Mlub_z_Nmm,lub_power_W,active_head,active_tail,wall_tri_head,wall_tri_tail,commanded_frequency_Hz,instantaneous_phase_rad,cone_angle_deg,B_aba_T,Bx_aba_T,By_aba_T,Bz_aba_T,robot_s_mm,a1_mm,a2_mm,phi_robot_rad,phi_field_rad,f_robot_directed_Hz,f_field_Hz,omega_spin_rad_s,omega_wobble_rad_s,true_axis_angle_deg,Tmag_norm_Nmm
1.0559219828036989e-07,-7.468174204284,-3.676918015967,-9.550745259298,0.0,0.0,0.0,-8.30611331368731e-14,-9.086742559803867e-14,4.6563468650856146e-14,1.3984166990009398e-11,-3.2883532575575463e-10,-2.0902001139992402e-10,18.899961259553187,13.799960625932426,3.935249012241908e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,2.806888136956581e-11,-1.5895886131385088e-10,-3.5491099146882904e-10,3.344678236777099e-08,False,,,,,,,,,,,,,,,,,,30.0,4.328436448606401,30.0,0.01,-0.0019882926031986,-0.0053173701555077,0.0082323913386926,18.899961259553187,-0.27040561920014605,0.9072107318820408,1.8604747737448706,-1.9914700802675798,-0.15190581192658645,30.969402120215886,-0.01641329816568876,0.28138169891011494,65.1226971007421,3.8989433640016124e-10
0.0001002069931265,-7.468174204284,-3.676918015967,-9.550745259298,2.584462733617489e-06,-2.395956735541164e-05,-1.467386214563984e-05,-6.981708498059467e-08,-7.637866876306568e-08,3.9138951336373054e-08,1.1103525602213905e-05,-0.0002775813875093,-0.0001735972964992,18.90056186795876,13.799960625932426,3.9355057115452325e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,2.3975707127883863e-05,-0.0001357788381324,-0.0002971531741499,0.0281118791013666,False,,,,,,,,,,,,,,,,,,30.0,4.347305118152618,30.0,0.01,-0.0019357712015018,-0.0052576333765405,0.0082831202534626,18.90056186795876,-0.2703295240840136,0.9072720807362897,1.8603792317259575,-1.9719916997792464,-0.24837494436299407,30.979326204063025,-0.1252875686857084,2.149105852087135,65.1310540875658,0.000327583174665944
0.0002003086803646,-7.468174204284,-3.676918015967,-9.550745259298,3.8918897352369903e-05,-0.0003670892004661,-0.0002224467202543,-2.588668068582178e-07,-2.83195755025748e-07,1.4511885391723457e-07,3.874537231295984e-05,-0.0010342262371348,-0.0006361671835998,18.901162478082185,13.799960625932426,3.933103040544467e-06,4.235164736271503e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,9.037917980064072e-05,-0.0005118593147979,-0.0010980279799058,0.1042965046016542,False,,,,,,,,,,,,,,,,,,30.0,4.366173841666967,30.0,0.01,-0.0018843287223662,-0.0051965651543289,0.0083333676183689,18.901162478082185,-0.2701759905122763,0.9074759721776352,1.8601623393010587,-1.9525007799080751,-0.6586631796777808,30.99900432795849,-0.6133397425513636,10.236156706667263,65.15884965345275,0.0012148390012437775
0.0003004117639844,-7.468174204284,-3.676918015967,-9.550745259298,0.000188517898271,-0.0017780582714144,-0.001065130441056,-5.358708198533617e-07,-5.862332960585279e-07,3.00405294014388e-07,7.523528160130097e-05,-0.0021558664510039,-0.0013038874963485,18.901763096583903,13.799960625932426,3.92186604129789e-06,8.731015774769282e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0001905495307061,-0.0010794715586962,-0.0022697962762348,0.216519025940309,False,,,,,,,,,,,,,,,,,,30.0,4.385042828393073,30.0,0.01,-0.0018339829374383,-0.0051341865200264,0.0083831160890664,18.901763096583903,-0.2697724379588969,0.9081512833189708,1.8595506782118412,-1.9329973181723905,-1.5872324182359738,31.01833565753653,-1.9046450771708434,28.979946961730327,65.25116836346102,0.0025206235548561663
0.0004005161315973,-7.468174204284,-3.676918015967,-9.550745259298,0.0005896912876066,-0.0053529050743818,-0.0031630745857159,-8.665595560763732e-07,-9.480009845071992e-07,4.857870004851829e-07,0.0001137729921204,-0.003525634416728,-0.0020959455730861,18.902363722789584,13.799960625932426,3.892855147774683e-06,4.735058123106525e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0003149560663863,-0.0017858707190309,-0.0036806926835375,0.3527433890603501,False,,,,,,,,,,,,,,,,,,30.0,4.4039120571461705,30.0,0.01,-0.0017847518721693,-0.0050705197000377,0.0084323478774488,18.902363722789584,-0.2688802470214529,0.9097619074615964,1.8581656854148205,-1.9134815585918745,-3.1011624926274073,31.037306523373914,-4.193932430578004,61.1213874810305,65.47301023631539,0.004103173184194427
0.00050053817904,-7.468174204284,-3.676918015967,-9.550745259298,0.001354354699872,-0.012346121497709,-0.0071646295108332,-1.212372669797735e-06,-1.3263144771743537e-06,6.796473232583546e-07,0.0001484923538842,-0.0050220201660351,-0.0029336794172784,18.90296385507424,13.799960625932426,3.836138033750303e-06,1.2880750683716317e-21,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0004530514508864,-0.0025732531818601,-0.0051983000967128,0.5008072682483707,False,,,,,,,,,,,,,,,,,,30.0,4.4227657689127495,30.0,0.01,-0.0017366927905593,-0.0050056420632065,0.0084810049927043,18.90296385507424,-0.26728007596443565,0.9127825181220344,1.855652109054627,-1.8939700456233064,-5.272366815069593,31.055887878459686,-7.725634749774958,109.16569627748689,65.89572754596203,0.00581800751551493
0.000600565781318,-7.468174204284,-3.676918015967,-9.550745259298,0.0026697554244209,-0.0243186294917458,-0.0139008481771414,-1.530827890794206e-06,-1.674698914122972e-06,8.581710098439391e-07,0.0001740539266967,-0.0065218755675277,-0.0037425729534285,18.903564020687902,13.799960625932426,3.7388195814809943e-06,8.731015774769282e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0005930124282652,-0.0033803754041813,-0.0066927876394053,0.648814532670632,False,,,,,,,,,,,,,,,,,,30.0,4.4416205277411045,30.0,0.01,-0.0016897792567366,-0.0049395211343673,0.0085291134959409,18.903564020687902,-0.2646383529583024,0.9177422400154335,1.8515385002675382,-1.8744458901211436,-8.137018980503983,31.074082943876338,-12.799056696568034,174.4318364332246,66.61020552911869,0.007521436564875611
0.0007005838773056,-7.468174204284,-3.676918015967,-9.550745259298,0.0047077830524842,-0.0427602781406702,-0.0241309179781576,-1.7768900278553316e-06,-1.943886584547016e-06,9.961116587672808e-07,0.0001853669218811,-0.0078955542278682,-0.0044497441618801,18.904164129263837,13.799960625932426,3.58811278434802e-06,0.0,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0007210729016414,-0.0041399629550038,-0.0080321305497879,0.7847352759117556,False,,,,,,,,,,,,,,,,,,30.0,4.460473494675949,30.0,0.01,-0.0016440349405686,-0.0048721904436718,0.0085766490772784,18.904164129263837,-0.26060796368149863,0.924970160033477,1.8454246831947616,-1.8549122800985818,-11.541946563021378,31.091875648420608,-19.158700096052,255.3872275961832,67.70273746908879,0.00906500747749946
0.0008006347195631,-7.468174204284,-3.676918015967,-9.550745259298,0.0075742147482812,-0.0690080099823427,-0.0384874171409472,-1.9078246567482404e-06,-2.087126776437096e-06,1.069512661829927e-06,0.0001779295968955,-0.0090086354552174,-0.0049851133126653,18.90476443431738,13.799960625932426,3.371819096752986e-06,4.735058123106525e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0008218911626139,-0.004779407042562,-0.0090840679040223,0.8966086051051009,False,,,,,,,,,,,,,,,,,,30.0,4.47933263413724,30.0,0.01,-0.0015994571922786,-0.0048036450695331,0.008623614714029,18.90476443431738,-0.2548345039910148,0.934465550867753,1.8370287167568788,-1.8353612157512977,-15.173627188065321,31.109260124964234,-27.72203456018312,348.58264867279155,69.24995861931085,0.010297500980653714
0.0009006649560063,-7.468174204284,-3.676918015967,-9.550745259298,0.0115279566797372,-0.1040521695727087,-0.0571703861992423,-1.890438726720906e-06,-2.0681068733422487e-06,1.0597662355867436e-06,0.0001497121119364,-0.0097220194375322,-0.0052815125024766,18.90536461573604,13.799960625932426,3.0808114429378683e-06,1.0587911840678754e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0008802552532501,-0.0052200625366412,-0.0097165090324001,0.9723580144558338,False,,,,,,,,,,,,,,,,,,30.0,4.498187889494065,30.0,0.01,-0.0015560858446367,-0.0047339457134435,0.0086699685597059,18.90536461573604,-0.24707924069766066,0.9457006175386992,1.826349681633874,-1.815803385026823,-18.638970763697557,31.126213912563877,-37.1573234599916,449.1914405884644,71.30065463238842,0.01106501016601571
0.0010006854566003,-7.468174204284,-3.676918015967,-9.550745259298,0.0162847190600921,-0.1484750192876815,-0.0801912295904863,-1.7094598173532696e-06,-1.8701191146792569e-06,9.583107719474557e-07,0.0001026914821294,-0.0098995655400396,-0.0052786694394932,18.9059647387396,13.799960625932426,2.708866535262439e-06,4.365507887384641e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0008831205660576,-0.0053808794497881,-0.009805229670239,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.517041309686517,30.0,0.01,-0.001513931057227,-0.0046631101089081,0.0087156994479021,18.9059647387396,-0.23719239621629315,0.9576144393991242,1.8136005549877061,-1.796236940058208,-21.71247945403552,31.142725985435447,-44.48368387713627,552.5480884437708,73.87876817196957,0.011219460525064517
0.0011007409466146,-7.468174204284,-3.676918015967,-9.550745259298,0.0214318273949498,-0.2024450852705984,-0.10739410989522,-1.421640155368581e-06,-1.5552494429887786e-06,7.96961157491322e-07,4.445899663059862e-05,-0.0097338851858673,-0.0050935987619228,18.906565071679687,13.799960625932426,2.252777984583305e-06,4.365507887384641e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0008481353276123,-0.0053577222414958,-0.0095535713013787,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.535901325229345,30.0,0.01,-0.0014729894328687,-0.0045911313429315,0.0087608113278741,18.906565071679687,-0.22502658086746966,0.9686635076182757,1.7990539813412372,-1.7766534082760734,-24.45116109014151,31.15879078130033,-49.98626063870084,653.7214552429703,76.98625157698949,0.010986138801302748
0.0012007596117828,-7.468174204284,-3.676918015967,-9.550745259298,0.0267512693620449,-0.2655254876007766,-0.1384617362264201,-1.0815356706530172e-06,-1.1831810905197049e-06,6.063010507242676e-07,-2.261679194383564e-05,-0.0094838978751488,-0.0048699879334177,18.907165183670696,13.799960625932426,1.713837175453847e-06,4.235164736271503e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0007962859975113,-0.005288825988084,-0.0092225734572893,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.554754399452204,30.0,0.01,-0.0014333048743913,-0.0045180866904868,0.0088052558051593,18.907165183670696,-0.21033903867559697,0.9769374016293433,1.782863534430777,-1.7570671345972475,-27.27918689234061,31.174384095808243,-56.434985130874736,748.8989757180099,80.59814180217154,0.010661220047309959
0.0013008137398741,-7.468174204284,-3.676918015967,-9.550745259298,0.0325711425398008,-0.3370959734229377,-0.1731500518297683,-6.907184676250135e-07,-7.556339119848177e-07,3.872117619780824e-07,-0.0001039760933732,-0.0091322671545185,-0.0046025696371464,18.907765508439244,13.799960625932426,1.0945353165037195e-06,2.182753943692321e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0007199416542292,-0.005164944053154,-0.0087976018673595,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.57361415827858,30.0,0.01,-0.001394862790599,-0.0044439493635626,0.0088490492059595,18.907765508439244,-0.1925900636089147,0.9804309403963369,1.7647607915537338,-1.7374642600929384,-30.46460354808665,31.18950467791932,-62.86303653863786,843.0171241251353,84.69004086199861,0.010227060265505064
0.0014008868262848,-7.468174204284,-3.676918015967,-9.550745259298,0.038405170829943,-0.4176352085132248,-0.2115986007448196,-2.476766465886209e-07,-2.7095391558380146e-07,1.388457312516333e-07,-0.0001990930505121,-0.0086564679755999,-0.0042833548142331,18.90836594695771,13.799960625932426,3.924766014966742e-07,1.800139633126036e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0006164829622237,-0.0049716652254952,-0.008259763795827,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.592477490663968,30.0,0.01,-0.001357684224237,-0.0043687570964047,0.0088921681821629,18.90836594695771,-0.17147534600044856,0.9769025825005527,1.7445558362150122,-1.717848315164286,-34.12379479978758,31.20413740806923,-61.71011261946896,942.2818916467506,89.28105340322747,0.009660290074317785
0.0015009745117489,-7.468174204284,-3.676918015967,-9.550745259298,0.0429329995892348,-0.5074021149390958,-0.2544796802370141,2.475635084221356e-07,2.70830144410244e-07,-1.3878230681628817e-07,-0.0003068240383054,-0.0080321629469522,-0.0039043661836328,18.90896647307049,13.799960625932426,-3.922973190181151e-07,1.6740958540805346e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0004833925638672,-0.0046928915736897,-0.0075892659855588,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.611343574906097,30.0,0.01,-0.001321784665437,-0.0042925394008618,0.008934595166557,18.90896647307049,-0.14668582814410758,0.9637212162577313,1.7218447307329041,-1.6982204620810069,-38.40966291412383,31.218269340599214,-63.33707128329934,1042.2691716151783,94.38929078975212,0.008936098583429416
0.0016010278122469,-7.468174204284,-3.676918015967,-9.550745259298,0.0473697043601167,-0.6064779184444697,-0.3006582914837639,7.873722405092048e-07,8.613714475160432e-07,-4.4139516586042237e-07,-0.0004233819246876,-0.0072420897166494,-0.0034616730911831,18.90956679287348,13.799960625932426,-1.247696080047268e-06,2.182753943692321e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0003210389576344,-0.004315251098813,-0.0067739086390537,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.63020317773481,30.0,0.01,-0.0012871940716792,-0.0042153609883812,0.0089762945116271,18.90956679287348,-0.1183201950119484,0.9381416371404678,1.6962557971230048,-1.6785906294940653,-43.60891381400996,31.231881791076358,-73.66553463359742,1137.607998421789,99.97523573360019,0.008038053017265581
0.001701109395254,-7.468174204284,-3.676918015967,-9.550745259298,0.0513075719005273,-0.7145534294724906,-0.3497303264845353,1.3609333283197108e-06,1.4888372369204343e-06,-7.629293506590584e-07,-0.0005437744179357,-0.0062739596451421,-0.0029541591440975,18.910167282371525,13.799960625932426,-2.156579939689065e-06,4.735058123106525e-22,-1.4895443071719092,4.2967127206258695,-0.0348831700469211,0.0001312336532324,-0.0038275544385634,-0.0058067134631581,1.0,False,,,,,,,,,,,,,,,,,,30.0,4.649068111690906,30.0,0.01,-0.0012539029696001,-0.0041372010769876,0.0090172775598514,18.910167282371525,-0.08662182258754436,0.8975630202464668,1.667006162505488,-1.6589468505917295,-49.99123395388861,31.24497168514749,-84.51743421919457,1222.985922477172,105.99039800471525,0.006955955469605005
