time_s,exact_gap_mm,CPRESS_MPa,gap_threshold_contact
0.0,0.2693853308852156,8.683991026270377e-12,False
0.000100101402495,0.2693602593029996,0.0008854995830915,False
0.0002000974782276,0.2690049954973783,0.0031921460758894,False
0.0003000949509441,0.2675572530806646,0.0069003980606794,False
0.0004000964399892,0.263926226659806,0.0075501655228435,False
0.0005000106757506,0.256986245884727,0.0128884743899106,False
0.0006000370485708,0.2452359563287954,0.0132687240839004,False
0.0007000611512921,0.2273306542283462,0.0288423243910074,False
0.0008000059169717,0.202274626684088,0.045111034065485,False
0.0009000400896184,0.1563615041871509,0.0370610021054744,False
0.001000058487989,0.1046957461596249,0.0398051515221595,False
0.0011000139638781,0.044426820216387,0.0492751076817512,False
0.0012000863207504,0.0072180894888978,0.0249926336109638,True
0.0013000426115468,0.0629302626816495,0.4501559138298034,False
0.0014000559458509,0.0526197385467376,0.0100899366661906,False
0.0015000704443082,-0.0005329466905074,0.2813631594181061,True
0.0016000049654394,0.0539154189323735,0.0158653389662504,False
0.0017000631196424,0.0758019685682922,0.0167243480682373,False
0.0018000535201281,0.0870676774641727,0.0309663582593202,False
0.0019000484608113,0.0877803083068944,0.0879325717687606,False
0.002000059466809,0.0788781246545092,0.0407341420650482,False
0.0021000010892748,0.0493322973423069,0.0869006291031837,False
0.0022000833414494,0.0212891218489445,0.1340675055980682,False
0.0023000345099717,0.002712568852275,0.0253176372498273,True
0.002400042489171,0.0328259709373913,0.0237584356218576,False
0.0025000090245157,0.0454587309227154,0.028602510690689,False
0.0026000451762229,0.0430208193909361,0.161019816994667,False
0.0027000687550753,0.0347745355805585,0.0116765275597572,False
0.0028000453021377,0.0213419282846406,0.0178794637322425,False
0.002900016028434,0.0038889386272311,0.101051926612854,True
0.003000000026077,0.0009491465410101,0.0243751592934131,True
