start_ms,end_ms,n,f_field_Hz,f_robot_Hz,f_robot_median_Hz,omega_wobble_mean_rad_s,omega_wobble_rms_rad_s,true_axis_range_deg,Tmag_rms_Nmm,window,R_post_over_pre_omega,R_phase_vs_30Hz
0.0,1.3,13,31.072454696697616,-9.27997912272666,-5.272425450706482,217.68719841981394,295.15244714888877,14.429997886256373,0.0077846220872663414,W0_precontact,1.0,0.309332637424222
1.3,1.7,4,31.211161984865633,34.61913089249471,33.24981306276517,229.43616016832186,246.37878029601666,2.6136159991778953,0.010631229260163227,W1_contact,1.0539717623902247,1.1539710297498236
1.7,2.5,8,31.285658321532956,37.26195399508703,37.53727741078859,288.68401119910175,310.0760942273203,3.277556228926443,0.010467427678907496,W2_postimpact,1.3261414235409887,1.2420651331695678
2.5,3.0,5,31.344270573503866,4.019348967804185,4.078392096196554,208.17138608374847,222.33435032387467,2.45837863355527,0.010126127016298076,W3_latest,0.9562867618989976,0.13397829892680618
