time_s,B_model_norm_T,B_tele_norm_T,B_abs_error_T,B_relative_error,B_vector_angle_deg
1.0559219828036989e-07,0.01,0.0099999999999999,4.818348641026354e-17,4.818348641026403e-15,8.537736462515939e-07
0.000100206992711,0.01,0.0099999999999999,9.891560927745612e-17,9.891560927745711e-15,8.537736462515939e-07
0.0002003086646864,0.01,0.0099999999999998,1.3568875737698852e-16,1.3568875737699123e-14,0.0
0.0003004117071086,0.01,0.0099999999999998,1.5711118277918035e-16,1.5711118277918348e-14,0.0
0.0004004130475548,0.01,0.0099999999999999,1.0351104756593415e-16,1.035110475659352e-14,0.0
0.0005004329836569,0.01,0.0099999999999999,1.0768654897518058e-16,1.0768654897518167e-14,8.537736462515939e-07
0.0006004600089003,0.01,0.0099999999999999,1.1270363719215738e-16,1.1270363719215851e-14,0.0
0.0007004836807771,0.01,0.0099999999999999,7.779254473857569e-17,7.779254473857646e-15,0.0
0.0008005334256811,0.01,0.0099999999999999,1.4914855076007656e-16,1.4914855076007805e-14,0.0
0.0009005674596595,0.01,0.0099999999999998,1.620935550574468e-16,1.6209355505745003e-14,0.0
0.001000585872233,0.01,0.0099999999999999,1.1424857238191082e-16,1.1424857238191197e-14,0.0
0.0011006465097886,0.01,0.0099999999999999,1.4949618675703991e-16,1.4949618675704142e-14,0.0
0.0012007196859615,0.01,0.0099999999999999,1.4171546833011822e-16,1.4171546833011964e-14,8.537736462515939e-07
0.001300781209154,0.01,0.0099999999999999,1.0059176105254488e-16,1.0059176105254588e-14,0.0
0.0014007947240282,0.01,0.0099999999999998,1.9143363268517728e-16,1.914336326851811e-14,0.0
0.0015008076790925,0.01,0.0099999999999999,9.69662321316511e-17,9.696623213165208e-15,8.537736462515939e-07
0.0016008487050241,0.01,0.0099999999999999,1.0502444330490808e-16,1.0502444330490914e-14,8.537736462515939e-07
0.0017009072661223,0.01,0.0099999999999998,1.23999363977997e-16,1.2399936397799947e-14,0.0
0.0018010020360083,0.01,0.0099999999999999,8.470027191583557e-17,8.470027191583642e-15,8.537736462515939e-07
0.0019011034441257,0.01,0.0099999999999999,1.424892467773501e-16,1.4248924677735152e-14,0.0
0.0020011151394011,0.01,0.0099999999999998,1.476396757851421e-16,1.4763967578514503e-14,8.537736462515939e-07
0.0021011611559782,0.01,0.0099999999999999,9.67263905925614e-17,9.672639059256238e-15,0.0
0.0022012445860278,0.01,0.0099999999999999,5.062608875628141e-17,5.062608875628192e-15,0.0
0.0023012987635142,0.01,0.0099999999999999,1.8427010304760423e-16,1.8427010304760607e-14,0.0
0.0024013079778331,0.01,0.0099999999999999,1.2705831824885375e-16,1.2705831824885502e-14,0.0
0.0025013802147066,0.01,0.0099999999999999,1.0734630902731956e-16,1.0734630902732063e-14,0.0
0.0026014181554271,0.01,0.0099999999999999,9.95814759055961e-17,9.95814759055971e-15,0.0
0.0027014386551154,0.01,0.0099999999999999,1.1482576320619514e-16,1.148257632061963e-14,0.0
0.0028015212234794,0.01,0.0099999999999999,1.0828069908122927e-16,1.0828069908123036e-14,0.0
0.0029015981567806,0.01,0.0099999999999999,1.0805618153046012e-16,1.080561815304612e-14,0.0
